"","Date","Open","High","Low","Close","Volume","Market.Cap","return"
"1","Sep 22, 2017",258.11,270.54,256.22,264.31,"430,081,000","24,458,400,000",0
"2","Sep 21, 2017",283.26,286.61,255.02,258.58,"601,266,000","26,836,000,000",-0.0221594864258644
"3","Sep 20, 2017",282.01,290.89,278.05,283.74,"421,404,000","26,712,400,000",0.0886727285543104
"4","Sep 19, 2017",293.66,295.77,274.48,282.8,"646,909,000","27,809,300,000",-0.00332390381895332
"5","Sep 18, 2017",252.23,293.5,252.23,293.5,"1,127,750,000","23,881,200,000",0.0364565587734242
"6","Sep 17, 2017",245.85,257,235.24,251.75,"427,452,000","23,272,500,000",-0.16583912611718
"7","Sep 16, 2017",250.87,262.59,238.22,246.52,"711,737,000","23,742,600,000",-0.0212153172156417
"8","Sep 15, 2017",215.22,258.65,195.03,250.46,"1,935,700,000","20,364,900,000",0.0157310548590593
"9","Sep 14, 2017",276.59,280.84,213.91,213.91,"1,184,590,000","26,166,100,000",-0.170866252162124
"10","Sep 13, 2017",291.12,291.12,260.61,277.11,"921,692,000","27,535,700,000",0.228068276135831
"11","Sep 12, 2017",294.63,311.19,287.23,291.46,"753,144,000","27,861,800,000",0.0492348864338158
"12","Sep 11, 2017",289.75,300.69,286.69,294.53,"571,307,000","27,394,400,000",0.01042338641225
"13","Sep 10, 2017",294.06,294.76,268.97,288.75,"698,326,000","27,797,200,000",-0.0200173160173159
"14","Sep 09, 2017",296.17,299.89,287.22,294.4,"528,621,000","27,990,500,000",0.0191915760869564
"15","Sep 08, 2017",329.64,329.64,285.16,296.5,"1,098,780,000","31,147,200,000",0.00708263069139974
"16","Sep 07, 2017",333.52,333.52,319.94,329.43,"718,624,000","31,507,500,000",0.0999605378987949
"17","Sep 06, 2017",313.8,334.66,313.49,334.34,"1,058,830,000","29,639,100,000",0.0146856493389961
"18","Sep 05, 2017",297.57,318.57,268.29,312.99,"1,551,050,000","28,100,000,000",-0.0682130419502219
"19","Sep 04, 2017",347.13,347.13,279.94,295.17,"1,801,690,000","32,774,000,000",-0.0603719890232747
"20","Sep 03, 2017",350.23,366.49,332.23,347.48,"986,266,000","33,059,800,000",0.150541038333141
"21","Sep 02, 2017",387.82,389.35,328.1,348.98,"1,483,600,000","36,601,200,000",0.00429824058685311
"22","Sep 01, 2017",383.47,390.04,383.47,387.74,"874,222,000","36,182,900,000",0.0999638933305823
"23","Aug 31, 2017",378.44,386.14,376.35,383.04,"706,254,000","35,701,500,000",-0.0122702589807853
"24","Aug 30, 2017",369.47,388.75,361.97,378.49,"1,333,320,000","34,848,400,000",-0.012021453671167
"25","Aug 29, 2017",347.96,373.76,347.79,370.67,"1,220,030,000","32,813,200,000",-0.0210969325815415
"26","Aug 28, 2017",350.04,352.05,338.41,347.75,"854,319,000","33,002,700,000",-0.0659094176851187
"27","Aug 27, 2017",334.36,347.89,334.36,347.89,"633,370,000","31,517,500,000",0.000402426054212499
"28","Aug 26, 2017",331.99,334.99,327.92,333.88,"514,181,000","31,288,300,000",-0.0419611836587995
"29","Aug 25, 2017",326.11,336.4,325.8,331.92,"760,329,000","30,727,900,000",-0.00590503735839955
"30","Aug 24, 2017",317.45,327.96,317.08,325.61,"697,665,000","29,904,600,000",-0.0193790117011148
"31","Aug 23, 2017",315.27,324.21,314.54,317.52,"811,990,000","29,691,900,000",-0.0254787100025196
"32","Aug 22, 2017",321.06,327.36,297.91,314.79,"1,336,400,000","30,229,900,000",-0.00867244829886579
"33","Aug 21, 2017",300.48,347.05,297.23,321.59,"2,448,970,000","28,285,500,000",0.0211449360987591
"34","Aug 20, 2017",296.64,301.43,291.58,301.43,"571,947,000","27,918,100,000",-0.0668811996151676
"35","Aug 19, 2017",296.18,301.67,286.18,297.47,"860,202,000","27,867,900,000",-0.013312266783205
"36","Aug 18, 2017",301.7,307.96,292.5,295.59,"936,160,000","28,380,200,000",-0.00636016103386465
"37","Aug 17, 2017",302.81,311.03,300.25,301.46,"909,494,000","28,477,500,000",0.0194719034034366
"38","Aug 16, 2017",289.82,303.41,285.38,302.27,"967,643,000","27,249,700,000",0.00267972342607603
"39","Aug 15, 2017",299.95,300.41,279.33,289.82,"1,051,800,000","28,195,800,000",-0.0429576978814436
"40","Aug 14, 2017",298.03,306.81,296.41,300.1,"864,391,000","28,008,700,000",0.0342552482505832
"41","Aug 13, 2017",310.37,310.82,289.31,298.06,"1,369,370,000","29,161,100,000",-0.00684425954505811
"42","Aug 12, 2017",308.71,317.56,307.9,310.6,"1,111,650,000","28,998,700,000",0.0403734707018674
"43","Aug 11, 2017",294.5,309.21,294.5,308.86,"953,576,000","27,657,000,000",-0.00563362041054202
"44","Aug 10, 2017",296.96,306.59,289.93,295.89,"1,076,820,000","27,882,200,000",-0.0438338571766536
"45","Aug 09, 2017",297.63,318.72,276.69,296.03,"2,638,580,000","27,938,700,000",0.000472925041380895
"46","Aug 08, 2017",269.1,298.91,266.8,296.77,"1,502,410,000","25,254,600,000",0.00249351349529942
"47","Aug 07, 2017",261.24,271.96,256.69,269.18,"935,727,000","24,511,000,000",-0.102496470763058
