Importers	Exported value in 2001	Exported value in 2002	Exported value in 2003	Exported value in 2004	Exported value in 2005	Exported value in 2006	Exported value in 2007	Exported value in 2008	Exported value in 2009	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	
"World"	31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
"Germany"	5366680	5835207	7484931	8745282	9455050	9686235	11993232	12951755	9793006	11479066	13950825	13124375	13702577	15147423	13418068	13998653	15124049	
"United Kingdom"	2174892	3005840	3670093	5543924	5917163	6814301	8626776	8158669	5937997	7235861	8151430	8693599	8785124	9903172	10557304	11685790	9608082	
"United Arab Emirates"	380145	452391	702908	1139465	1675187	1985696	3240940	7975400	2896572	3332885	3706654	8174607	4965630	4655710	4681402	5406993	9183685	
"Iraq"	0	0	829058	1820802	2750080	2589352	2844767	3916685	5123406	6036362	8310130	10822144	11948905	10887826	8550947	7636670	9056661	
"United States of America"	3125804	3336810	3753865	4848743	4910817	5061330	4177593	4316424	3250109	3766034	4585849	5606487	5641170	6342194	6396332	6623716	8655346	
"Italy"	2342203	2361212	3194797	4641199	5618164	6752991	7480711	7820270	5889622	6507052	7854463	6373488	6718743	7141112	6887902	7580892	8475683	
"France"	1895290	2123543	2826141	3668418	3805760	4604349	5974462	6617511	6211415	6054499	6805821	6198536	6376704	6467863	5850679	6026216	6591653	
"Spain"	950362	1115226	1792155	2619040	3011041	3721542	4580228	4047280	2818592	3536247	3917600	3717345	4334196	4749584	4742941	4988483	6307792	
"Netherlands"	892416	1043866	1525929	2138004	2469582	2539246	3018878	3143835	2127297	2461371	3243080	3244429	3538043	3458689	3154943	3589432	3862848	
"Israel"	805218	850859	1082998	1313890	1466913	1529158	1658195	1935235	1522436	2080148	2391148	2329531	2649663	2950902	2698131	2955545	3409532	
"Iran, Islamic Republic of"	360536	308089	533786	812580	912940	1066902	1441190	2029760	2024546	3044177	3589635	9921602	4192511	3886190	3664228	4966176	3259995	
"Belgium"	688261	689352	885564	1183181	1292264	1381104	1735798	2122434	1795682	1960441	2451030	2359575	2573804	2939108	2557901	2548240	3157087	
"Romania"	392028	560431	873347	1235485	1785409	2350474	3644162	3987476	2201936	2599380	2878760	2495427	2616313	3008011	2815642	2671249	3140933	
"Poland"	241234	340933	486046	697677	830483	1060078	1436402	1586772	1322218	1504280	1758252	1853700	2058857	2401689	2329394	2650505	3071982	
"China"	199373	265533	504626	391585	549764	693038	1039523	1437204	1600296	2269175	2466316	2833255	3600865	2861052	2414932	2328044	2936041	
"Bulgaria"	299415	378311	621685	894326	1179313	1568006	2060171	2151534	1385544	1497384	1622777	1684989	1971247	2040157	1676148	2383500	2804895	
"Russian Federation"	924107	1168309	1367591	1859187	2377050	3237611	4726853	6483004	3189607	4628153	5992633	6680777	6964209	5943014	3589464	1732954	2735484	
"Saudi Arabia"	500642	547324	741475	768519	962156	983227	1486918	2201875	1768216	2217646	2763476	3676612	3191482	3047134	3472634	3172081	2734958	
"Egypt"	421469	325097	345779	473145	687299	709353	902703	1426450	2599030	2250577	2759311	3679195	3200362	3297538	3124968	2732926	2359655	
