Product code	Product label	Turkey's exports to Algeria-Value in 2001	Turkey's exports to Algeria-Value in 2002	Turkey's exports to Algeria-Value in 2003	Turkey's exports to Algeria-Value in 2004	Turkey's exports to Algeria-Value in 2005	Turkey's exports to Algeria-Value in 2006	Turkey's exports to Algeria-Value in 2007	Turkey's exports to Algeria-Value in 2008	Turkey's exports to Algeria-Value in 2009	Turkey's exports to Algeria-Value in 2010	Turkey's exports to Algeria-Value in 2011	Turkey's exports to Algeria-Value in 2012	Turkey's exports to Algeria-Value in 2013	Turkey's exports to Algeria-Value in 2014	Turkey's exports to Algeria-Value in 2015	Turkey's exports to Algeria-Value in 2016	Turkey's exports to Algeria-Value in 2017	Algeria's imports from world- 	Algeria's imports from world-Value in 2001	Algeria's imports from world-Value in 2002	Algeria's imports from world-Value in 2003	Algeria's imports from world-Value in 2004	Algeria's imports from world-Value in 2005	Algeria's imports from world-Value in 2006	Algeria's imports from world-Value in 2007	Algeria's imports from world-Value in 2008	Algeria's imports from world-Value in 2009	Algeria's imports from world-Value in 2010	Algeria's imports from world-Value in 2011	Algeria's imports from world-Value in 2012	Algeria's imports from world-Value in 2013	Algeria's imports from world-Value in 2014	Algeria's imports from world-Value in 2015	Algeria's imports from world-Value in 2016	Algeria's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	421964	510837	573002	806115	807138	1020696	1231725	1613644	1777198	1504590	1470547	1813037	2002689	2078889	1825988	1736371	1713169		9945719	12009775	13545430	18303023	20356880	21455855	27631204	39474722	39258327	40999891	47219730	50369391	54909973	58618080	51803071	47090684	46053016		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	60460	58830	52814	63572	77471	90714	106967	139189	166482	145793	204218	262178	223050	314216	328685	342014	353891		1874537	2340496	2628278	3519799	3332656	3669287	4481077	6042525	7361122	8845262	8216978	6404870	8392702	10181965	9177826	8281327	8011326		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
73	"Articles of iron or steel"	17305	26053	24955	93610	79473	201035	210492	411009	466992	283343	161580	281382	270599	189963	207701	173449	185890		539824	696278	637646	871321	1015152	2014170	2431646	3545844	4979777	4797746	2901422	1722764	1847802	2504531	2688960	3198781	2919746		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
39	"Plastics and articles thereof"	8283	6986	9436	14360	16856	17806	24415	35532	39330	41107	51209	56759	73657	98081	103407	114809	131504		269313	375939	395804	557381	588541	645645	889636	1180790	1188706	1318898	1676710	1695956	2076841	2222189	2139965	2175305	2042204		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	47934	49470	33251	51219	40205	51561	61057	78450	107564	83362	99735	152789	221952	258066	184640	147838	102603		775441	931069	1422971	1929050	2226954	1889831	2145076	3229198	3335721	3010241	3479891	3310066	4073587	5067006	5068277	4543938	3980461		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
72	"Iron and steel"	96131	77128	121892	112830	109932	97827	79205	127337	117652	46938	61246	50842	50383	111987	61845	69441	98175		445741	425551	648732	806344	1034330	1276366	1664318	3355906	2524127	1967294	2996391	3440810	3255466	3586393	3034579	2247369	2412975		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	17512	42492	52164	65043	86438	101326	115340	102771	99657	51969	56310	66710	80246	78350	108046	107954	97830		10455	21139	23005	23297	33988	35352	43092	54234	66738	88329	128911	148184	181477	223305	244458	275546	285090		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	46756	103096	77789	158268	107235	138621	217315	265620	313872	372636	352134	397301	420422	306757	183168	113437	81931		560201	803653	1052179	1799089	2293884	2393848	3571321	4815032	4797573	4083760	5034404	7739173	7772093	6981302	4886270	3487297	3439657		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	5367	8792	10675	9798	18993	32454	19747	27287	62012	28290	36166	50377	58986	57780	65525	71304	77675		11543	19435	24598	26717	40177	43109	44139	52888	60392	72053	85931	110958	122339	153701	144973	169249	195861		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	2952	3457	3353	5116	9113	6024	10211	12023	38871	21920	24860	23230	26106	49108	57376	56431	57182		45478	95785	138565	171642	193538	159970	217623	274357	291440	335604	336603	328597	365952	449082	464307	436056	426729		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
