Product code	Product label	Turkey's exports to Belgium-Value in 2001	Turkey's exports to Belgium-Value in 2002	Turkey's exports to Belgium-Value in 2003	Turkey's exports to Belgium-Value in 2004	Turkey's exports to Belgium-Value in 2005	Turkey's exports to Belgium-Value in 2006	Turkey's exports to Belgium-Value in 2007	Turkey's exports to Belgium-Value in 2008	Turkey's exports to Belgium-Value in 2009	Turkey's exports to Belgium-Value in 2010	Turkey's exports to Belgium-Value in 2011	Turkey's exports to Belgium-Value in 2012	Turkey's exports to Belgium-Value in 2013	Turkey's exports to Belgium-Value in 2014	Turkey's exports to Belgium-Value in 2015	Turkey's exports to Belgium-Value in 2016	Turkey's exports to Belgium-Value in 2017	Belgium's imports from world- 	Belgium's imports from world-Value in 2001	Belgium's imports from world-Value in 2002	Belgium's imports from world-Value in 2003	Belgium's imports from world-Value in 2004	Belgium's imports from world-Value in 2005	Belgium's imports from world-Value in 2006	Belgium's imports from world-Value in 2007	Belgium's imports from world-Value in 2008	Belgium's imports from world-Value in 2009	Belgium's imports from world-Value in 2010	Belgium's imports from world-Value in 2011	Belgium's imports from world-Value in 2012	Belgium's imports from world-Value in 2013	Belgium's imports from world-Value in 2014	Belgium's imports from world-Value in 2015	Belgium's imports from world-Value in 2016	Belgium's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	688261	689352	885564	1183181	1292264	1381104	1735798	2122434	1795682	1960441	2451030	2359575	2573804	2939108	2557901	2548240	3157087		178697512	198094631	234922194	286478238	319085461	353093660	413035800	466338014	354586368	391255897	466348604	437882666	488527197	452772541	371025047	372712713	406412281		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
80	"Tin and articles thereof"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		24589	23355	21219	49858	29127	44415	84986	74813	63243	114139	144003	161563	191675	221600	111706	149171	153804		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
02	"Meat and edible meat offal"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		826433	831644	1035465	1236518	1320974	1346636	1516736	1798813	1671264	1600291	1821208	1759914	1885969	1890152	1475905	1493455	1653394		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
05	"Products of animal origin, not elsewhere specified or included"	43	74	236	520	412	541	398	767	335	126	149	0	0	0	440	493	0		79084	72057	92438	140201	143460	82367	78771	123846	119797	107157	167309	196404	223878	201293	164546	170252	192252		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
45	"Cork and articles of cork"	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0		10783	11154	13641	15639	16058	15949	16780	15068	13355	12911	13682	13563	15616	16494	12950	13808	14448		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	126	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0		620112	559935	556359	659425	708328	920751	1252812	1214035	835018	1074750	993546	844101	898423	831656	672318	694873	725693		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
75	"Nickel and articles thereof"	0	5	6	0	0	0	100	0	0	5	0	8	0	1	59	26	1		280895	273751	438135	682319	681653	1063462	1538750	836373	333587	521262	666071	585977	805707	668805	521689	415885	497399		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
37	"Photographic or cinematographic goods"	0	2	3	44	24	29	0	0	90	63	16	40	2	3	11	59	2		472630	532924	813171	843780	913670	929551	1065481	848554	662218	601106	591090	531718	511001	393336	322713	317698	289917		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	12	8	5	4	1	9	2	0	2	3	1	10	3	7	1	3	3		33053	32552	44007	52179	52613	53619	61386	57610	41376	44787	42448	38882	36379	33211	28968	28421	30080		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	0	5	3	8	4	2	0	2	1	0	0	4	74	37	48	8	4		30750	31628	37988	41061	40488	42424	49907	55883	44454	56536	68344	55504	50177	52829	46956	42558	43980		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	21	0	0	0	11	1	8	0	404	44	50	554	831	24	5	8	8		22854	24048	33041	31490	32881	32196	38959	50178	42654	33995	47462	49068	47235	43626	29808	22649	23057		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
92	"Musical instruments; parts and accessories of such articles"	56	52	42	82	7	7	14	17	22	35	17	24	118	168	53	8	11		45609	40940	98196	205086	196810	241921	273343	448900	300916	130206	78566	77888	72745	80666	85460	78179	104588		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
41	"Raw hides and skins (other than furskins) and leather"	170	76	44	7	75	26	60	85	35	20	50	35	15	16	19	76	13		151294	142471	145349	152528	132693	136532	125590	134080	92353	103183	122163	104626	124364	136286	87565	95978	90318		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
50	"Silk"	0	0	0	0	6	23	13	17	6	68	16	15	18	2	15	3	13		9901	7965	11998	15835	18495	18932	20570	22990	16067	13012	12758	11870	10853	11479	7077	8057	6028		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
