Product code	Product label	Turkey's exports to Bulgaria-Value in 2001	Turkey's exports to Bulgaria-Value in 2002	Turkey's exports to Bulgaria-Value in 2003	Turkey's exports to Bulgaria-Value in 2004	Turkey's exports to Bulgaria-Value in 2005	Turkey's exports to Bulgaria-Value in 2006	Turkey's exports to Bulgaria-Value in 2007	Turkey's exports to Bulgaria-Value in 2008	Turkey's exports to Bulgaria-Value in 2009	Turkey's exports to Bulgaria-Value in 2010	Turkey's exports to Bulgaria-Value in 2011	Turkey's exports to Bulgaria-Value in 2012	Turkey's exports to Bulgaria-Value in 2013	Turkey's exports to Bulgaria-Value in 2014	Turkey's exports to Bulgaria-Value in 2015	Turkey's exports to Bulgaria-Value in 2016	Turkey's exports to Bulgaria-Value in 2017	Bulgaria's imports from world- 	Bulgaria's imports from world-Value in 2001	Bulgaria's imports from world-Value in 2002	Bulgaria's imports from world-Value in 2003	Bulgaria's imports from world-Value in 2004	Bulgaria's imports from world-Value in 2005	Bulgaria's imports from world-Value in 2006	Bulgaria's imports from world-Value in 2007	Bulgaria's imports from world-Value in 2008	Bulgaria's imports from world-Value in 2009	Bulgaria's imports from world-Value in 2010	Bulgaria's imports from world-Value in 2011	Bulgaria's imports from world-Value in 2012	Bulgaria's imports from world-Value in 2013	Bulgaria's imports from world-Value in 2014	Bulgaria's imports from world-Value in 2015	Bulgaria's imports from world-Value in 2016	Bulgaria's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	299415	378311	621685	894326	1179313	1568006	2060171	2151534	1385544	1497384	1622777	1684989	1971247	2040157	1676148	2383500	2804895		7278159	7987046	10886580	14467101	18162453	23268729	30085388	37015366	23340812	25359886	32493611	32743134	34316573	34740042	29265116	28875195	34148644		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
60	"Knitted or crocheted fabrics"	21916	27231	34720	37854	55607	71748	75080	92623	79374	76629	63701	102132	113839	121846	130939	240574	263545		59563	78422	119227	141706	149559	180848	234391	226996	214122	221410	260832	236105	264467	268915	202119	215910	222362		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
39	"Plastics and articles thereof"	17626	29196	45332	62535	82158	94228	107547	143082	99843	101618	134196	170021	176916	190431	162675	160427	198921		231299	279809	407501	569076	711522	882016	1125261	1306520	914116	1061408	1269006	1245625	1414291	1504715	1330225	1347517	1520443		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
72	"Iron and steel"	3303	6455	16803	63764	98405	129935	258037	204356	55913	50946	83947	76020	84917	90184	61158	93937	186063		147519	158075	280915	571009	724503	1010018	1475648	1967167	702766	841769	1336820	1057317	1091153	1020470	919441	881546	1156034		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	16184	15547	34643	52180	86960	115987	170425	191641	47510	40717	84257	74655	79504	119109	108853	158516	183733		582751	652251	918244	1551627	1905487	2366634	2732549	3270576	1081078	1110744	1577875	1549764	1853542	2093158	2090705	2133600	2363251		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	20295	25302	43555	61280	110960	121740	155866	172559	92037	95341	114697	142642	166347	161747	125924	148017	159264		772283	929637	1295017	1627271	2015996	2438503	3427068	4139088	2501320	2182470	2615313	2609174	3164482	3329122	2912000	2905154	3410409		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	31814	56233	90457	80953	86642	117955	144035	119162	67202	95924	119457	115141	132715	147369	101326	124885	139158		570884	603136	869769	1025060	1257213	1649610	2439476	2817514	2106034	2343515	2961835	3175212	2691075	2877632	2658131	2794668	3098571		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	15946	19513	25304	28984	36785	80561	44383	37295	29731	41587	48714	50129	49775	45577	35834	140289	128214		185580	231467	309334	324013	271840	278703	323896	313450	259686	262537	262142	259987	282954	311689	268418	323659	349082		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
26	"Ores, slag and ash"	16176	12687	20958	35613	34499	74738	84141	47963	15538	93171	64181	27000	77671	69135	35909	53772	127672		249202	198207	354271	559848	730993	1256473	1539153	1333721	856361	1277603	2047284	1786048	2150816	1823021	1538151	1122246	1938047		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
74	"Copper and articles thereof"	3548	2932	11535	26640	31719	41063	58777	52030	52078	63017	78756	112576	130385	144033	91347	95241	106888		46080	35556	58637	94180	153506	307523	455850	667565	244642	459155	665192	666368	613180	615041	494605	464674	720740		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
