Product code	Product label	Turkey's exports to China-Value in 2001	Turkey's exports to China-Value in 2002	Turkey's exports to China-Value in 2003	Turkey's exports to China-Value in 2004	Turkey's exports to China-Value in 2005	Turkey's exports to China-Value in 2006	Turkey's exports to China-Value in 2007	Turkey's exports to China-Value in 2008	Turkey's exports to China-Value in 2009	Turkey's exports to China-Value in 2010	Turkey's exports to China-Value in 2011	Turkey's exports to China-Value in 2012	Turkey's exports to China-Value in 2013	Turkey's exports to China-Value in 2014	Turkey's exports to China-Value in 2015	Turkey's exports to China-Value in 2016	Turkey's exports to China-Value in 2017	China's imports from world- 	China's imports from world-Value in 2001	China's imports from world-Value in 2002	China's imports from world-Value in 2003	China's imports from world-Value in 2004	China's imports from world-Value in 2005	China's imports from world-Value in 2006	China's imports from world-Value in 2007	China's imports from world-Value in 2008	China's imports from world-Value in 2009	China's imports from world-Value in 2010	China's imports from world-Value in 2011	China's imports from world-Value in 2012	China's imports from world-Value in 2013	China's imports from world-Value in 2014	China's imports from world-Value in 2015	China's imports from world-Value in 2016	China's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	199373	265533	504626	391585	549764	693038	1039523	1437204	1600296	2269175	2466316	2833255	3600865	2861052	2414932	2328044	2936041		243552881	295170104	412759796	561228748	659952762	791460868	956115448	1132562200	1005555200	1396001600	1743394900	1818199200	1949992300	1959234625	1679564325	1587920688	1840957060		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	16673	32595	61864	78471	115301	187833	270660	386952	396113	666121	724009	867711	1091444	951606	840455	840279	1078360		782018	875637	1280728	1801157	2171102	2274843	3051530	6116498	2741428	4509412	5794352	6346423	5986590	6243944	5470274	4674375	6361938		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
26	"Ores, slag and ash"	3856	22094	9746	28942	78073	117029	356990	511889	531775	834592	748946	932628	1362721	841871	549868	485441	595198		4175734	4280721	7174904	17272580	26032520	32164433	54042715	85936803	69590904	109386524	150655638	133727965	148772300	134660947	93720072	94479040	125380730		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	1101	529	3831	31493	47633	87235	80142	129701	149070	217754	295953	276639	288517	267661	227398	159092	227982		1643984	1947554	2728439	3960666	4811789	6286801	6416576	9191586	6257683	9958146	10886351	9773731	9460465	10384983	9918663	9024571	10663685		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	2992	6189	10608	16318	22718	34108	60273	103322	67048	87666	91962	80236	95202	116817	123870	129291	176867		40534480	52143473	71490876	91601140	96283691	109122425	124189663	138795536	123717219	172150025	199313752	181960039	170570903	179377721	157042985	147659933	169779652		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
73	"Articles of iron or steel"	172	1226	2813	3369	3946	6396	6098	8359	16336	18275	18813	23981	36306	41136	36167	42519	62965		2083647	2771411	3373048	4641312	5696076	6944612	8045630	10547823	8920663	9150701	10225596	10065037	10429877	11787462	10077417	9576174	10025932		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	296	50	174	320	556	707	839	886	2098	2949	9674	14364	21658	30611	35378	46093	54608		9775006	13478876	25134198	40147012	49963325	58859709	69534544	77708548	66996321	89919369	99140733	106145649	107588269	105806107	99636208	92688922	97414143		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	1104	875	983	2773	5933	3959	4406	6826	5073	7228	8711	12294	12739	13635	20478	27299	50170		85187	109694	134481	141985	156716	198210	272802	300711	333398	462082	592606	623762	661646	765862	875844	981531	1092934		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	2017	3529	4390	3807	4556	7847	17269	17091	14191	18143	27274	25266	33362	42307	32003	15712	44234		1896988	1831268	1682855	2088764	2147278	2140947	2698303	2620073	2214585	2827484	3840614	3585653	3674376	3384212	3419969	3145878	3632003		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	1018	81	241	788	778	1684	3318	4974	5540	7606	13633	14777	15140	19507	24626	33360	39430		475352	523263	556562	642249	695456	717047	789904	853704	633170	818220	1187148	1344869	1667714	2065514	2309125	2380453	2798552		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
