Product code	Product label	Turkey's exports to Egypt-Value in 2001	Turkey's exports to Egypt-Value in 2002	Turkey's exports to Egypt-Value in 2003	Turkey's exports to Egypt-Value in 2004	Turkey's exports to Egypt-Value in 2005	Turkey's exports to Egypt-Value in 2006	Turkey's exports to Egypt-Value in 2007	Turkey's exports to Egypt-Value in 2008	Turkey's exports to Egypt-Value in 2009	Turkey's exports to Egypt-Value in 2010	Turkey's exports to Egypt-Value in 2011	Turkey's exports to Egypt-Value in 2012	Turkey's exports to Egypt-Value in 2013	Turkey's exports to Egypt-Value in 2014	Turkey's exports to Egypt-Value in 2015	Turkey's exports to Egypt-Value in 2016	Turkey's exports to Egypt-Value in 2017	Egypt's imports from world- 	Egypt's imports from world-Value in 2001	Egypt's imports from world-Value in 2002	Egypt's imports from world-Value in 2003	Egypt's imports from world-Value in 2004	Egypt's imports from world-Value in 2005	Egypt's imports from world-Value in 2006	Egypt's imports from world-Value in 2007	Egypt's imports from world-Value in 2008	Egypt's imports from world-Value in 2009	Egypt's imports from world-Value in 2010	Egypt's imports from world-Value in 2011	Egypt's imports from world-Value in 2012	Egypt's imports from world-Value in 2013	Egypt's imports from world-Value in 2014	Egypt's imports from world-Value in 2015	Egypt's imports from world-Value in 2016	Egypt's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	421469	325097	345779	473145	687299	709353	902703	1426450	2599030	2250577	2759311	3679195	3200362	3297538	3124968	2732926	2359655		12720437	12496060	10892869	12841089	19811938	20593991	27031271	52751022	44912463	53003406	62282017	69865552	66666449	71337744	74361267	58052632	66338894		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	2920	8378	58	42	16104	94590	57795	26150	182423	253131	878186	1525721	1163544	858739	618644	521756	445495		626513	496895	565072	1100882	2675415	3366765	3986533	5766264	4465997	7130719	9280342	13061079	9290437	9898882	11862142	8271962	11523171		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
72	"Iron and steel"	24945	19841	53421	61432	144595	76586	119569	248820	1266078	537158	575922	518628	294019	329111	481264	488247	214379		466043	458909	409738	521844	1207680	1013116	1226306	4945743	3563619	3125770	3600324	4307419	3935689	4339354	3718640	2842071	3243811		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	19885	25353	25990	32050	44388	54967	85344	132277	147385	152725	131786	180777	187253	202463	227424	200784	208923		1527229	1328730	1103936	1366846	1773897	1855645	2353093	6172261	5823435	5613253	5452653	5570915	6181301	5767082	6052536	5284562	5717299		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	10533	10729	20121	18588	19117	28013	52036	72958	55736	70302	85873	99119	103387	116725	109637	100653	154010		919298	793847	599848	671211	1071566	1105013	1574157	3249814	2923741	3376141	3655273	3713385	4192762	4686620	5137655	4034719	4812811		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
39	"Plastics and articles thereof"	16014	14501	15520	23623	23013	27008	47404	71338	70118	77929	83083	105638	121467	140814	137638	124705	121596		541042	441843	384387	508420	740445	682975	1128262	2321954	1890574	2296111	2915005	3112063	3302914	3300851	3374152	2731047	3202269		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
73	"Articles of iron or steel"	25867	19609	22451	33304	43233	33077	40545	65416	78330	102953	115885	98287	120901	124454	150798	111000	110029		521194	427621	261792	379544	366851	401004	560380	2727246	2630887	2787148	2598375	2582963	2647150	2583319	2639893	2357870	2755225		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	57896	54901	50390	55049	107361	72103	113756	111321	70131	112981	39032	53709	108755	200474	139483	141148	96241		345720	334700	327060	386969	800699	923165	1088141	3040820	2648594	3768196	3093782	3555136	3336187	5242638	6269528	4590878	3139562		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
52	"Cotton"	1916	2696	6255	10738	11539	21173	25869	52472	44695	67129	79522	69396	72982	76586	68194	67623	82455		42703	11581	29124	112746	97843	138675	142217	688487	689762	740554	775754	631462	687343	679411	695105	529610	726131		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	3286	5247	3322	5465	6852	8656	11166	17773	24238	30604	48160	31578	27688	39507	68494	79002	71090		327832	238007	210476	256075	342114	331356	404475	963902	917520	1022279	1183242	1267505	1302704	1206401	1252429	1081717	1156183		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
