Product code	Product label	Turkey's exports to France-Value in 2001	Turkey's exports to France-Value in 2002	Turkey's exports to France-Value in 2003	Turkey's exports to France-Value in 2004	Turkey's exports to France-Value in 2005	Turkey's exports to France-Value in 2006	Turkey's exports to France-Value in 2007	Turkey's exports to France-Value in 2008	Turkey's exports to France-Value in 2009	Turkey's exports to France-Value in 2010	Turkey's exports to France-Value in 2011	Turkey's exports to France-Value in 2012	Turkey's exports to France-Value in 2013	Turkey's exports to France-Value in 2014	Turkey's exports to France-Value in 2015	Turkey's exports to France-Value in 2016	Turkey's exports to France-Value in 2017	France's imports from world- 	France's imports from world-Value in 2001	France's imports from world-Value in 2002	France's imports from world-Value in 2003	France's imports from world-Value in 2004	France's imports from world-Value in 2005	France's imports from world-Value in 2006	France's imports from world-Value in 2007	France's imports from world-Value in 2008	France's imports from world-Value in 2009	France's imports from world-Value in 2010	France's imports from world-Value in 2011	France's imports from world-Value in 2012	France's imports from world-Value in 2013	France's imports from world-Value in 2014	France's imports from world-Value in 2015	France's imports from world-Value in 2016	France's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	1895290	2123543	2826141	3668418	3805760	4604349	5974462	6617511	6211415	6054499	6805821	6198536	6376704	6467863	5850679	6026216	6591653		293865641	303831442	362517304	434241853	475856799	529902263	611364435	695004283	540502283	599171506	713675254	666675231	673935145	670006998	564284048	560439652	611679085		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
23	"Residues and waste from the food industries; prepared animal fodder"	37	6	45	29	9	24	36	541	197	297	0	77	65	0	67	25	0		1476595	1511220	1761927	1939968	1926360	1874596	2333042	3449636	2893691	2846314	3132292	3309893	3621789	3589718	3173413	2863843	2901584		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	0	0	0	0	0	0	0	0	96	0	0	2	0	1	0		1162367	1115972	1198822	1314263	1322031	1364998	1594933	1693736	1200848	1837075	1894623	1492013	1641022	1534856	1490754	1328634	1458852		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
50	"Silk"	25	5	29	239	366	120	127	80	77	213	266	174	74	3	45	0	5		80508	69755	81453	99472	107911	112943	119589	131873	87938	89134	116908	119355	122087	105132	84589	78175	77599		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
80	"Tin and articles thereof"	2	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	8		55395	45257	58257	80255	81660	97329	130830	162710	101902	141326	176705	135806	152843	158409	99800	109754	135392		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	26	3	8	4	2	9	3	4	10	84	76	53	25	39	22	8	9		75176	79607	89551	105112	104630	113910	127782	126943	92493	98663	96940	90089	75873	76255	74865	74220	79575		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
37	"Photographic or cinematographic goods"	40	2	1	116	81	391	337	374	47	8	69	58	8	222	13	41	15		1005480	1063895	1219575	1332553	1071236	1281624	1316334	1149448	921119	755389	763726	591453	558514	564163	459082	462083	548612		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	14	7	5	12	4	6	1	0	23	27	19	7	60	41	16	7	15		15740	17381	22618	22721	25903	26977	38273	41104	33425	31849	32307	32709	31563	32813	29977	33371	36617		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
31	"Fertilisers"	0	0	1636	2617	0	0	1849	13527	66	7	2644	0	0	0	3	0	19		939717	837930	1221831	1431902	1475814	1521053	2172407	4074781	1646099	2416562	3164559	3026424	2841869	2807775	2367855	1860509	1939419		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
45	"Cork and articles of cork"	4	0	0	0	0	0	1	0	1	0	15	13	15	0	5	1	23		262543	256883	323917	346741	320948	309993	350951	346298	286280	303323	327493	288444	291928	297064	251352	271848	294732		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	1	8	4	4	7	2	5	4	1	17	9	15	16	65	28	45	33		81157	87295	101584	109678	105817	104660	124030	127732	113533	127425	152940	150066	138322	141177	126205	124953	127563		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
