Product code	Product label	Turkey's exports to Germany-Value in 2001	Turkey's exports to Germany-Value in 2002	Turkey's exports to Germany-Value in 2003	Turkey's exports to Germany-Value in 2004	Turkey's exports to Germany-Value in 2005	Turkey's exports to Germany-Value in 2006	Turkey's exports to Germany-Value in 2007	Turkey's exports to Germany-Value in 2008	Turkey's exports to Germany-Value in 2009	Turkey's exports to Germany-Value in 2010	Turkey's exports to Germany-Value in 2011	Turkey's exports to Germany-Value in 2012	Turkey's exports to Germany-Value in 2013	Turkey's exports to Germany-Value in 2014	Turkey's exports to Germany-Value in 2015	Turkey's exports to Germany-Value in 2016	Turkey's exports to Germany-Value in 2017	Germany's imports from world- 	Germany's imports from world-Value in 2001	Germany's imports from world-Value in 2002	Germany's imports from world-Value in 2003	Germany's imports from world-Value in 2004	Germany's imports from world-Value in 2005	Germany's imports from world-Value in 2006	Germany's imports from world-Value in 2007	Germany's imports from world-Value in 2008	Germany's imports from world-Value in 2009	Germany's imports from world-Value in 2010	Germany's imports from world-Value in 2011	Germany's imports from world-Value in 2012	Germany's imports from world-Value in 2013	Germany's imports from world-Value in 2014	Germany's imports from world-Value in 2015	Germany's imports from world-Value in 2016	Germany's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	5366680	5835207	7484931	8745282	9455050	9686235	11993232	12951755	9793006	11479066	13950825	13124375	13702577	15147423	13418068	13998653	15124049		486022068	490450056	601761022	718150018	779819058	922213393	1059307813	1204209300	938363080	1066816800	1260297500	1161213200	1187314600	1214955700	1057616386	1060672017	1173627519		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
02	"Meat and edible meat offal"	34	1	133	160	214	80	102	0	0	0	0	0	0	0	0	0	0		3458650	3506219	3701987	4176229	5037367	5252852	5750000	6770401	7007077	6907729	8128134	7616722	8019642	8053962	6709402	6946510	7599014		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	47	67	43	3	7	7	148	53	67	16	19	0	14	74	16	0		2418440	2367534	2616995	2971389	3180871	3621792	4301441	4701738	3312528	5153774	5502344	4499600	4702262	4549477	4157735	4172056	4477961		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	21	32	31	20	30	49	35	21	14	25	16	30	36	21	42	42	20		79771	78305	108977	136495	157902	175845	204379	178928	167232	162449	179420	154383	135814	148167	145768	136850	131695		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
01	"Live animals"	46	58	1149	241	142	129	87	174	185	148	87	173	114	59	35	25	26		487319	464353	517029	674448	999452	1281093	1215067	1596647	1894792	1951885	2125823	2293650	2695076	2582371	1960518	2292039	2591202		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
45	"Cork and articles of cork"	0	0	1	19	24	16	2	0	0	0	12	0	4	4	52	10	37		126704	131702	139930	145652	159106	140607	139784	104305	145511	155830	142254	123950	120366	121449	108770	106576	113333		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
80	"Tin and articles thereof"	0	14	2	183	327	230	845	698	0	1	67	0	15	0	0	130	53		136760	103889	119721	195460	196513	221481	379545	483730	252919	439688	654169	468656	513052	526302	380377	409894	505809		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	26	25	69	27	38	24	62	44	19	36	81	234	345	325	273	65	61		124574	117836	138371	143928	155761	160150	183835	185974	183123	202382	230213	206858	194083	198724	197417	210389	228020		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
97	"Works of art, collectors' pieces and antiques"	565	791	23	10	19	24	93	21	54	103	76	64	415	298	373	286	201		465853	307591	228055	399786	386862	392985	403278	439607	423958	499650	673825	757716	771992	793711	858092	754324	749974		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
50	"Silk"	61	78	14	59	138	128	148	51	308	93	93	108	395	721	597	299	216		115519	93382	94174	100209	107110	115017	110214	109774	90162	93890	115399	109207	91976	95625	65710	53892	56015		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
79	"Zinc and articles thereof"	58	343	236	314	487	1015	922	686	664	746	807	605	570	582	248	239	331		508754	441022	482399	536659	686759	1680364	1944386	1172251	962961	1428707	1602330	1348015	1376649	1561258	1354625	1446374	1855492		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
91	"Clocks and watches and parts thereof"	393	347	345	452	191	1025	696	442	1316	358	436	498	897	673	533	435	446		963922	936956	1057537	1160153	1224659	1424527	1483855	1711213	1580485	1854905	2441150	2727659	2882885	2832166	2854968	2544828	2557835		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
31	"Fertilisers"	0	0	2	0	1	6	5	1	7	189	12783	645	841	2656	1922	756	484		671766	583462	790452	843709	945493	936188	1111177	2180707	1171057	1438755	2078931	1937049	1894976	1918354	1593416	1298580	1249161		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
78	"Lead and articles thereof"	36	64	202	140	171	162	300	166	355	279	877	1023	890	1133	1153	817	590		117360	118932	113568	131542	174334	274274	418099	350478	263256	437056	501371	401542	441420	426454	344028	378721	553823		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	3390	2465	2352	1995	1861	606	329	613	482	1147	1071	904	983	852	518	652	734		51949	37434	38363	39334	40733	28733	35550	33186	32016	36137	40408	33982	39162	49034	42850	43384	45538		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	1816	461	2223	1832	686	217	2795	836	1213	520	244	835	1319	1628	504	770	888		1144375	1176740	1327160	1539320	1858805	2032312	2319277	2744540	2784647	2717868	2992884	3060221	3101641	3029974	2661552	2787304	3146834		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	27	5	245	796	588	1003	3651	3665	1533	1461	2050	593	328	686	568	675	958		137308	129163	148956	153035	162236	164960	196231	232090	200346	217057	259398	216802	211796	254131	250512	237817	245545		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
