Product code	Product label	Turkey's exports to Greece-Value in 2001	Turkey's exports to Greece-Value in 2002	Turkey's exports to Greece-Value in 2003	Turkey's exports to Greece-Value in 2004	Turkey's exports to Greece-Value in 2005	Turkey's exports to Greece-Value in 2006	Turkey's exports to Greece-Value in 2007	Turkey's exports to Greece-Value in 2008	Turkey's exports to Greece-Value in 2009	Turkey's exports to Greece-Value in 2010	Turkey's exports to Greece-Value in 2011	Turkey's exports to Greece-Value in 2012	Turkey's exports to Greece-Value in 2013	Turkey's exports to Greece-Value in 2014	Turkey's exports to Greece-Value in 2015	Turkey's exports to Greece-Value in 2016	Turkey's exports to Greece-Value in 2017	Greece's imports from world- 	Greece's imports from world-Value in 2001	Greece's imports from world-Value in 2002	Greece's imports from world-Value in 2003	Greece's imports from world-Value in 2004	Greece's imports from world-Value in 2005	Greece's imports from world-Value in 2006	Greece's imports from world-Value in 2007	Greece's imports from world-Value in 2008	Greece's imports from world-Value in 2009	Greece's imports from world-Value in 2010	Greece's imports from world-Value in 2011	Greece's imports from world-Value in 2012	Greece's imports from world-Value in 2013	Greece's imports from world-Value in 2014	Greece's imports from world-Value in 2015	Greece's imports from world-Value in 2016	Greece's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	476095	582816	920401	1170835	1126678	1602590	2262655	2429968	1629637	1455678	1553312	1401401	1439061	1536658	1400562	1427206	1663384		28434456	31299036	44854520	52810385	54893897	63738964	76099246	94347056	71538438	66452643	66692056	62504427	61148120	62180636	47263980	47595035	55300598		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	1541	22595	38932	38874	15876	160935	300072	242159	120903	164079	287115	384160	344962	287945	336724	251020	273027		4322582	4345238	6160994	6693918	9818878	12205320	11509018	20381656	12286589	16291791	20612734	23500234	22817556	21356939	12602350	10782767	13828366		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
72	"Iron and steel"	127736	77372	125581	188442	141497	189539	228801	288936	122123	77968	88078	56088	68168	111158	60174	82940	134078		759544	839256	1193407	1748753	1742029	2209198	2827456	3394378	1513984	1430545	1698995	1042873	1013078	1080249	825002	940854	1196214		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	9608	48435	131539	103965	70217	156305	228619	237440	176480	87045	75134	37705	61244	109894	77180	95137	121604		2207881	2690316	4011927	5719500	5410990	5544365	7192552	7466592	5320179	2918057	2203837	1352914	1559477	2042473	1736937	1999035	2169311		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
39	"Plastics and articles thereof"	11292	16071	20092	29718	39140	62313	82323	105000	76130	76880	101883	106707	99074	100264	104115	101807	102420		841567	976389	1249693	1606745	1656481	1908293	2455352	2680689	1886776	1881689	2004731	1677840	1918032	1995484	1709421	1810151	1880672		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	20230	30952	45754	72792	79775	98050	124153	135823	101512	90102	85337	82732	71940	102755	75763	89962	95967		2146254	2036708	2937792	3755984	3543994	4093231	5067636	5837191	4513139	4124324	4303384	4106005	3043626	2868855	2581327	2703239	2752412		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	27798	37615	55123	73734	79868	95508	134641	154290	94661	82053	79948	73831	75118	87417	78981	88820	91126		2759804	2745263	3840358	4649891	4389791	5194591	6479226	7989914	5622822	3944512	3394367	2585891	2865726	3463160	3158914	3359226	3718998		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	9217	12550	15651	17307	18033	23133	49779	71064	58823	63410	63801	40274	35718	32523	54664	88099	84926		745187	612719	1013789	1131889	1134801	1226593	1409491	1700642	1383431	1283828	1225219	897516	954284	988498	837488	923898	924955		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
60	"Knitted or crocheted fabrics"	4208	3842	7959	12202	15363	26111	37135	52763	42533	43059	57227	61390	71476	74869	56400	60361	62003		78449	60969	83318	79067	62784	77065	104354	117589	92838	87934	103520	98139	118473	127874	103970	113620	118021		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
73	"Articles of iron or steel"	20604	31095	46819	67551	74225	78718	118498	123403	70347	53586	49127	44911	49639	61781	47831	48630	54694		371381	411977	578930	705278	635613	707555	944225	1141910	830149	571319	551829	431666	441911	469398	376687	462548	540424		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
