Product code	Product label	Turkey's exports to Iran, Islamic Republic of-Value in 2001	Turkey's exports to Iran, Islamic Republic of-Value in 2002	Turkey's exports to Iran, Islamic Republic of-Value in 2003	Turkey's exports to Iran, Islamic Republic of-Value in 2004	Turkey's exports to Iran, Islamic Republic of-Value in 2005	Turkey's exports to Iran, Islamic Republic of-Value in 2006	Turkey's exports to Iran, Islamic Republic of-Value in 2007	Turkey's exports to Iran, Islamic Republic of-Value in 2008	Turkey's exports to Iran, Islamic Republic of-Value in 2009	Turkey's exports to Iran, Islamic Republic of-Value in 2010	Turkey's exports to Iran, Islamic Republic of-Value in 2011	Turkey's exports to Iran, Islamic Republic of-Value in 2012	Turkey's exports to Iran, Islamic Republic of-Value in 2013	Turkey's exports to Iran, Islamic Republic of-Value in 2014	Turkey's exports to Iran, Islamic Republic of-Value in 2015	Turkey's exports to Iran, Islamic Republic of-Value in 2016	Turkey's exports to Iran, Islamic Republic of-Value in 2017	Iran, Islamic Republic of's imports from world- 	Iran, Islamic Republic of's imports from world-Value in 2001	Iran, Islamic Republic of's imports from world-Value in 2002	Iran, Islamic Republic of's imports from world-Value in 2003	Iran, Islamic Republic of's imports from world-Value in 2004	Iran, Islamic Republic of's imports from world-Value in 2005	Iran, Islamic Republic of's imports from world-Value in 2006	Iran, Islamic Republic of's imports from world-Value in 2007	Iran, Islamic Republic of's imports from world-Value in 2008	Iran, Islamic Republic of's imports from world-Value in 2009	Iran, Islamic Republic of's imports from world-Value in 2010	Iran, Islamic Republic of's imports from world-Value in 2011	Iran, Islamic Republic of's imports from world-Value in 2012	Iran, Islamic Republic of's imports from world-Value in 2013	Iran, Islamic Republic of's imports from world-Value in 2014	Iran, Islamic Republic of's imports from world-Value in 2015	Iran, Islamic Republic of's imports from world-Value in 2016	Iran, Islamic Republic of's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	360536	308089	533786	812580	912940	1066902	1441190	2029760	2024546	3044177	3589635	9921602	4192511	3886190	3664228	4966176	3259995		16173078	20335749	25638123	32997069	38674660	40685759	48385896	55830496	54889534	55729565	57487546	51457988	48431895	52249795		42702118	51781015		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0		3179	7020	26788	13511	16785	8716	24692	21013	32220	75729	61299	60159	97676	172572		181475	88928		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
43	"Furskins and artificial fur; manufactures thereof"	0	0	0	5	0	1	0	7	4	20	0	4	0	1	0	1	2		52	4	0	6	21	0	53	179	24	142	173	98	31	74		41	229		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	0	0	1	6	1	0	211	81	80	182	422	132	2	1	83	33	3		41	22	0	48	132	112	894	1637	225	2412	3809	2290	3693	1758		4706	740		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
01	"Live animals"	0	0	0	18	25	17	36	0	0	190	462	0	8	47	13	6	6		2245	2304	4467	7094	8984	2564	13336	15312	57705	53370	42279	26481	84014	42443		60011	17683		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
97	"Works of art, collectors' pieces and antiques"	0	0	1	0	2	1	29	6	11	25	3	1	1	6	1177	28	8		3	0	18	6145	99356	130	96457	227	227	376	447	187	16	63		45	13242		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
50	"Silk"	0	0	0	21	108	41	41	92	15	130	101	489	316	86	125	139	14		9	108	469	1991	2095	933	7482	6135	5858	2918	4753	11488	12196	16674		15292	525		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	1	0	0	0	1	0	0	0	0	0	5	13	0	8	81	404	28		12	31	1	7	28	0	171	910	1955	6870	5759	115	191	0		94	3402		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
05	"Products of animal origin, not elsewhere specified or included"	0	0	0	0	0	1	0	0	21	5	6	17	6	5	5	4	50		2712	1727	2847	3416	4116	2328	11006	7696	9080	15088	8590	10292	9024	11093		10681	12817		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
92	"Musical instruments; parts and accessories of such articles"	0	65	172	5	4	21	13	46	28	238	103	72	56	100	92	28	52		2419	6034	10000	9375	7127	2187	3700	4956	3180	4949	5958	3874	2265	3664		5086	13806		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
99	"Commodities not elsewhere specified"	5	0	324	417	355	728	267	50	32	89	22	81	108	9	15	20	58		0	0	0	1956805	3447938	31256902	1892866	2207649	2084757	2765537	2828082	1409852	672920	1527735		1989112	381428		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	0	0	46	19	57	80	29	23	11	2	3	0	2	27	15	46	63		0	30	301	3337	906	747	2359	2671	2685	2561	2412	1305	467	714		545	1805		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
45	"Cork and articles of cork"	0	14	3	1	12	17	9	2	5	5	2	34	70	139	73	56	73		403	552	517	617	972	588	737	807	548	934	611	451	676	658		972	784		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	0	0	0	1	0	2	0	1	147	227	239	37	0	326	93	0	79		484	546	1444	3407	4342	4081	6055	7031	7363	7782	4939	4873	3651	6047		6814	11013		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
13	"Lac; gums, resins and other vegetable saps and extracts"	22	0	1	5	4	0	0	25	34	30	33	334	545	324	241	168	91		2785	3179	3890	4230	7057	2462	11790	19872	20141	31536	40191	30265	30159	25305		23616	20527		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	2	12	5	46	34	5	7	12	7	10	78	100	126	173	175	135	91		6	282	1095	3109	3348	1504	7906	9232	8527	9500	10284	4012	1838	3715		4740	35949		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	7	0	91	24	6	38	75	86	546	1417	52	1597	7281	212	145	168	146		1083	613	2028	2300	3085	1631	6008	8847	13738	12402	9585	5594	6369	6229		4882	6085		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	21	0	2	30	22	167	107	228	68	47	74	104	265	2285	350	220	191		44848	46690	41459	47678	65158	7040	62311	49526	50407	83640	70731	57354	66535	50694		49760	5609		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
89	"Ships, boats and floating structures"	0	0	0	0	0	26	23	487	2	3387	70	471	192	363	20	114	229		30104	32080	867539	117151	442274	31183	22885	76665	60275	19310	38971	9263	31028	7252		18760	48967		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
88	"Aircraft, spacecraft, and parts thereof"	76766	41044	0	40	21	45	9615	18965	528	354	5100	2430	960	590	160	260	378		0	181875	0	134396	0	0	185670	276582	0	0	0	0	0	0		0	467812		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
65	"Headgear and parts thereof"	1	1	4	6	11	7	5	34	18	39	173	67	32	195	230	656	389		181	520	2101	2758	2705	717	2223	2805	3541	2936	5306	3545	415	1979		4497	21050		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
41	"Raw hides and skins (other than furskins) and leather"	0	13	16	23	46	103	1682	3198	1140	624	681	274	1966	453	617	504	390		958	3335	19227	673	1299	493	3547	5129	2188	1325	784	501	3680	1288		1003	1451		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
