Product code	Product label	Turkey's exports to Iraq-Value in 2001	Turkey's exports to Iraq-Value in 2002	Turkey's exports to Iraq-Value in 2003	Turkey's exports to Iraq-Value in 2004	Turkey's exports to Iraq-Value in 2005	Turkey's exports to Iraq-Value in 2006	Turkey's exports to Iraq-Value in 2007	Turkey's exports to Iraq-Value in 2008	Turkey's exports to Iraq-Value in 2009	Turkey's exports to Iraq-Value in 2010	Turkey's exports to Iraq-Value in 2011	Turkey's exports to Iraq-Value in 2012	Turkey's exports to Iraq-Value in 2013	Turkey's exports to Iraq-Value in 2014	Turkey's exports to Iraq-Value in 2015	Turkey's exports to Iraq-Value in 2016	Turkey's exports to Iraq-Value in 2017	Iraq's imports from world- 	Iraq's imports from world-Value in 2001	Iraq's imports from world-Value in 2002	Iraq's imports from world-Value in 2003	Iraq's imports from world-Value in 2004	Iraq's imports from world-Value in 2005	Iraq's imports from world-Value in 2006	Iraq's imports from world-Value in 2007	Iraq's imports from world-Value in 2008	Iraq's imports from world-Value in 2009	Iraq's imports from world-Value in 2010	Iraq's imports from world-Value in 2011	Iraq's imports from world-Value in 2012	Iraq's imports from world-Value in 2013	Iraq's imports from world-Value in 2014	Iraq's imports from world-Value in 2015	Iraq's imports from world-Value in 2016	Iraq's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	0	0	829058	1820802	2750080	2589352	2844767	3916685	5123406	6036362	8310130	10822144	11948905	10887826	8550947	7636670	9056661															37064477	39866935	40711359	32514138		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
80	"Tin and articles thereof"	0	0	0	19	18	1	0	0	4	0	0	0	10	0	1	0	0															1170	1193	1009	1466		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
43	"Furskins and artificial fur; manufactures thereof"	0	0	2	0	2	1	0	0	0	5	232	9	5	0	3	0	2															0	158	75	259		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
05	"Products of animal origin, not elsewhere specified or included"	0	0	0	0	0	0	0	0	2	4	6	6	18	6	3	0	3															974	13	186	164		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	0	0	2	29	3	34	33	19	61	26	38	67	46	30	7	23	8															21	3687	2142	637		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
26	"Ores, slag and ash"	0	0	1	139	3	10	47	50	29	101	70	79	71	42	100	22	12															2333	437	12191	1691		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
45	"Cork and articles of cork"	0	0	7	2	76	2	91	119	104	51	222	63	107	79	12	12	13															6630	1799	557	439		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	11	0	0	0	10	19	0	82	123	40	256	39	2	18	19															1291	145	890	113		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
78	"Lead and articles thereof"	0	0	1	33	1	12	15	55	14	54	36	18	71	186	157	39	47															0	316	264	91		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
50	"Silk"	0	0	3	3	6	0	59	33	22	9	32	6	165	66	4	14	50															0	8581	3339	2416		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
