Product code	Product label	Turkey's exports to Israel-Value in 2001	Turkey's exports to Israel-Value in 2002	Turkey's exports to Israel-Value in 2003	Turkey's exports to Israel-Value in 2004	Turkey's exports to Israel-Value in 2005	Turkey's exports to Israel-Value in 2006	Turkey's exports to Israel-Value in 2007	Turkey's exports to Israel-Value in 2008	Turkey's exports to Israel-Value in 2009	Turkey's exports to Israel-Value in 2010	Turkey's exports to Israel-Value in 2011	Turkey's exports to Israel-Value in 2012	Turkey's exports to Israel-Value in 2013	Turkey's exports to Israel-Value in 2014	Turkey's exports to Israel-Value in 2015	Turkey's exports to Israel-Value in 2016	Turkey's exports to Israel-Value in 2017	Israel's imports from world- 	Israel's imports from world-Value in 2001	Israel's imports from world-Value in 2002	Israel's imports from world-Value in 2003	Israel's imports from world-Value in 2004	Israel's imports from world-Value in 2005	Israel's imports from world-Value in 2006	Israel's imports from world-Value in 2007	Israel's imports from world-Value in 2008	Israel's imports from world-Value in 2009	Israel's imports from world-Value in 2010	Israel's imports from world-Value in 2011	Israel's imports from world-Value in 2012	Israel's imports from world-Value in 2013	Israel's imports from world-Value in 2014	Israel's imports from world-Value in 2015	Israel's imports from world-Value in 2016	Israel's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	805218	850859	1082998	1313890	1466913	1529158	1658195	1935235	1522436	2080148	2391148	2329531	2649663	2950902	2698131	2955545	3409532		33303113	33105904	34210938	40969518	45032350	47834446	56619379	65170546	47362724	59193894	73526105	73112080	71995022	72331780	62067788	65802693	69692641		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
80	"Tin and articles thereof"	0	1	6	1	6	3	3	7	0	0	0	0	121	0	0	0	0		1970	1442	1488	81706	2928	3954	5460	5810	3672	5533	6737	5273	4734	5478	3621	3406	4828		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
01	"Live animals"	0	0	0	0	0	0	1	0	0	0	0	0	0	5	5	0	0		27907	25876	22593	0	37139	65642	41425	68841	71912	90794	128275	126393	148433	131341	214441	279424	267500		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	0	0	1	0	1	0	2	9	0	3	0	0	0	0	0	0	0		6740	7649	8405	0	11026	10645	13342	12386	11704	12744	14725	12949	13184	13965	12828	15142	16955		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	10	4	15	48	0	95	18	294	6300	0	0	0	425	0	0		63306	67886	76824	79203	87179	100353	124573	131054	93778	143975	143352	110783	98033	96789	102040	101367	96112		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
75	"Nickel and articles thereof"	293	301	296	424	512	406	328	217	25	13	6	27	19	8	5	6	1		24245	17914	15940	24181	46170	54297	70270	70157	29834	31817	42163	48425	39644	33894	39181	36994	36429		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
97	"Works of art, collectors' pieces and antiques"	2	2	0	1	1	7	23	0	0	4	0	2	4	0	0	6	5		47300	22235	22991	21135	15334	19701	37870	26291	29895	51637	86313	63053	39363	42643	42228	41499	86243		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
37	"Photographic or cinematographic goods"	102	54	101	108	30	30	7	21	74	208	90	42	36	32	7	6	5		109148	99790	104193	101382	93541	103560	114492	120129	124509	126492	117410	165297	145303	117309	98369	90874	116340		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
13	"Lac; gums, resins and other vegetable saps and extracts"	0	0	0	0	0	0	0	0	0	14	15	22	12	31	30	15	15		12765	13178	17107	18307	18559	27200	31625	27902	18306	22268	29065	35237	35972	37978	32082	21415	27003		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
45	"Cork and articles of cork"	0	1	0	1	0	7	0	1	0	0	0	15	3	2	1	2	20		3171	2898	3500	3799	4408	4420	5355	5045	4413	4773	5865	5869	5696	5957	5564	5641	5229		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	2	11	4	16	7	12	6	42	8	139	164	45	5	7	10	44	20		3699	4163	3221	4094	3864	4310	4680	6380	5498	7242	7562	9333	10748	8845	9996	10725	10705		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
81	"Other base metals; cermets; articles thereof"	64	0	0	53	0	2	2	1	4	6	5	1	3	4	10	59	23		149269	118427	143415	167854	186316	183861	170036	175326	100855	162469	192361	156715	174162	159279	138452	114579	134769		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
93	"Arms and ammunition; parts and accessories thereof"	264	197	1375	189	1480	2717	2779	735	641	869	182	113	29	21	176	155	31		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
43	"Furskins and artificial fur; manufactures thereof"	49	4	34	22	36	24	9	69	39	70	2	8	52	21	3	19	31		469	511	454	560	1415	1438	1055	1063	577	745	552	1048	708	768	566	724	792		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	4	30	14	19	31	17	57	8	8	4	21	18	20	11	18	40	40		7981	8266	7154	9252	8646	10888	11774	13003	11874	13110	16066	17415	21637	23275	25250	27245	32782		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	2	0	29	10	4	4	8	3	3	45	34	14	10	10	37	32	45		4694	5141	5033	6335	5759	6263	9153	9968	7662	10858	10866	10817	9643	11073	10880	10602	11968		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	2250	1547	1270	1671	3705	3776	4832	6488	1125	87	14	56	59	20	31	50	50		7822	4576	4323	7830	9259	5880	6904	9688	4788	2990	2821	2980	2970	2807	2240	3507	3506		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
50	"Silk"	1	4	153	0	0	5	1	22	5	0	4	64	32	3	0	23	54		1874	1058	1393	5564	3220	2897	2972	2451	1158	2012	2131	983	990	877	730	881	631		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
05	"Products of animal origin, not elsewhere specified or included"	5	13	11	10	4	10	0	0	0	0	0	0	0	1	0	33	60		2583	2513	2151	0	3739	5119	6328	8787	5755	6505	12172	9732	6835	5300	7506	5731	6112		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
02	"Meat and edible meat offal"	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	63		127224	124986	118271	0	148459	219221	215716	327046	269720	384634	482725	449578	507487	428735	455192	577010	569509		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	776	1062	1123	789	0	0	30	0	2	17	51	22	54	45	8	24	117		102055	126013	58571	107528	101015	95817	38929	337286	90440	31431	179682	331620	128137	263245	123434	61938	162741		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
92	"Musical instruments; parts and accessories of such articles"	68	48	47	99	46	60	116	64	99	110	108	106	77	104	73	104	168		10439	9644	9375	10567	12903	14058	18477	19701	18869	19898	20760	20558	20896	21644	21504	23335	23843		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
78	"Lead and articles thereof"	0	1	1	319	171	218	797	1745	579	871	426	66	105	84	115	308	170		2617	4079	3801	7193	9767	10017	25818	30130	20439	26972	21407	10418	10108	15991	15104	13046	16596		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	3	7	13	32	70	169	23	84	5	84	25	78	176	187	222	277	228		3185	2579	2523	2583	4110	5470	4477	3463	2355	2252	2738	2360	3301	4783	7143	4401	4273		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
91	"Clocks and watches and parts thereof"	18	87	118	119	17	42	71	49	22	42	205	245	102	119	126	206	285		50991	47546	46484	54762	60653	68084	86284	88145	79573	89863	100236	101915	118013	120361	119230	122730	133224		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	1440	2626	2662	2777	235	210	347	548	315	84	43	129	122	85	83	45	288		23413	17209	17432	18975	14062	13461	14412	5784	4043	4174	5061	5267	5728	5757	6218	6155	6223		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
65	"Headgear and parts thereof"	214	83	32	31	49	58	38	134	29	19	43	64	97	110	148	270	396		13874	15601	13384	14648	17446	17848	22057	26402	20631	21588	24654	26600	29178	32074	32214	37211	44514		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	50	84	100	51	59	66	351	925	280	267	291	175	289	430	280	403	438		60171	63208	51040	55718	57860	63226	69154	72787	65209	66690	82518	78902	65815	64627	64309	65993	69413		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
