Product code	Product label	Turkey's exports to Italy-Value in 2001	Turkey's exports to Italy-Value in 2002	Turkey's exports to Italy-Value in 2003	Turkey's exports to Italy-Value in 2004	Turkey's exports to Italy-Value in 2005	Turkey's exports to Italy-Value in 2006	Turkey's exports to Italy-Value in 2007	Turkey's exports to Italy-Value in 2008	Turkey's exports to Italy-Value in 2009	Turkey's exports to Italy-Value in 2010	Turkey's exports to Italy-Value in 2011	Turkey's exports to Italy-Value in 2012	Turkey's exports to Italy-Value in 2013	Turkey's exports to Italy-Value in 2014	Turkey's exports to Italy-Value in 2015	Turkey's exports to Italy-Value in 2016	Turkey's exports to Italy-Value in 2017	Italy's imports from world- 	Italy's imports from world-Value in 2001	Italy's imports from world-Value in 2002	Italy's imports from world-Value in 2003	Italy's imports from world-Value in 2004	Italy's imports from world-Value in 2005	Italy's imports from world-Value in 2006	Italy's imports from world-Value in 2007	Italy's imports from world-Value in 2008	Italy's imports from world-Value in 2009	Italy's imports from world-Value in 2010	Italy's imports from world-Value in 2011	Italy's imports from world-Value in 2012	Italy's imports from world-Value in 2013	Italy's imports from world-Value in 2014	Italy's imports from world-Value in 2015	Italy's imports from world-Value in 2016	Italy's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	2342203	2361212	3194797	4641199	5618164	6752991	7480711	7820270	5889622	6507052	7854463	6373488	6718743	7141112	6887902	7580892	8475683		236126622	246609477	297402799	355266853	384835561	442565103	511822514	560960371	414783638	486984372	558831982	489104116	479336353	474082559	410933264	404577979	451415535		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
97	"Works of art, collectors' pieces and antiques"	19	2	5	2	38	1	5	11	8	53	0	17	21	70	44	228	0		43872	150156	52295	89226	117169	100666	165852	161455	99871	138101	154239	291349	128707	124422	142267	103792	143268		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
80	"Tin and articles thereof"	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0		37535	34426	41136	60816	59109	65888	85879	107820	54563	103075	168881	101729	113155	109971	84439	99946	139762		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
45	"Cork and articles of cork"	0	0	0	0	0	0	6	0	0	0	0	6	1	34	0	0	0		100463	102325	120252	159141	159773	171727	186202	176053	143214	148731	169393	181090	171691	184807	166704	176554	191850		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	5	36	16	0	0	69	16	1	2	5	9	0	11	65	17	19	1		46868	53853	67845	73719	69472	77454	86886	81717	64169	78175	78822	61900	52956	58084	53051	51428	49884		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	3	5	446	646	1100	728	321	17	1	3	278	67	14	5	8	4	2		60636	52905	64171	77117	77065	88249	85347	103229	93832	100404	115800	77106	88512	99344	88415	79124	77095		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	52	30	0	1	5	18	8	4	122	128	25	7	2	1	17	1	7		67180	65941	91002	106321	112401	117867	135577	146016	125582	142159	147545	107802	106855	125551	113496	104826	118066		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
37	"Photographic or cinematographic goods"	7	0	364	17	41	129	402	507	663	452	461	349	310	253	88	51	16		647332	686821	827989	914795	894647	886465	914332	865498	679230	567839	560029	454294	410408	382059	312125	326891	302786		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	2	10	7	5	68	49	62	15	1	59	194	165	150	198	92	1	35		1609474	1561877	1804679	1896601	2043325	2236872	2594848	2636020	1809568	2680881	2710056	2214290	2392653	2292986	2281079	2014932	2190976		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	1	1179	2569	1089	39	0	0	0	86	0	0	29	0	0	0	0	44		2443689	2389550	3015951	3576876	3561426	3650355	4491751	4960541	4091001	4697573	5346800	4624260	5380862	5309654	3964324	3663073	4204103		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
