Product code	Product label	Turkey's exports to Netherlands-Value in 2001	Turkey's exports to Netherlands-Value in 2002	Turkey's exports to Netherlands-Value in 2003	Turkey's exports to Netherlands-Value in 2004	Turkey's exports to Netherlands-Value in 2005	Turkey's exports to Netherlands-Value in 2006	Turkey's exports to Netherlands-Value in 2007	Turkey's exports to Netherlands-Value in 2008	Turkey's exports to Netherlands-Value in 2009	Turkey's exports to Netherlands-Value in 2010	Turkey's exports to Netherlands-Value in 2011	Turkey's exports to Netherlands-Value in 2012	Turkey's exports to Netherlands-Value in 2013	Turkey's exports to Netherlands-Value in 2014	Turkey's exports to Netherlands-Value in 2015	Turkey's exports to Netherlands-Value in 2016	Turkey's exports to Netherlands-Value in 2017	Netherlands's imports from world- 	Netherlands's imports from world-Value in 2001	Netherlands's imports from world-Value in 2002	Netherlands's imports from world-Value in 2003	Netherlands's imports from world-Value in 2004	Netherlands's imports from world-Value in 2005	Netherlands's imports from world-Value in 2006	Netherlands's imports from world-Value in 2007	Netherlands's imports from world-Value in 2008	Netherlands's imports from world-Value in 2009	Netherlands's imports from world-Value in 2010	Netherlands's imports from world-Value in 2011	Netherlands's imports from world-Value in 2012	Netherlands's imports from world-Value in 2013	Netherlands's imports from world-Value in 2014	Netherlands's imports from world-Value in 2015	Netherlands's imports from world-Value in 2016	Netherlands's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	892416	1043866	1525929	2138004	2469582	2539246	3018878	3143835	2127297	2461371	3243080	3244429	3538043	3458689	3154943	3589432	3862848		195562208	194114788	233996689	284014019	310591344	358509534	421367716	494936571	382190422	439986633	492837632	500605323	589694410	589592496	512421630	504929017	574097986		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
02	"Meat and edible meat offal"	94	153	57	0	12	3	0	0	0	0	0	0	0	637	0	0	0		1040805	1187569	1663953	1891354	2004061	2375958	3115175	3587635	3236259	3289865	4597798	4540613	5041191	5168219	4658283	4552325	4912624		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	141	76	83	26	25	8	221	688	282	688	399	268	20	16	0	1	0		24087	29234	42662	40453	50690	47612	62303	67509	72831	60604	75071	71818	84258	104400	96705	104172	94823		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
45	"Cork and articles of cork"	0	0	1	0	1	0	0	0	1	1	0	0	1	0	3	0	0		7708	11698	12260	15943	15490	17125	16101	19258	15936	17474	19831	12644	9548	7505	10183	13631	15679		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	4	0	0	0	0	0	0	0	0	0	0	0	14	10	0		601059	642358	822728	983588	1076211	1053347	1232118	1439745	906005	1416837	2016034	1690946	2496518	2315336	2204335	1960568	2274866		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	8	17	8	5	13	3	3	11	9	7	19	9	9	2	1	9	3		45028	46179	52301	59855	53520	56527	64868	76909	61602	84983	77517	75746	72542	79221	70686	70322	85315		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	2	3	2	4	14	7	6	1	1	1	4	15	2	6	4	7	5		39324	40828	46851	51636	50812	53462	61470	66182	53265	60716	76085	71157	85357	94488	89884	86217	97664		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
31	"Fertilisers"	0	0	0	0	0	8	38	0	0	0	2432	1	4	74	223	1	5		221507	259329	386764	427254	504524	461040	624190	972988	518020	702528	1055760	1081182	1023395	1214423	968112	866163	848359		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
13	"Lac; gums, resins and other vegetable saps and extracts"	3	1	0	1	0	0	7	0	15	22	13	0	26	9	31	34	6		55137	62050	71869	95064	77157	77968	102547	127887	115270	120466	170134	223376	183971	170585	153992	154743	157133		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
01	"Live animals"	9	0	0	0	0	121	1	104	81	125	119	40	6	6	0	55	20		214398	283609	344722	459086	553263	593061	703012	858274	896733	905532	1384460	1370692	1403052	1262822	1224114	1306313	1464019		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
37	"Photographic or cinematographic goods"	9	20	218	17	21	45	200	95	58	35	546	87	122	26	68	171	21		471374	572687	688718	716044	916968	680357	655533	755874	509144	605118	824242	758865	775963	776329	736561	687028	696104		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
05	"Products of animal origin, not elsewhere specified or included"	21	114	177	823	461	104	328	693	230	686	1099	1218	86	857	243	74	31		93658	107595	114727	111151	149112	194932	232796	310570	391273	368849	488202	536618	554459	530073	458708	424197	481938		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
41	"Raw hides and skins (other than furskins) and leather"	81	60	396	226	229	409	696	475	163	87	59	67	74	314	31	46	33		230807	233119	220921	224301	225030	266184	282674	279662	187318	277239	391052	323172	365910	402844	322701	313264	345237		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
