Product code	Product label	Turkey's exports to Poland-Value in 2001	Turkey's exports to Poland-Value in 2002	Turkey's exports to Poland-Value in 2003	Turkey's exports to Poland-Value in 2004	Turkey's exports to Poland-Value in 2005	Turkey's exports to Poland-Value in 2006	Turkey's exports to Poland-Value in 2007	Turkey's exports to Poland-Value in 2008	Turkey's exports to Poland-Value in 2009	Turkey's exports to Poland-Value in 2010	Turkey's exports to Poland-Value in 2011	Turkey's exports to Poland-Value in 2012	Turkey's exports to Poland-Value in 2013	Turkey's exports to Poland-Value in 2014	Turkey's exports to Poland-Value in 2015	Turkey's exports to Poland-Value in 2016	Turkey's exports to Poland-Value in 2017	Poland's imports from world- 	Poland's imports from world-Value in 2001	Poland's imports from world-Value in 2002	Poland's imports from world-Value in 2003	Poland's imports from world-Value in 2004	Poland's imports from world-Value in 2005	Poland's imports from world-Value in 2006	Poland's imports from world-Value in 2007	Poland's imports from world-Value in 2008	Poland's imports from world-Value in 2009	Poland's imports from world-Value in 2010	Poland's imports from world-Value in 2011	Poland's imports from world-Value in 2012	Poland's imports from world-Value in 2013	Poland's imports from world-Value in 2014	Poland's imports from world-Value in 2015	Poland's imports from world-Value in 2016	Poland's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	241234	340933	486046	697677	830483	1060078	1436402	1586772	1322218	1504280	1758252	1853700	2058857	2401689	2329394	2650505	3071982		49447434	54266342	67146113	88154397	101538809	125645308	164172482	210478513	149569836	174127590	209191546	191430112	205613793	216687292	189696474	188517819	217978576		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
80	"Tin and articles thereof"	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0		6837	7778	8105	19506	19902	28876	48371	55727	33769	50243	90378	80283	88107	86506	63435	77842	90246		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
01	"Live animals"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	20	0	0		38282	43181	42090	82090	123160	108436	161883	251480	291815	277770	377483	541557	798426	802195	553016	606096	733827		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
02	"Meat and edible meat offal"	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		60628	95201	104588	293925	464851	482192	739827	1548253	1490028	1423174	1709106	1656692	1878656	1820489	1521850	1516175	1746533		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
10	"Cereals"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		171892	112735	118984	223491	142001	241589	579719	861015	290204	326342	595875	502794	435229	446606	334467	356455	394128		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
13	"Lac; gums, resins and other vegetable saps and extracts"	0	0	0	19	0	2	2	0	0	3	3	8	1	131	45	4	0		27597	31958	35914	47886	57335	65092	74623	105267	94803	93549	97204	93735	107753	110468	95225	97608	99117		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	0	44	3	2	7	1	0	8	1	0	0	0	0	0	0	0	0		1521	1882	1872	2905	3098	3611	5641	7774	22563	32692	52642	89135	104804	128232	86768	42965	33221		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	0		37734	46543	52752	68571	91321	100168	152781	225190	203367	209853	251796	236639	294657	276652	232697	227598	234604		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
31	"Fertilisers"	0	0	0	0	0	0	0	0	0	3	0	0	1	21	59	47	0		153060	171034	179823	296719	386844	345799	498118	851459	416421	574451	748901	786857	899882	925999	837951	780613	872011		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	37	61	59	13	131	13	5	15	15	0	0	0	0	0	0	0	0		14488	7647	10800	15594	14976	19709	32545	42883	29602	32747	36728	38167	43152	54692	53697	49893	60859		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
45	"Cork and articles of cork"	0	0	0	0	1	0	0	0	0	0	0	1	54	14	3	0	1		5323	6011	6860	7803	8946	11219	15033	14110	9923	10595	12481	11471	11534	10344	7937	8830	9850		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4		142506	169686	199544	244548	267220	301353	354753	482921	364870	550233	607631	547117	654834	702729	681610	660371	672927		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	0	0	0	0	0	1	2	1	1	30	42	57	0	0	0	2	5		8488	9034	8631	12649	11652	11019	18970	25334	18069	20355	31359	28244	23124	31855	28722	29860	34983		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
50	"Silk"	0	3	0	0	46	23	105	36	46	37	129	46	67	27	8	9	9		7181	6147	7155	13526	17620	20277	23686	27834	18413	11897	9108	7548	8870	9939	7858	6116	5086		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	0	0	0	0	1	42	0	0	0	0	24	456	167	403	224	2	22		80097	69634	78506	111754	122167	144011	213664	294240	232230	204195	278570	239426	222568	205499	214451	229098	213789		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	117	0	19	41	51	3	6	5	12	15	0	6	0	0	0	8	31		173180	198872	245793	318878	339132	439853	531165	847379	566330	654512	1063375	1040109	1010828	945462	769032	861034	1018200		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	0	0	1	0	0	0	0	33	0	1	1	1	0	5	38	53	35		6571	7114	9558	13903	15589	18842	25208	32454	26611	29209	27877	24387	24689	29140	24546	27172	28855		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
97	"Works of art, collectors' pieces and antiques"	0	0	0	2	0	2	0	0	0	0	16	0	15	351	90	24	40		5519	8168	6058	5505	5028	5272	8115	15618	10610	10442	22051	15271	23052	24861	19295	17583	18107		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
