Product code	Product label	Turkey's exports to Romania-Value in 2001	Turkey's exports to Romania-Value in 2002	Turkey's exports to Romania-Value in 2003	Turkey's exports to Romania-Value in 2004	Turkey's exports to Romania-Value in 2005	Turkey's exports to Romania-Value in 2006	Turkey's exports to Romania-Value in 2007	Turkey's exports to Romania-Value in 2008	Turkey's exports to Romania-Value in 2009	Turkey's exports to Romania-Value in 2010	Turkey's exports to Romania-Value in 2011	Turkey's exports to Romania-Value in 2012	Turkey's exports to Romania-Value in 2013	Turkey's exports to Romania-Value in 2014	Turkey's exports to Romania-Value in 2015	Turkey's exports to Romania-Value in 2016	Turkey's exports to Romania-Value in 2017	Romania's imports from world- 	Romania's imports from world-Value in 2001	Romania's imports from world-Value in 2002	Romania's imports from world-Value in 2003	Romania's imports from world-Value in 2004	Romania's imports from world-Value in 2005	Romania's imports from world-Value in 2006	Romania's imports from world-Value in 2007	Romania's imports from world-Value in 2008	Romania's imports from world-Value in 2009	Romania's imports from world-Value in 2010	Romania's imports from world-Value in 2011	Romania's imports from world-Value in 2012	Romania's imports from world-Value in 2013	Romania's imports from world-Value in 2014	Romania's imports from world-Value in 2015	Romania's imports from world-Value in 2016	Romania's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	392028	560431	873347	1235485	1785409	2350474	3644162	3987476	2201936	2599380	2878760	2495427	2616313	3008011	2815642	2671249	3140933		15551616	17861681	24003123	32663738	40462894	51106039	69946195	82964979	54256269	62006624	76365285	70259719	73452192	77889071	69857682	74604617	85318177		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
01	"Live animals"	226	165	311	606	1282	0	0	0	0	0	0	0	0	0	0	0	0		57198	40205	22079	29216	44187	46900	61566	130774	150175	112585	121375	178799	218727	251665	178201	180722	202522		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
02	"Meat and edible meat offal"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		165779	190619	187487	343407	621734	652425	740912	1025279	870893	659409	612944	614995	650420	725204	631211	712413	865946		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
13	"Lac; gums, resins and other vegetable saps and extracts"	0	12	22	22	6	12	24	17	8	8	7	5	10	8	5	10	0		4152	3760	5505	6963	8912	11872	15562	31993	18758	18692	23941	27273	25283	25495	28712	30955	33212		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	1	16	0	6	13	14	16	4	0	0	7	0	0	0	0	5	0		357	383	570	416	708	705	1464	1026	1533	1985	2279	1530	1359	1379	1475	1760	1593		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	0	0	0	0	0	333	10	21	141	0	0	0	0	12	0		3780	9753	12263	5735	10168	11974	22921	24390	42696	60693	57411	56906	73637	81886	81039	94464	104619		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	2	48	146	1423	19	3	12	1	0	10	25	1	61	12	3	2	2		35177	27283	54531	54135	36825	59917	127428	172895	121830	92605	149024	136814	148205	132003	114603	116894	115276		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
80	"Tin and articles thereof"	2	1	20	0	0	1	0	11	0	0	0	5	12	6	14	6	4		2789	2187	3361	5067	5198	9888	8611	11907	6733	10448	14691	11603	13715	15020	15603	24954	22770		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
78	"Lead and articles thereof"	0	3	146	4	2	3	7	18	127	119	115	328	247	21	48	52	6		2493	2083	1706	2985	2875	3360	5053	6439	18066	29132	38545	33536	38248	36232	33302	51397	51292		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
45	"Cork and articles of cork"	1	0	0	6	26	0	1	0	0	0	0	2	19	25	18	7	10		3413	4051	4808	4904	6498	7006	7460	8170	6105	5577	5909	6440	6398	6893	5885	6871	7866		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
92	"Musical instruments; parts and accessories of such articles"	1	1	3	1	1	9	24	7	1	2	3	0	19	13	18	16	19		1568	1896	3230	3832	6197	8246	12202	13739	11221	13648	15247	16941	16821	20159	17673	20400	20734		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	8	7	41	103	36	40	30	19	19	10	2	16	7	24	22	25	29		202	346	554	1051	1295	1915	3902	6074	3920	4239	4032	3923	3310	3140	3231	4113	4498		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
50	"Silk"	0	0	136	939	620	251	225	521	231	207	107	45	49	18	25	27	36		5311	12926	15181	31347	46959	65952	77157	91810	42478	57631	92504	86220	121299	109381	93887	114553	91203		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
75	"Nickel and articles thereof"	43	66	55	111	93	183	203	175	0	9	35	1454	27	20	244	182	53		14124	16182	15392	22855	27184	40552	52311	35446	21925	32070	35799	39165	38738	44940	48924	49626	52650		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	0	112	513	1306	804	29	117	172	15	401	160	35	60	271	78	13	54		38514	78981	210138	187958	135829	180821	289579	341706	200631	95727	94370	90286	95774	192041	80193	162235	102755		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	0	0	1	86	52	10	4	0	255	0	0	285	129	164	155	131	59		17229	12324	14515	20143	26313	38073	70324	96999	81048	78877	92381	117138	142701	156621	153445	166029	215193		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	3675	176	126	112	600	4	0	0	0	1	0	0	0	13	0	0	64		29144	29163	34129	39294	49766	65499	203345	296228	295389	291890	344763	325707	398612	400871	358516	444209	564197		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
37	"Photographic or cinematographic goods"	116	118	89	147	103	204	549	389	344	521	544	290	374	602	508	239	74		23852	28066	36884	46874	47121	47302	57820	54007	41749	41261	46110	44135	44217	47553	42997	39344	38195		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	1	3	0	4	37	36	26	89	11	14	10	6	16	31	47	48	88		1371	1612	1394	1535	2453	3057	3544	5390	8610	14034	6262	4899	4688	5466	6583	8633	11098		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
81	"Other base metals; cermets; articles thereof"	11	17	32	23	30	28	10	254	4	4	15	97	282	280	71	3	91		5695	8215	15375	18991	23704	33472	42336	58439	37450	46763	59482	55258	65223	123285	89851	78498	94306		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
97	"Works of art, collectors' pieces and antiques"	0	13	0	1004	0	5	0	0	8	11	52	27	3	94	3	1	123		0	0	0	0	0	1468	0	0	0	0	0	0	0	0	0	0	0		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	29	472	138	145	261	252	1642	1036	97	263	143	27	148	333	75	67	125		2135	2871	3552	7004	8547	13670	18013	18909	10830	10360	12366	9078	11087	13312	10790	12383	13692		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
23	"Residues and waste from the food industries; prepared animal fodder"	0	0	36	8	1	0	0	979	213	416	629	360	470	3883	72	133	143		62799	78633	86158	110749	112623	135063	215282	324872	365544	346610	380520	444525	501362	518431	465616	437553	508692		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
