Product code	Product label	Turkey's exports to Russian Federation-Value in 2001	Turkey's exports to Russian Federation-Value in 2002	Turkey's exports to Russian Federation-Value in 2003	Turkey's exports to Russian Federation-Value in 2004	Turkey's exports to Russian Federation-Value in 2005	Turkey's exports to Russian Federation-Value in 2006	Turkey's exports to Russian Federation-Value in 2007	Turkey's exports to Russian Federation-Value in 2008	Turkey's exports to Russian Federation-Value in 2009	Turkey's exports to Russian Federation-Value in 2010	Turkey's exports to Russian Federation-Value in 2011	Turkey's exports to Russian Federation-Value in 2012	Turkey's exports to Russian Federation-Value in 2013	Turkey's exports to Russian Federation-Value in 2014	Turkey's exports to Russian Federation-Value in 2015	Turkey's exports to Russian Federation-Value in 2016	Turkey's exports to Russian Federation-Value in 2017	Russian Federation's imports from world- 	Russian Federation's imports from world-Value in 2001	Russian Federation's imports from world-Value in 2002	Russian Federation's imports from world-Value in 2003	Russian Federation's imports from world-Value in 2004	Russian Federation's imports from world-Value in 2005	Russian Federation's imports from world-Value in 2006	Russian Federation's imports from world-Value in 2007	Russian Federation's imports from world-Value in 2008	Russian Federation's imports from world-Value in 2009	Russian Federation's imports from world-Value in 2010	Russian Federation's imports from world-Value in 2011	Russian Federation's imports from world-Value in 2012	Russian Federation's imports from world-Value in 2013	Russian Federation's imports from world-Value in 2014	Russian Federation's imports from world-Value in 2015	Russian Federation's imports from world-Value in 2016	Russian Federation's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	924107	1168309	1367591	1859187	2377050	3237611	4726853	6483004	3189607	4628153	5992633	6680777	6964209	5943014	3589464	1732954	2735484		41865362	46176985	57345988	75569015	98707256	137811060	199725955	267051244	170826590	228911658	306091490	316192918	314945095	286648777	182781965	182261656	228212750		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	74610	90526	119663	168978	224777	262603	381110	430486	452066	566142	597369	544654	614307	622404	599925	343990	637300		684406	814546	1134366	1566695	2134674	2973035	3738074	4462698	4393760	5471169	6204617	6279814	6401898	5479577	3944184	3830586	4677746		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	38181	40109	75923	114944	163070	249144	361715	461308	217875	276361	498759	563206	729933	577387	317955	185511	291830		5708156	6873398	8435424	11178236	15713790	21867424	32478746	45942337	27503610	36982516	51672092	57818026	56964844	52105387	34147899	35360934	45287673		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	57467	74615	137050	199288	296257	589202	730771	1384349	231186	587944	831955	771022	947067	646689	214102	170371	236098		1922065	2352469	4008675	7486815	11274163	18673417	33502417	48072195	14161219	22677472	37860472	44604961	40193697	31426474	15377788	15637225	21498556		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	49773	67067	85175	114754	141148	196419	263169	384943	162544	215111	381335	424011	363377	329594	137914	93746	144051		3036078	3764049	4391120	6630632	9920678	14874656	22133056	28079147	18506290	25774755	30943135	35592204	35547493	33740293	21110277	21504449	26731434		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
39	"Plastics and articles thereof"	46580	57096	78343	109370	136223	169941	227031	288732	171481	230395	273277	300954	319290	307275	186087	86243	113994		1113897	1416506	1863834	2338628	3542135	4956119	6741468	8478663	5752980	8125488	10057256	11503318	11466621	11030032	7629191	7541507	8765789		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	31064	37467	55967	80402	79538	96659	120757	120922	72161	114308	118199	142351	137191	113028	82467	57616	82014		169265	345868	257765	369979	448454	851380	1656549	2391166	2045033	2971425	3470072	4097249	4124911	4023985	2681147	2700409	3394031		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	14635	15630	22240	26255	32186	51397	48476	65327	35851	92187	113918	141673	163623	147542	76774	45593	79319		108785	187421	226359	262936	353925	647224	1184733	1834196	1629279	2580650	3271393	4099764	4066353	3724664	2417088	2560676	3181208		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
73	"Articles of iron or steel"	175942	249379	38801	65574	93842	119074	161409	232379	99895	85347	106453	138529	163334	136650	93340	55196	77503		1109061	1133602	1431952	1984513	2703443	3751089	5580900	6207737	3726004	5900717	7731737	7622162	8185191	6904823	4077681	4148749	5305173		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
64	"Footwear, gaiters and the like; parts of such articles"	12343	11258	12757	8175	11655	16908	32045	49243	52259	101531	95416	110369	128739	111198	69683	28462	72763		215926	242136	302337	307395	572168	1170070	2143054	2954241	2267089	3904582	4160035	4260688	4577835	3682146	2362348	2352806	3175405		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
