Product code	Product label	Turkey's exports to Saudi Arabia-Value in 2001	Turkey's exports to Saudi Arabia-Value in 2002	Turkey's exports to Saudi Arabia-Value in 2003	Turkey's exports to Saudi Arabia-Value in 2004	Turkey's exports to Saudi Arabia-Value in 2005	Turkey's exports to Saudi Arabia-Value in 2006	Turkey's exports to Saudi Arabia-Value in 2007	Turkey's exports to Saudi Arabia-Value in 2008	Turkey's exports to Saudi Arabia-Value in 2009	Turkey's exports to Saudi Arabia-Value in 2010	Turkey's exports to Saudi Arabia-Value in 2011	Turkey's exports to Saudi Arabia-Value in 2012	Turkey's exports to Saudi Arabia-Value in 2013	Turkey's exports to Saudi Arabia-Value in 2014	Turkey's exports to Saudi Arabia-Value in 2015	Turkey's exports to Saudi Arabia-Value in 2016	Turkey's exports to Saudi Arabia-Value in 2017	Saudi Arabia's imports from world- 	Saudi Arabia's imports from world-Value in 2001	Saudi Arabia's imports from world-Value in 2002	Saudi Arabia's imports from world-Value in 2003	Saudi Arabia's imports from world-Value in 2004	Saudi Arabia's imports from world-Value in 2005	Saudi Arabia's imports from world-Value in 2006	Saudi Arabia's imports from world-Value in 2007	Saudi Arabia's imports from world-Value in 2008	Saudi Arabia's imports from world-Value in 2009	Saudi Arabia's imports from world-Value in 2010	Saudi Arabia's imports from world-Value in 2011	Saudi Arabia's imports from world-Value in 2012	Saudi Arabia's imports from world-Value in 2013	Saudi Arabia's imports from world-Value in 2014	Saudi Arabia's imports from world-Value in 2015	Saudi Arabia's imports from world-Value in 2016	Saudi Arabia's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	500642	547324	741475	768519	962156	983227	1486918	2201875	1768216	2217646	2763476	3676612	3191482	3047134	3472634	3172081	2734958		29154366	30466326	39569490	44944408	57232568	67681048	87816601	112273148	92457155	103621530	127962727	151260013	163013499	168239638	163820953	129795972	126758508		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
57	"Carpets and other textile floor coverings"	37841	41411	45383	61906	80629	90138	113656	115090	145779	151384	244917	332030	321147	370277	388195	322178	311226		100661	81493	72417	78701	91415	103080	116591	138160	152135	169350	209740	282350	330233	427494	486358	381775	390257		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	32627	22464	25060	51041	50955	120559	234814	233277	167613	159806	263829	207818	377118	268540	416901	394962	246173		2358350	2436611	3287018	3773835	5181489	6209124	9099354	10562768	9927433	10104445	14501724	16282577	17640242	18860786	19358850	14326303	14216365		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	12285	14951	21751	38402	57671	49498	79842	111707	93348	86644	132314	152515	194307	232931	271231	207701	193105		3753082	4341799	5560953	6277888	8912808	11393755	17122436	20316986	17151646	15876736	20260145	24357851	25970064	26303603	26524268	17781407	16479281		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	5963	10111	9995	11025	14990	17952	23233	29766	24723	33396	47134	71375	97901	134608	195579	181871	185956		350496	399292	483712	529708	628368	714918	865061	1126894	1218987	1230829	1609800	1977579	2360287	2672509	2694196	2111428	2094387		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	25374	24765	28245	25449	26581	29150	34289	38650	36403	44715	88533	131782	126147	134735	129912	128866	115306		576868	614165	783354	861603	1052165	1172107	1353119	1633368	1466781	1482875	1775261	1958213	2191579	2222997	2497439	2102210	1751963		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	40612	43635	46486	51126	59053	57803	55244	63009	84812	92863	110698	69650	74241	66014	79276	121155	112473		295509	331424	369449	373094	505383	518236	557300	724478	745368	894534	1017570	1159609	1183744	1259968	1438669	1477342	1507393		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	6109	6123	7599	10059	8597	11150	12965	14841	15601	21239	41025	51798	88096	108606	111112	137835	109362		108763	116293	137072	139724	184936	251019	346374	412230	441188	534642	860091	814340	801458	1031372	1096192	1332008	1447025		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
68	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	14030	17800	17403	17023	22490	17706	21607	45202	43850	47707	64006	87171	96421	111271	114891	120580	106199		151603	137290	186786	187104	211586	230942	228971	368217	348085	338885	455587	571556	584961	607331	569662	485382	511086		198047	272150	384157	573970	753624	892405	1039626	1146343	919023	1028277	1119838	1223766	1378181	1430296	1265505	1171851	1204247	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	15880	14748	19454	20841	22247	27272	38221	42861	41648	43172	50808	59422	58313	70628	87566	79023	79453		237827	199490	276066	318868	369293	452826	530584	629594	691621	792360	937994	1145767	1132977	1356886	1507147	1489971	1342218		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	39027	29401	117731	96652	119169	22356	67294	119344	100288	52473	135507	119610	77502	102829	140826	135188	78082		5137421	5424976	6912377	7728285	9786315	10405714	12022187	16154679	12770522	15604570	16616284	22792469	23428146	23202299	24974023	17723185	12895479		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
73	"Articles of iron or steel"	3680	5182	6706	15780	39979	32120	59714	59222	69717	69260	63257	94246	98001	119856	129595	107119	77817		723616	892932	979728	909442	1570100	3740325	5297934	5709252	4446533	3968635	5269873	6378085	7549727	8104644	5734141	4213704	4100062		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
39	"Plastics and articles thereof"	4730	6056	9151	10905	13092	13161	15098	23417	25812	33238	49484	56243	70960	71770	83612	78389	74696		594743	654992	831984	971324	1229142	1342498	1627873	2132457	1741907	2162388	2819654	3143738	3354164	3405201	3481741	2962945	2902346		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	21	21903	38666	96	34579	43224	191851	197195	125096	29924	77132	89099	21730	197203	279994	235453	74213		59101	63947	92156	104308	125470	150874	191140	256192	205221	236434	330847	665391	2194258	2559554	1214981	747385	2744753		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
72	"Iron and steel"	67747	70941	96863	125561	149375	155170	209058	708904	364562	810735	779169	1395992	738096	204853	130884	96085	65665		825407	658833	1350739	1890190	2498139	3146322	4057704	6776556	2535620	4607200	6096420	7819894	5992470	5631659	4691648	3197628	2575288		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	9934	11227	16722	14403	16030	18505	21377	31735	30294	31297	38977	41836	48131	55140	62486	57928	54679		574550	607799	804431	919513	1028899	1063617	1294430	1712891	1294380	1464994	1868810	1955049	1965720	2498524	2070483	1850631	1861764		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	9839	13626	17417	18287	20716	16236	18033	28088	17693	20442	31303	41964	35848	35819	38495	38579	51330		129157	116274	153281	151733	183049	181115	234783	266440	203325	250256	277781	351224	363352	437531	416268	397337	365804		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	573	801	924	1544	1562	2308	2594	3821	6129	5496	11051	16791	13911	29027	30623	17806	48590		701751	744431	1025804	1227535	1186029	1380582	1738576	2133007	2142840	2354705	2485560	3193364	3654825	4057833	3600642	2873505	2901065		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
24	"Tobacco and manufactured tobacco substitutes"	0	0	0	0	0	0	1363	19140	21102	32665	33318	45476	6724	6298	2658	61450	46088		247081	329052	376833	427964	449675	460393	492076	552163	560149	694318	799887	922548	1011821	1098241	1197068	1236339	816775		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
18	"Cocoa and cocoa preparations"	5508	6053	9159	7150	7081	10666	13413	12462	10859	13160	20257	22555	24819	34149	37298	32075	45836		65308	85403	115544	131924	161306	201162	206230	229346	274170	331843	392654	548891	568640	578233	571772	622857	538295		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
07	"Edible vegetables and certain roots and tubers"	28831	28427	25527	20312	17810	28285	24036	21664	37694	28029	34632	24138	18462	15611	29102	45267	42159		130231	166913	163656	146218	148179	180404	230587	289859	376400	436832	447098	476042	478188	557515	668584	754848	664596		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
64	"Footwear, gaiters and the like; parts of such articles"	17354	18774	16654	17637	20719	18138	18081	21657	21582	25458	28936	41790	41877	38153	33300	36943	36036		174207	171338	185851	187880	238289	281027	305842	358488	383746	420442	499349	614419	675750	777103	835877	843998	751479		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	558	614	650	598	1165	2159	2108	8348	3157	5980	8292	15638	15772	26799	24377	32653	34136		197440	150372	230048	258169	381584	352620	501153	825191	527896	532924	714045	953612	931218	1293327	1018607	759671	731943		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	7384	10434	13501	16665	17619	15897	15767	23779	26332	29428	23399	25289	33580	33910	34175	29924	32656		187045	198202	278458	302744	331671	358877	478907	562698	568067	596544	766813	837082	937017	999978	1036149	945359	939973		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
76	"Aluminium and articles thereof"	879	1073	1214	1529	1479	4444	2858	2860	4387	4911	4667	6338	10589	18592	20728	18461	32097		321836	418992	500708	716208	836380	982960	1241162	1470875	1329608	1407278	1871047	2244961	2355590	2328736	2187437	1347269	1341828		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	794	1993	2303	2426	3897	3942	5423	8221	8291	10016	12282	17250	18023	26811	27507	27189	26118		301258	348917	475441	530180	606589	712846	822323	976324	950790	1103454	1290155	1533273	1555531	1820494	1951993	1803564	1691526		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
83	"Miscellaneous articles of base metal"	583	761	1406	2077	3558	3560	9904	12350	7631	13891	11304	17734	20757	26533	25014	24337	25901		91784	97993	128545	147360	177199	206852	296291	376738	332059	395413	482906	581424	622941	704450	675677	540080	462775		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
40	"Rubber and articles thereof"	5356	7424	11708	15018	29395	21995	26753	36198	31223	42494	58790	58583	55109	53736	52552	28632	25667		441335	474015	608865	649517	903011	924217	1043094	1272647	1410701	1589721	2018709	2327621	2302412	2316155	2221092	1785887	1536987		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
38	"Miscellaneous chemical products"	3406	3492	4326	4093	5956	5409	7899	8841	10347	12608	20164	26241	28568	31868	29876	28481	25455		398536	386240	477206	622982	714448	879826	1054774	1388780	1346110	1539732	1883575	2152380	2041311	2343977	2233248	1739298	1743769		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	8400	1506	481	652	598	828	1519	2381	2538	3484	7639	12189	7822	7743	8577	7873	24163		942774	442420	369523	634019	942425	592790	863304	1391194	848599	1272258	2454013	2928272	5064386	5115332	5754235	2949563	3473098		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	2874	942	913	1120	1899	1846	5651	7555	7534	10083	16305	10747	10925	10168	18674	19137	21992		478606	511276	650297	789136	923175	951526	1150651	1462069	1189715	1449156	1701790	1726562	1771323	1778410	1825247	1578873	1522171		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
21	"Miscellaneous edible preparations"	3655	4966	8583	9701	7517	10381	7995	11098	10621	10960	15655	17646	41144	34854	30941	24132	21959		216321	227750	407837	438517	491803	572703	645764	768923	807597	992317	1169839	1381276	1500862	1544823	1618896	1474628	1446918		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
69	"Ceramic products"	17501	17464	15886	13262	7582	7391	5899	2591	4041	4789	9241	13166	14067	21124	22743	11972	21894		245368	292184	417735	474450	490518	493313	533424	584748	652600	662075	782596	968625	1034433	980397	1051790	870727	890211		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	4630	3781	5495	7370	5622	8220	7205	6140	15631	15187	18399	21684	23492	20280	15388	15878	20722		152896	126671	255750	344812	370048	414554	552571	704337	631720	731301	1119301	1084453	952487	1019278	813096	695475	709343		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
44	"Wood and articles of wood; wood charcoal"	648	1425	866	1234	1577	1247	1736	3180	3256	3857	4297	6881	7245	14092	15809	12976	20013		340634	371791	382568	390878	475015	497916	697280	792672	689923	1175160	1309304	1519992	1494372	1498599	1612681	1129939	1038978		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
17	"Sugars and sugar confectionery"	3808	3129	3795	3406	4062	4243	3696	4081	5335	7248	9157	14068	13998	19633	17022	15860	19275		196073	108007	100370	73147	290304	472892	457588	621914	631065	1002465	989570	698421	1047023	858362	503414	526271	838324		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	3223	3892	3687	4995	5760	5916	7986	9710	12167	12520	15571	17867	18993	18221	20753	16371	16856		114186	117941	164260	181476	204901	214475	302441	392814	347878	467882	597564	630587	639165	687001	586708	523078	530817		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
70	"Glass and glassware"	4594	3442	3952	3833	5737	5275	4819	5757	6285	7505	12430	18009	14683	16981	17910	14022	15303		121879	122992	165286	151747	191212	230183	282048	429923	431629	467335	497324	536834	610588	640782	624431	480589	399854		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
30	"Pharmaceutical products"	493	1263	2638	2320	2631	1771	1422	1549	2009	3117	4038	7028	9233	7766	9302	9904	14942		943751	980602	1430114	1515075	1705294	1911056	2188868	2698709	3173639	3342529	3743540	4383552	5118762	5297596	5570514	4822030	5194503		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
