Product code	Product label	Turkey's exports to Spain-Value in 2001	Turkey's exports to Spain-Value in 2002	Turkey's exports to Spain-Value in 2003	Turkey's exports to Spain-Value in 2004	Turkey's exports to Spain-Value in 2005	Turkey's exports to Spain-Value in 2006	Turkey's exports to Spain-Value in 2007	Turkey's exports to Spain-Value in 2008	Turkey's exports to Spain-Value in 2009	Turkey's exports to Spain-Value in 2010	Turkey's exports to Spain-Value in 2011	Turkey's exports to Spain-Value in 2012	Turkey's exports to Spain-Value in 2013	Turkey's exports to Spain-Value in 2014	Turkey's exports to Spain-Value in 2015	Turkey's exports to Spain-Value in 2016	Turkey's exports to Spain-Value in 2017	Spain's imports from world- 	Spain's imports from world-Value in 2001	Spain's imports from world-Value in 2002	Spain's imports from world-Value in 2003	Spain's imports from world-Value in 2004	Spain's imports from world-Value in 2005	Spain's imports from world-Value in 2006	Spain's imports from world-Value in 2007	Spain's imports from world-Value in 2008	Spain's imports from world-Value in 2009	Spain's imports from world-Value in 2010	Spain's imports from world-Value in 2011	Spain's imports from world-Value in 2012	Spain's imports from world-Value in 2013	Spain's imports from world-Value in 2014	Spain's imports from world-Value in 2015	Spain's imports from world-Value in 2016	Spain's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	950362	1115226	1792155	2619040	3011041	3721542	4580228	4047280	2818592	3536247	3917600	3717345	4334196	4749584	4742941	4988483	6307792		154992565	165919565	208548696	259264826	289610795	329975827	391236948	418728300	287501636	315547199	362834519	325835176	332266846	350977773	305266032	302538874	350921562		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
01	"Live animals"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		261843	384086	427442	430151	485170	530974	581580	457524	430106	655896	450912	394077	479808	564851	459741	445395	532054		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	28	4	0	66	100	0	0	71	0	1	0	1	8	0	0	7	0		74596	87184	99427	115527	118244	178848	269866	317826	218350	207765	236873	256837	261719	275651	248520	277946	258173		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
13	"Lac; gums, resins and other vegetable saps and extracts"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	21	23	0		50813	57024	70919	89393	98249	100174	117577	147040	131404	152234	178842	177898	192912	196036	194310	196091	211602		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	2	0	0	0	0	0	2	0	0	0	0	0	0	90	9	0		422342	441769	484875	529482	579709	671394	869145	930250	661336	896315	1091243	887836	1040861	916001	969517	918143	938548		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
50	"Silk"	0	1	5	55	91	99	485	83	474	88	108	16	35	58	53	7	0		40878	43295	58488	77099	91311	101181	106477	139392	76960	55599	53047	40827	25750	19713	13274	11906	10535		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	0	0	40	19	22	50	43	344	354	324	158	0	0	0	0	0	0		39997	43557	51276	53701	55846	61404	69659	70253	45466	68725	62353	57951	54992	63766	55118	54978	62827		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
97	"Works of art, collectors' pieces and antiques"	0	0	0	0	0	5	2	31	0	0	1	40	0	4	40	4	1		286656	172611	205316	347554	478691	219061	279793	147570	93542	76200	122353	67421	48807	67768	72662	88501	82933		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
45	"Cork and articles of cork"	0	0	0	0	0	0	9	0	0	0	0	0	0	0	2	1	2		118393	119201	148966	151847	138324	184350	178837	164491	110139	112513	130130	116786	123117	135615	115083	128236	149848		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
37	"Photographic or cinematographic goods"	3	3	2	14	4	3	4	2	0	39	18	25	13	5	6	8	2		425608	440179	531679	538984	552180	620203	637426	597136	453002	313328	319278	235130	236918	214886	180030	178764	175666		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
