Product code	Product label	Turkey's exports to United Arab Emirates-Value in 2001	Turkey's exports to United Arab Emirates-Value in 2002	Turkey's exports to United Arab Emirates-Value in 2003	Turkey's exports to United Arab Emirates-Value in 2004	Turkey's exports to United Arab Emirates-Value in 2005	Turkey's exports to United Arab Emirates-Value in 2006	Turkey's exports to United Arab Emirates-Value in 2007	Turkey's exports to United Arab Emirates-Value in 2008	Turkey's exports to United Arab Emirates-Value in 2009	Turkey's exports to United Arab Emirates-Value in 2010	Turkey's exports to United Arab Emirates-Value in 2011	Turkey's exports to United Arab Emirates-Value in 2012	Turkey's exports to United Arab Emirates-Value in 2013	Turkey's exports to United Arab Emirates-Value in 2014	Turkey's exports to United Arab Emirates-Value in 2015	Turkey's exports to United Arab Emirates-Value in 2016	Turkey's exports to United Arab Emirates-Value in 2017	United Arab Emirates's imports from world- 	United Arab Emirates's imports from world-Value in 2001	United Arab Emirates's imports from world-Value in 2002	United Arab Emirates's imports from world-Value in 2003	United Arab Emirates's imports from world-Value in 2004	United Arab Emirates's imports from world-Value in 2005	United Arab Emirates's imports from world-Value in 2006	United Arab Emirates's imports from world-Value in 2007	United Arab Emirates's imports from world-Value in 2008	United Arab Emirates's imports from world-Value in 2009	United Arab Emirates's imports from world-Value in 2010	United Arab Emirates's imports from world-Value in 2011	United Arab Emirates's imports from world-Value in 2012	United Arab Emirates's imports from world-Value in 2013	United Arab Emirates's imports from world-Value in 2014	United Arab Emirates's imports from world-Value in 2015	United Arab Emirates's imports from world-Value in 2016	United Arab Emirates's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	380145	452391	702908	1139465	1675187	1985696	3240940	7975400	2896572	3332885	3706654	8174607	4965630	4655710	4681402	5406993	9183685						80814016		127001505	175485699				261022920	294966918	298611277	287024848	270882074	204342639		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
80	"Tin and articles thereof"	0	0	0	0	5	0	0	7	0	0	0	0	0	0	0	0	0						91154		13653	56324				14053	12968	11192	8749	7849	31786		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	25	0	7	0	0	0	0	0	0	0	0	3	0	28	4	18	0						10597		12154	5149				7245	6149	5724	4051	4042	4244		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	156	125	139	78	4	10	1	0	6	3	0	12	0	9	1	0	0						32827		15944	20421				14216	21783	41463	18143	24702	52060		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
01	"Live animals"	0	0	0	0	0	0	0	1	0	0	0	1	17	15	1	1	1						120401		104962	160937				176010	239954	270338	288170	204226	193372		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
75	"Nickel and articles thereof"	0	0	0	0	34	0	30	92	0	47	63	80	97	95	192	81	1						19468		46436	78273				244619	865723	327318	109761	72531	162265		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	0	1	0	18	1	0	4	5	5	1	1	4	11	127	30	36	4						10675		9285	12814				21300	16413	18395	18019	22318	11992		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
50	"Silk"	0	8	33	10	52	5	0	1	0	3	1	0	20	3	3	17	4						31678		49298	51388				30416	31705	27265	24589	19214	35549		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
31	"Fertilisers"	0	0	0	5	56	0	1	0	81	112	0	0	0	0	7	30	6						29549		28812	48413				68072	89907	94023	59701	44863	220101		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
92	"Musical instruments; parts and accessories of such articles"	27	1	3	33	32	6	33	23	10	22	45	20	67	12	35	31	6						17357		21952	31241				75602	66291	74067	25421	22053	48791		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
