Product code	Product label	Turkey's exports to United Kingdom-Value in 2001	Turkey's exports to United Kingdom-Value in 2002	Turkey's exports to United Kingdom-Value in 2003	Turkey's exports to United Kingdom-Value in 2004	Turkey's exports to United Kingdom-Value in 2005	Turkey's exports to United Kingdom-Value in 2006	Turkey's exports to United Kingdom-Value in 2007	Turkey's exports to United Kingdom-Value in 2008	Turkey's exports to United Kingdom-Value in 2009	Turkey's exports to United Kingdom-Value in 2010	Turkey's exports to United Kingdom-Value in 2011	Turkey's exports to United Kingdom-Value in 2012	Turkey's exports to United Kingdom-Value in 2013	Turkey's exports to United Kingdom-Value in 2014	Turkey's exports to United Kingdom-Value in 2015	Turkey's exports to United Kingdom-Value in 2016	Turkey's exports to United Kingdom-Value in 2017	United Kingdom's imports from world- 	United Kingdom's imports from world-Value in 2001	United Kingdom's imports from world-Value in 2002	United Kingdom's imports from world-Value in 2003	United Kingdom's imports from world-Value in 2004	United Kingdom's imports from world-Value in 2005	United Kingdom's imports from world-Value in 2006	United Kingdom's imports from world-Value in 2007	United Kingdom's imports from world-Value in 2008	United Kingdom's imports from world-Value in 2009	United Kingdom's imports from world-Value in 2010	United Kingdom's imports from world-Value in 2011	United Kingdom's imports from world-Value in 2012	United Kingdom's imports from world-Value in 2013	United Kingdom's imports from world-Value in 2014	United Kingdom's imports from world-Value in 2015	United Kingdom's imports from world-Value in 2016	United Kingdom's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	2174892	3005840	3670093	5543924	5917163	6814301	8626776	8158669	5937997	7235861	8151430	8693599	8785124	9903172	10557304	11685790	9608082		358702945	372059499	425369491	502886192	528460952	614811651	679917918	705344161	552042035	627617523	717606233	689137011	657222528	694344323	630251058	636367936	640365381		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
80	"Tin and articles thereof"	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0		60167	53609	67634	83664	78106	85513	184896	177852	110946	152406	207989	169394	152427	158400	117641	111239	142807		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
05	"Products of animal origin, not elsewhere specified or included"	0	0	0	0	0	0	76	99	0	0	0	0	0	2	0	0	0		100879	100013	112973	127344	142883	146725	146502	160869	157838	172724	187058	163024	201325	200472	185584	141788	184369		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0		1077371	959223	1047180	1136423	1152638	1264347	1287259	1340969	805107	1078375	1194408	846370	815777	869652	856225	701604	754797		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	0	0	0	12	1	1	17	25	12	1	4	7	25	20	7	11	1		78346	82867	99420	114962	111551	125751	146162	159212	150493	173512	187306	206014	201615	211401	212445	211999	232079		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
45	"Cork and articles of cork"	0	0	0	3	0	0	2	0	0	0	0	0	1	1	0	0	2		25638	19189	19002	24487	23824	26241	33046	35552	25020	28792	34816	32378	36892	43505	39835	35191	34552		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
37	"Photographic or cinematographic goods"	69	458	412	286	21	23	51	171	66	5	70	338	1017	472	51	8	3		1267216	1176830	1149713	1192454	1213504	966187	1061734	1030621	840683	765486	796579	672677	720024	686045	625288	579264	584912		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	0	4	4	21	17	1	29	3	1	2	1	17	1	1	1	4	7		61450	73950	87396	100066	92207	97743	111438	98049	81696	86450	91871	81755	85793	88774	93150	85972	85347		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	102	770	985	1039	378	213	72	3	4	6	2	0	0	0	288	18	12		1764176	1725264	2750089	2985959	3121768	3273800	3635729	4159516	3577066	3787554	3948457	3885404	4375904	4519098	3829942	3501563	3905989		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	3	7	2	1	642	887	975	1748	85	225	232	82	13	5	72	8	19		74438	58037	64685	80918	90418	93106	137260	126730	94174	111204	107783	101953	95168	115371	113644	104482	89542		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
