Product code	Product label	Turkey's exports to United States of America-Value in 2001	Turkey's exports to United States of America-Value in 2002	Turkey's exports to United States of America-Value in 2003	Turkey's exports to United States of America-Value in 2004	Turkey's exports to United States of America-Value in 2005	Turkey's exports to United States of America-Value in 2006	Turkey's exports to United States of America-Value in 2007	Turkey's exports to United States of America-Value in 2008	Turkey's exports to United States of America-Value in 2009	Turkey's exports to United States of America-Value in 2010	Turkey's exports to United States of America-Value in 2011	Turkey's exports to United States of America-Value in 2012	Turkey's exports to United States of America-Value in 2013	Turkey's exports to United States of America-Value in 2014	Turkey's exports to United States of America-Value in 2015	Turkey's exports to United States of America-Value in 2016	Turkey's exports to United States of America-Value in 2017	United States of America's imports from world- 	United States of America's imports from world-Value in 2001	United States of America's imports from world-Value in 2002	United States of America's imports from world-Value in 2003	United States of America's imports from world-Value in 2004	United States of America's imports from world-Value in 2005	United States of America's imports from world-Value in 2006	United States of America's imports from world-Value in 2007	United States of America's imports from world-Value in 2008	United States of America's imports from world-Value in 2009	United States of America's imports from world-Value in 2010	United States of America's imports from world-Value in 2011	United States of America's imports from world-Value in 2012	United States of America's imports from world-Value in 2013	United States of America's imports from world-Value in 2014	United States of America's imports from world-Value in 2015	United States of America's imports from world-Value in 2016	United States of America's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
TOTAL	"All products"	3125804	3336810	3753865	4848743	4910817	5061330	4177593	4316424	3250109	3766034	4585849	5606487	5641170	6342194	6396332	6623716	8655346		1140900159	1200095834	1302833508	1525304217	1734849142	1918997094	2017120776	2164834031	1601895800	1968259901	2263619100	2334677700	2326590200	2410855500	2313424569	2275391150	2409480182		31333944	35761981	47252836	63120949	73476408	85534676	107271750	132027196	102142613	113883219	134906869	152461737	151802637	157610158	143850376	142529584	157054789	
02	"Meat and edible meat offal"	0	45	3	0	14	0	0	0	0	45	0	0	0	0	0	0	0		3801463	3939610	4030747	5274262	5294202	4658348	4785312	4513183	4140878	4721984	5258149	5781030	6021621	8433931	9361156	8080486	8205729		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
13	"Lac; gums, resins and other vegetable saps and extracts"	733	1065	1130	1811	803	0	0	0	13	72	659	1283	1130	292	588	6	0		495312	478319	549210	545264	648995	737384	710450	811775	745922	917227	1784739	4399944	2712534	2302560	1718105	1328235	1518266		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
45	"Cork and articles of cork"	0	0	0	0	0	0	0	0	18	1	0	2	1	4	0	0	0		187258	197819	211819	221334	219153	232484	251015	279467	215416	225033	246828	249384	251342	280426	293202	266732	272085		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	61	80	0	0	0	26	0	0	0	0	1	0	48	0	0	0		2629899	2482136	2707273	3076121	3186996	3336026	3902716	4177889	2557341	4042603	4176528	3501860	3779114	3753136	3430750	3239711	3301960		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
31	"Fertilisers"	6160	0	0	4515	0	0	0	1296	11	0	2604	0	1	0	1	6	4		1913776	1808652	2395112	2846065	4101012	3767728	5444950	8925031	4385484	7067568	9624939	9268855	8448269	8644423	8388057	4922713	6055842		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	3738	67	202	2	504	81	1192	2971	159	661	940	11	455	114	4	48	10		66684	55668	54121	56269	60988	68393	118473	118325	99244	78440	78482	87136	88188	99264	111638	132676	125773		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	5	47	24	41	9	32	38	9	64	103	26	254	1	4	2	5	12		292886	296980	336860	374792	404625	420990	455637	476382	409928	511684	533045	556678	559161	565166	610304	548706	662840		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	9	14	8	0	0	11	0	0	0	3	0	15	7	4	1	772	12		1121984	1292559	1351563	1376209	1417328	1491689	1577536	1540811	1326942	1615831	1910620	1937162	1880898	1831277	2142218	2169252	2281255		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	1	1	3	0	0	0	0	1	0	5	3	4	0	1	0	5	14		323947	449054	494085	520769	556422	537561	532184	499412	389757	446219	523803	550801	546344	561863	589771	556419	582398		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
01	"Live animals"	0	77	0	15	0	0	200	0	0	0	0	0	0	21	29	92	14		2238468	2132533	1654524	1470331	2122180	2642135	3139836	2794268	2032352	2384381	2345539	2642888	2672100	3572882	3323897	2613368	2847029		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
37	"Photographic or cinematographic goods"	517	474	78	5	73	67	145	72	24	350	19	19	1	245	27	14	34		2338316	2314173	2264242	2458696	2356392	2215945	2069077	1955342	1577626	1742664	1838090	1635426	1609458	1657702	1643786	1706114	1667348		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
50	"Silk"	0	2	0	13	1	6	48	48	23	23	24	94	49	109	105	131	44		235316	245078	258014	304388	316207	305414	294891	254920	149068	162326	185766	170753	146473	138287	120942	103255	84580		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
80	"Tin and articles thereof"	0	0	0	50	1	28	0	0	105	570	563	0	108	181	218	103	68		277006	239607	255625	512173	407683	512532	637868	828335	543235	818377	1031608	893304	936970	924569	677017	696323	788403		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
05	"Products of animal origin, not elsewhere specified or included"	129	734	2819	2	16	1985	460	162	5	1	5	223	11	6	4	48	85		515565	591024	572969	664729	692690	709140	754302	764665	674380	766252	815926	925665	1015426	1119842	1074051	1014616	1116714		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
78	"Lead and articles thereof"	41	0	2	4	64	35	61	0	79	93	107	103	1536	1608	1087	2211	190		162125	149676	119845	196171	323177	461491	649813	752099	465844	637312	787942	773260	1080619	1288755	1053384	1057427	1558159		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
65	"Headgear and parts thereof"	186	281	117	99	96	152	315	214	217	263	253	289	359	456	548	722	511		1288618	1361268	1456802	1644209	1626353	1737478	1712861	1708431	1431566	1764386	2104809	2085281	2028771	2222371	2473063	2481205	2494947		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
35	"Albuminoidal substances; modified starches; glues; enzymes"	411	455	274	252	1011	375	251	1309	945	952	440	461	1231	728	450	400	608		1220569	1202237	1369256	1555333	1684455	1656104	1870831	2250469	1800380	2086713	2377948	2551077	2530698	2768140	2786336	2755972	2687967		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
79	"Zinc and articles thereof"	13	239	274	510	929	501	290	193	408	535	347	436	285	440	399	571	658		1093644	1121424	977993	1158712	1169158	2277088	2849741	1844179	1320236	1713807	1977401	1689829	1676013	1822455	1778195	1740030	2234919		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	7396	6580	1098	8723	1133	5058	3867	1149	2214	135	2634	659	5662	855	486	208	778		1467951	1074866	1154053	1353207	1585513	1826332	1753093	1917906	1328715	1499382	1965813	2075280	1688266	2156837	2354402	1669337	1697809		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
92	"Musical instruments; parts and accessories of such articles"	206	205	404	660	462	506	412	476	480	641	778	1102	1141	1045	1115	952	877		1306158	1357429	1422245	1576095	1603275	1475656	1445100	1514674	1115107	1253892	1297812	1300032	1276675	1327695	1304384	1311147	1336644		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	1029	454	264	2305	2562	144	143	806	930	483	878	1211	981	938	1259	2006	1480		2334152	2649937	2900103	3210301	3413027	3866502	3736839	4000141	3719027	4011990	4584104	4669225	4731038	5113541	4960746	4882134	5424811		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
75	"Nickel and articles thereof"	53	10	6	563	315	685	1459	1125	787	821	1177	1069	1244	2006	1558	1542	1493		1173992	1015088	1296951	2083855	2397526	3541413	5190228	3786681	1892084	3263445	4058189	3335348	2859001	3440793	2629320	1927658	2430290		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	18	108	66	340	721	862	249	161	186	520	473	466	643	759	607	1213	1554		139972	156372	162928	204601	202617	222415	265300	304926	144518	185485	225592	231169	226125	232959	265182	239306	237128		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	1	23	320	674	692	1022	702	757	655	347	901	760	1022	807	1258	1185	1609		1150294	1320919	1454346	1607802	1631094	1721523	1813417	1735219	1578544	1719629	1787025	1861411	1912913	1967406	2011797	1979354	2278365		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
81	"Other base metals; cermets; articles thereof"	27	29	49	13	61	121	158	99	158	378	179	499	931	804	941	1516	1685		1173298	876048	909725	1441071	1884576	2090877	2448929	2929718	1557789	2278278	2739842	2883355	2427518	2704911	2369216	2180580	2671293		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	0	128	109	30	0	18	1229	1541	1047	1651	1222	892	888	33	43	186	1691		286626	340338	398997	451492	514847	586849	623172	585245	559022	660771	689022	697078	708712	821648	872311	785391	845418		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
91	"Clocks and watches and parts thereof"	2146	2223	2029	2227	1629	324	336	146	89	133	280	547	148	619	428	1728	1970		3048492	3299369	3709609	3904354	4037011	4166768	4543612	4425177	3153272	3837532	4928487	4932923	5230110	5515521	5813055	5341116	4910479		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
95	"Toys, games and sports requisites; parts and accessories thereof"	76	337	1221	2280	2484	1755	1530	2886	2419	2509	1200	2503	2938	2396	1267	1940	1972		20257123	22726014	22569760	23691889	26263260	27616473	32758380	33407939	28277723	31168652	29019702	28315060	27923982	28882918	31287301	31013574	32728670		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	3122	1434	2561	3793	3492	2953	2981	3638	1023	752	2133	1811	2487	1705	2060	1240	2504		361966	301865	319631	359580	352602	346176	338922	315523	209012	246891	294883	327385	312258	326549	330885	281696	274559		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
30	"Pharmaceutical products"	104	880	28	47	218	109	1795	3052	3383	4581	5755	4976	846	182	704	1463	2944		15939189	21687101	27975057	31449154	35706264	42583047	49205767	52907314	55904583	61975885	66150067	65004006	63313660	73042299	86014133	94410708	96429857		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	3275	2422	5986	3736	2879	1689	2222	1947	1164	1667	1302	2205	1558	2464	3001	1435	3147		3534494	3921128	4090329	4438746	4890075	5086782	5485259	5331321	4133329	4498304	4385152	4389812	4395659	4431426	4670791	4631565	4614937		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
41	"Raw hides and skins (other than furskins) and leather"	1148	884	874	1289	1722	1471	2478	2410	1772	2657	3676	4916	6628	5920	4819	4857	4016		1031818	970166	849732	923724	940816	886938	848715	723640	475159	619020	638292	704338	738096	816748	821365	801217	752199		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
22	"Beverages, spirits and vinegar"	435	820	811	609	1210	1475	1402	2209	1883	2907	2851	2809	3645	4385	4260	4763	4837		8730936	10234630	11541629	12455970	13813682	17126693	17942474	18039813	15476651	16502697	18692822	20748026	21130293	21206260	22200787	23375604	24692204		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
26	"Ores, slag and ash"	2633	663	0	142	657	1521	216	13	1457	1244	3242	254	701	406	500	1404	4883		1509678	1640876	1575362	2076159	2948640	2931102	3403167	4487631	2890155	3369872	4169343	4070965	3534396	3737689	2915200	2323756	2785848		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
97	"Works of art, collectors' pieces and antiques"	115	130	22	11	34	52	126	20	56	214	407	249	466	181	895	847	5207		5448370	5221246	4412783	5337611	5530845	6692046	8770618	7498465	5062701	6275655	6925172	7823687	9095188	9219535	11749305	8895656	10396929		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
96	"Miscellaneous manufactured articles"	2455	2261	1869	1281	1119	1705	1124	989	1083	1301	1447	5590	5049	5108	11912	8690	5458		2766604	2985685	3080588	3444513	3627664	3792341	3956188	3799995	3305963	3862341	4092756	5266534	5465746	5836809	6331809	6928406	6484359		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
44	"Wood and articles of wood; wood charcoal"	878	554	1273	1452	1383	948	435	1151	566	982	493	712	1055	3566	2818	3418	5929		14962948	16808379	17719422	24497344	25574461	24635701	20062680	15182757	10501017	12193618	11982385	13720213	16103856	17434640	17999580	19871721	21149756		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
38	"Miscellaneous chemical products"	1032	964	254	215	1428	2010	1248	604	2308	2227	2391	2518	4145	4486	3975	4609	6104		4578929	4987776	5472455	6435702	7333605	7849302	8924073	10574442	7593671	9057387	11094768	11477673	12382801	12661231	13191910	13983390	13840315		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	1832	2747	4700	7019	6070	7372	10057	8656	13960	14918	8723	6065	6983	4810	8884	7528	8116		1430610	1661357	1777904	1914545	2048178	2244404	2366032	2509023	2151375	2534364	2745199	2961433	3028183	3235595	3243621	3227805	3436544		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	721	715	857	515	529	1088	2328	4423	5704	6292	6599	7860	7908	8687	8604	9662	8401		2499324	2468399	2597733	2793949	3142405	3194857	3273089	3207892	2512805	3215628	3561372	3877249	3948465	4092291	3947867	3908753	4132799		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
60	"Knitted or crocheted fabrics"	5427	4471	4568	3249	960	3261	4102	5530	6547	9568	8016	15776	13720	18801	18994	12713	9293		1015623	1146953	1099665	1048381	1091303	1028862	935862	834909	695745	780298	902295	1021447	1019211	1123414	1138783	1158516	1048979		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	1037	564	724	889	1148	1686	2152	3111	2521	3077	3675	5367	6624	6310	6251	6340	9795		4307940	4851674	5405601	6000875	6241295	6977183	7280936	7191924	5509227	7097241	8021453	8646202	9054555	9492938	9813934	9436203	10141402		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	2212	912	2918	936	1226	1202	2627	5564	4259	4668	2044	7786	5126	13780	18785	19460	9896		303523	415313	489861	592352	572631	646493	825995	1204228	1106487	1168891	1287994	1376399	1503379	1635598	1663149	1674399	1739527		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
59	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ..."	666	2661	532	824	509	575	4339	2957	1889	3104	5287	2781	5807	7301	7475	7219	11012		777183	967011	1085912	1285587	1427767	1546959	1689159	1739178	1531696	1971061	2203783	2253483	2347230	2512611	2510224	2567756	2663369		146253	169580	202635	239060	260767	284153	316063	331663	249996	286664	352834	299011	337908	340298	302988	293200	298985	
