Product code	Product label	Turkey's imports from Algeria-Value in 2001	Turkey's imports from Algeria-Value in 2002	Turkey's imports from Algeria-Value in 2003	Turkey's imports from Algeria-Value in 2004	Turkey's imports from Algeria-Value in 2005	Turkey's imports from Algeria-Value in 2006	Turkey's imports from Algeria-Value in 2007	Turkey's imports from Algeria-Value in 2008	Turkey's imports from Algeria-Value in 2009	Turkey's imports from Algeria-Value in 2010	Turkey's imports from Algeria-Value in 2011	Turkey's imports from Algeria-Value in 2012	Turkey's imports from Algeria-Value in 2013	Turkey's imports from Algeria-Value in 2014	Turkey's imports from Algeria-Value in 2015	Turkey's imports from Algeria-Value in 2016	Turkey's imports from Algeria-Value in 2017	Algeria's exports to world- 	Algeria's exports to world-Value in 2001	Algeria's exports to world-Value in 2002	Algeria's exports to world-Value in 2003	Algeria's exports to world-Value in 2004	Algeria's exports to world-Value in 2005	Algeria's exports to world-Value in 2006	Algeria's exports to world-Value in 2007	Algeria's exports to world-Value in 2008	Algeria's exports to world-Value in 2009	Algeria's exports to world-Value in 2010	Algeria's exports to world-Value in 2011	Algeria's exports to world-Value in 2012	Algeria's exports to world-Value in 2013	Algeria's exports to world-Value in 2014	Algeria's exports to world-Value in 2015	Algeria's exports to world-Value in 2016	Algeria's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	1063983	1079515	1081586	1255679	1694989	1864526	2108491	1587506	768995	1068380	1150325	924934	714092	920989	740547	463820	766804		19147619	18832409	24653656	32076792	46001735	54612722	60163160	79297592	45193920	57050974	73436306	71865749	65998138	60387689	34795951	29992101	35191117		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
8530	"Electrical signalling, safety or traffic control equipment for railways, tramways, roads, inland ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	13		23938	27251	6780	8283	20240	19970	26318	41944	59008	46851	85920	39150	91158	62751	50480	38317	58466	
8466	"Parts and accessories suitable for use solely or principally with the machine tools of heading ..."	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0		11	11	214	1	0	54	35	53	1	0	53	0	0	35	1	0	9		30143	35023	41024	70752	87077	94469	119637	137668	71831	95576	139916	140840	150393	163137	148483	148455	157747	
8471	"Automatic data-processing machines and units thereof; magnetic or optical readers, machines ..."	0	0	0	0	40	0	0	0	0	0	0	0	4	0	0	13	0		54	1099	128	269	289	205	146	103	72	23	310	192	192	151	85	33	613		539124	671213	865075	1211720	1730788	1996913	1775477	1698739	1752441	2105032	2198098	2361053	2651023	2715739	2200125	1894931	2008041	
8483	"Transmission shafts, incl. camshafts and crankshafts, and cranks; bearing housings and plain ..."	0	0	0	0	0	6	5	0	0	1	2	1	0	0	4	0	0		193	519	49	99	138	62	122	16	12	186	493	107	124	77	95	41	53		82932	119100	155709	218750	257265	319619	406417	541093	452766	532454	618560	568285	639074	655650	627152	642063	704213	
8504	"Electrical transformers, static converters, e.g. rectifiers, and inductors; parts thereof"	0	0	0	19	0	0	124	898	259	0	0	0	0	1	0	0	0		13	322	54	15	80	419	128	484	213	24	48	56	30	78	5	17	25		124727	197928	236123	305033	367916	411948	486618	565681	481441	522822	682074	599499	698991	728300	731128	776451	1018910	
8512	"Electrical lighting or signalling equipment (excluding lamps of heading 8539), windscreen wipers, ..."	0	1	0	4	0	0	2	0	9	5	0	0	0	0	0	0	0		6	53	11	49	31	11	9	19	28	31	14	56	30	24	29	9	10		29240	37836	72834	131815	146792	170429	218337	245539	166427	226327	246025	242141	271964	286299	308701	341561	414214	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	16	0	13	0	0	0	0	0	0	0	0		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
