Product code	Product label	Turkey's imports from Brazil-Value in 2001	Turkey's imports from Brazil-Value in 2002	Turkey's imports from Brazil-Value in 2003	Turkey's imports from Brazil-Value in 2004	Turkey's imports from Brazil-Value in 2005	Turkey's imports from Brazil-Value in 2006	Turkey's imports from Brazil-Value in 2007	Turkey's imports from Brazil-Value in 2008	Turkey's imports from Brazil-Value in 2009	Turkey's imports from Brazil-Value in 2010	Turkey's imports from Brazil-Value in 2011	Turkey's imports from Brazil-Value in 2012	Turkey's imports from Brazil-Value in 2013	Turkey's imports from Brazil-Value in 2014	Turkey's imports from Brazil-Value in 2015	Turkey's imports from Brazil-Value in 2016	Turkey's imports from Brazil-Value in 2017	Brazil's exports to world- 	Brazil's exports to world-Value in 2001	Brazil's exports to world-Value in 2002	Brazil's exports to world-Value in 2003	Brazil's exports to world-Value in 2004	Brazil's exports to world-Value in 2005	Brazil's exports to world-Value in 2006	Brazil's exports to world-Value in 2007	Brazil's exports to world-Value in 2008	Brazil's exports to world-Value in 2009	Brazil's exports to world-Value in 2010	Brazil's exports to world-Value in 2011	Brazil's exports to world-Value in 2012	Brazil's exports to world-Value in 2013	Brazil's exports to world-Value in 2014	Brazil's exports to world-Value in 2015	Brazil's exports to world-Value in 2016	Brazil's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	212121	236088	401826	566293	798576	934782	1172669	1423868	1105890	1347525	2074354	1770094	1408806	1728745	1792241	1788012	2545089		58286593	60438650	73203222	96677246	118528688	137806190	160648870	197942443	152994743	201915103	256038702	242578014	242032979	225098405	191126886	185235399	217739177		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9606	"Buttons, press-fasteners, snap-fasteners and press studs, button moulds and other parts of ..."	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0		2370	1882	2862	3990	3891	3220	4099	3948	2751	3540	3211	3342	2346	2100	1560	1532	1278		17448	25176	32260	35032	39506	43248	54294	52161	36968	42165	46919	43163	40240	38876	31517	28058	27216	
9706	"Antiques of > 100 years old"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0		6	382	928	51	0	9	23	108	402	147	506	100	105	57	91	188	146		871	1216	2010	1513	3860	2360	3887	4600	2473	2775	10908	8538	5947	4255	4097	5373	3496	
9015	"Surveying, incl. photogrammetrical surveying, hydrographic, oceanographic, hydrological, meteorological ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1193	282	183	1288	922	3242	2531	5330	3352	2127	3957	6032	6519	21977	6200	11404	6982		12234	23623	16972	21316	46124	34709	48906	47202	59403	58677	62740	69588	75274	79863	73106	51377	67053	
9105	"Clocks (excluding wrist-watches, pocket-watches and other watches of heading 9101 or 9102, ..."	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0		451	478	341	377	302	170	172	259	223	140	124	130	154	428	144	71	68		2611	2645	4979	8033	8252	9197	11547	11716	6254	9533	14393	10432	13263	11992	8193	9016	6773	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	7	7	9	1	11	3	47	5	1	45	33	27	125	5	2	18		154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		179	143	132	246	273	287	0	0	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
9207	"Musical instruments, the sound of which is produced, or must be amplified, electrically, e.g. ..."	0	0	0	0	0	0	15	0	0	0	14	0	6	0	0	0	0		11	2	12	20	51	50	49	27	26	30	8	23	21	37	32	31	17		2180	3563	4445	6599	8702	8216	10629	12482	10679	15590	16759	17443	14822	13515	13461	13391	14207	
9209	"Parts and accessories for musical instruments, e.g. mechanisms for musical boxes, cards, discs ..."	0	2	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0		1964	634	1503	2271	2771	3182	2955	2729	2237	2499	2935	2321	2695	2771	3092	3144	3140		787	1232	1453	1718	2220	2736	3084	3244	2965	3823	4491	4086	4253	4166	3679	2979	3413	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	49187	18	2655	3	766	318	1227	157	0	0	0	0	8	0	0	0		11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
