Product code	Product label	Turkey's imports from Czech Republic-Value in 2001	Turkey's imports from Czech Republic-Value in 2002	Turkey's imports from Czech Republic-Value in 2003	Turkey's imports from Czech Republic-Value in 2004	Turkey's imports from Czech Republic-Value in 2005	Turkey's imports from Czech Republic-Value in 2006	Turkey's imports from Czech Republic-Value in 2007	Turkey's imports from Czech Republic-Value in 2008	Turkey's imports from Czech Republic-Value in 2009	Turkey's imports from Czech Republic-Value in 2010	Turkey's imports from Czech Republic-Value in 2011	Turkey's imports from Czech Republic-Value in 2012	Turkey's imports from Czech Republic-Value in 2013	Turkey's imports from Czech Republic-Value in 2014	Turkey's imports from Czech Republic-Value in 2015	Turkey's imports from Czech Republic-Value in 2016	Turkey's imports from Czech Republic-Value in 2017	Czech Republic's exports to world- 	Czech Republic's exports to world-Value in 2001	Czech Republic's exports to world-Value in 2002	Czech Republic's exports to world-Value in 2003	Czech Republic's exports to world-Value in 2004	Czech Republic's exports to world-Value in 2005	Czech Republic's exports to world-Value in 2006	Czech Republic's exports to world-Value in 2007	Czech Republic's exports to world-Value in 2008	Czech Republic's exports to world-Value in 2009	Czech Republic's exports to world-Value in 2010	Czech Republic's exports to world-Value in 2011	Czech Republic's exports to world-Value in 2012	Czech Republic's exports to world-Value in 2013	Czech Republic's exports to world-Value in 2014	Czech Republic's exports to world-Value in 2015	Czech Republic's exports to world-Value in 2016	Czech Republic's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	126872	316618	443937	654592	698561	681659	1169130	1303955	1028650	1327672	1755452	2005342	2627288	2420199	2218334	2561652	2828163		33384210	44263576	48720350	65771587	78208548	95140986	120900492	146087029	112884321	132140914	162391721	156422743	161524152	174279452	157194123	162087332	180009911		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9706	"Antiques of > 100 years old"	0	5	2	10	2	0	7	23	0	0	0	0	35	0	0	2	0		1537	1375	1765	2217	896	1357	918	812	475	526	867	1131	1569	735	680	1166	1071		871	1216	2010	1513	3860	2360	3887	4600	2473	2775	10908	8538	5947	4255	4097	5373	3496	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1750	1047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
9008	"Image projectors, and photographic enlargers and reducers (excluding cinematographic)"	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1205	951	950	609	566	349	401	335	381	745	754	632	396	210	126	107	16592		2488	2784	3376	1237	1570	908	1242	1192	174	195	302	164	196	119	77	47	106	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0		9	17	9	9	3	6	8	16	10	10	3	4	7	9	22	39	8		154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0		2061	1554	1677	1341	679	819	0	0	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
8715	"Baby carriages and parts thereof, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	1	17	4	0	0	0		555	1558	1332	1060	1816	2620	3947	5524	3659	4052	5901	4750	6417	9125	8597	21993	21801		2847	4345	6944	9234	8284	14024	13433	19781	13394	26349	39916	39568	36656	48350	44241	34457	33760	
6807	"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch"	30	56	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0		18730	22375	21662	32385	40178	43258	49713	62591	33695	33934	41895	37204	35013	37547	22414	20835	26176		6359	8051	8916	12370	15702	29442	21746	22950	23880	24537	23249	18277	20820	19049	14349	13308	15833	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		16424	18019	24559	35312	52366	59028	79054	81460	69992	75734	80760	69687	55832	64553	51213	55962	54123		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	85	105	89	34	54	0	2	2	0	0	2	0	0	0		20273	16046	22955	24186	23008	23872	27958	27197	18236	18212	28639	26437	25684	22375	17449	18177	20088		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		9	225	1	1	9	96	21	14	15	11	14	13	12	16	3	9	5		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	10	4	20	27	54	11	1	4	1	4	15	7	0	0	0	36		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0		11400	6871	3652	4602	5126	4686	17810	65250	89555	75238	100478	162706	163916	176093	104888	80814	89761		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	0	0	0	3	0	0	0	0	0	0	10	0	13	0	0	0	0		1135	1919	4157	5535	6184	7162	8734	11151	5646	10991	21455	25081	26283	29803	26586	33267	34875		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	10	1	15	0	80	13	3	20	2	11	17	2942	5	13	2000	0		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7209	"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled "cold-reduced", ..."	252	148	1261	0	0	7	0	0	0	0	0	0	0	0	0	93	0		25854	28462	30189	22465	31481	36792	34706	53343	23600	19364	29423	33276	28653	42480	23332	24268	37859		95041	168187	271406	579741	511156	616180	629852	721087	401099	502307	568766	491248	499944	494521	365284	354293	539824	
7211	"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ..."	0	0	0	8	0	0	0	198	12	147	559	36	4	14	66	187	0		49170	53367	68272	100147	121707	115967	133984	153395	81942	104635	131238	111360	119611	120314	90644	107406	124212		28344	46289	88047	119209	139195	142037	171599	280403	155090	230148	256706	251008	167331	69246	53891	50631	64050	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		327	215	224	311	300	514	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	3	5	0	0	0	0	0	0	0	0	0	4	0	0	0		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		880	858	933	1502	4853	6946	9509	12785	6470	3278	2553	1924	1675	2311	1380	1365	3148		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8211	"Knives with cutting blades, serrated or not, incl. pruning knives, and blades therefor, of ..."	0	0	0	0	0	1	0	52	1	1	5	1	2	2	0	0	0		1371	1187	1409	2172	3123	4043	4379	6020	5362	4656	7231	7683	9525	8241	9100	12150	13046		2054	2499	5146	7931	9212	10173	12921	15229	15366	25526	38729	31220	40384	38955	25891	16029	18214	
8213	"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ..."	1	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0		290	298	534	680	613	617	813	958	860	992	1360	1033	2046	2662	1598	1592	2311		2419	3072	4520	5584	5360	5504	5739	7211	5447	6976	8521	7776	9842	9197	8356	6397	7137	
8449	"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ..."	0	0	0	0	0	0	0	0	0	0	1	0	58	2	0	0	0		1321	2887	1000	13016	13531	8632	13501	21537	5593	3956	5129	5331	5096	5040	4386	3916	5238		5178	1311	33674	21481	35078	6349	4548	26432	15499	60670	75942	39129	45121	26335	125876	32259	27704	
0105	"Live poultry, "fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0		13490	14435	14873	28842	30537	40753	68414	93324	78497	75042	98150	95664	106147	114773	94120	87467	87892		8367	8312	6323	7379	7793	8955	8082	14473	13659	16294	24863	28750	18850	18105	16452	10292	10054	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	7552	4787	0	0	0	0	0	0		4672	190	789	3030	4907	7615	13776	24178	19363	26074	37939	36597	36777	37419	38585	47255	46483		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		15969	25304	14446	26606	47564	56346	78661	110247	100402	98273	117771	133754	136645	128852	74172	80811	85884		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3018	3204	3207	3758	7504	11250	10293	15002	18355	21293	26730	27702	33236	40443	31836	30383	36934		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		205	177	153	92	165	236	393	359	384	472	856	884	1606	1595	1748	2767	3234		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4016	3701	1730	730	959	1847	1819	1740	1140	1377	2286	2432	2136	7242	5678	975	3541		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
