Product code	Product label	Turkey's imports from France-Value in 2001	Turkey's imports from France-Value in 2002	Turkey's imports from France-Value in 2003	Turkey's imports from France-Value in 2004	Turkey's imports from France-Value in 2005	Turkey's imports from France-Value in 2006	Turkey's imports from France-Value in 2007	Turkey's imports from France-Value in 2008	Turkey's imports from France-Value in 2009	Turkey's imports from France-Value in 2010	Turkey's imports from France-Value in 2011	Turkey's imports from France-Value in 2012	Turkey's imports from France-Value in 2013	Turkey's imports from France-Value in 2014	Turkey's imports from France-Value in 2015	Turkey's imports from France-Value in 2016	Turkey's imports from France-Value in 2017	France's exports to world- 	France's exports to world-Value in 2001	France's exports to world-Value in 2002	France's exports to world-Value in 2003	France's exports to world-Value in 2004	France's exports to world-Value in 2005	France's exports to world-Value in 2006	France's exports to world-Value in 2007	France's exports to world-Value in 2008	France's exports to world-Value in 2009	France's exports to world-Value in 2010	France's exports to world-Value in 2011	France's exports to world-Value in 2012	France's exports to world-Value in 2013	France's exports to world-Value in 2014	France's exports to world-Value in 2015	France's exports to world-Value in 2016	France's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	2283939	3047501	4164120	6201348	5887817	7239953	7849709	9022015	7091795	8176600	9229558	8589896	8079840	8122571	7583968	7364715	8070987		289599105	304891879	358131717	413708422	434354245	479012852	539730712	594504995	464112811	511651043	585723824	558460545	568668943	568511514	494503067	488656836	522838325		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		671274	639947	740064	926241	961722	1021346	1044357	1287827	1092736	1073887	1230911	1214747	1248332	1117957	830351	878506	932945		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0		82207	69826	80560	113697	155597	180551	193997	171662	168172	142229	167002	165429	195275	211076	178755	196091	209259		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	0	0	0	0	0	0	2	0	5	0	0	0	0	0	1	243	0		139128	111596	162092	183000	196532	199910	208511	192318	162905	165862	172765	158859	181331	185641	173931	177173	174224		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	0	0	0	0	0	44	0	28	0	0	472	1569	708	832	37	0	0		42127	49226	49682	60682	66985	63855	62832	48371	40522	58972	81373	73827	93808	102852	60105	47221	50918		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0		43810	34520	40376	36876	53835	51074	52054	66354	54702	42483	54863	71454	73111	51345	62504	62174	51056		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		53620	55932	69312	55384	77705	83918	84109	85135	78527	80112	85209	82829	92025	96968	91043	84525	85795		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6271	6672	9083	5257	3760	3900	6016	7722	4350	2890	2365	1449	2968	3829	2522	2626	3086		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		101	29	31	35	61	55	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
0903	"Mate"	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	9	0		37	76	141	460	442	507	752	816	875	897	871	1504	1096	1630	2415	2188	1981		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
