Product code	Product label	Turkey's imports from Germany-Value in 2001	Turkey's imports from Germany-Value in 2002	Turkey's imports from Germany-Value in 2003	Turkey's imports from Germany-Value in 2004	Turkey's imports from Germany-Value in 2005	Turkey's imports from Germany-Value in 2006	Turkey's imports from Germany-Value in 2007	Turkey's imports from Germany-Value in 2008	Turkey's imports from Germany-Value in 2009	Turkey's imports from Germany-Value in 2010	Turkey's imports from Germany-Value in 2011	Turkey's imports from Germany-Value in 2012	Turkey's imports from Germany-Value in 2013	Turkey's imports from Germany-Value in 2014	Turkey's imports from Germany-Value in 2015	Turkey's imports from Germany-Value in 2016	Turkey's imports from Germany-Value in 2017	Germany's exports to world- 	Germany's exports to world-Value in 2001	Germany's exports to world-Value in 2002	Germany's exports to world-Value in 2003	Germany's exports to world-Value in 2004	Germany's exports to world-Value in 2005	Germany's exports to world-Value in 2006	Germany's exports to world-Value in 2007	Germany's exports to world-Value in 2008	Germany's exports to world-Value in 2009	Germany's exports to world-Value in 2010	Germany's exports to world-Value in 2011	Germany's exports to world-Value in 2012	Germany's exports to world-Value in 2013	Germany's exports to world-Value in 2014	Germany's exports to world-Value in 2015	Germany's exports to world-Value in 2016	Germany's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	5335443	7014695	9452964	12515655	13633888	14768220	17539955	18687197	14096963	17549112	22985567	21400614	24182422	22369476	21351984	21474989	21302140		571426720	615997391	748531267	911742096	977131972	1121962887	1328841354	1466137400	1127839900	1271096300	1482202300	1410129600	1450950900	1498157800	1328549134	1340752046	1450214838		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	110	0	0	2086	0	0	0	0	0	0	0	0	0	0	0	0	0																				11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	61224	102467	543	0	213	0	0	0		719521	951434	962993	1215849	1277468	1584024	1495686	1912223	1737976	1670462	1968184	1741280	1691096	1585498	1297349	1204999	1224139		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		794100	930614	1080902	1433165	2019813	2382194	2859568	3934328	3990960	4051758	4921991	5006181	5303544	5051956	3986293	4349885	4762901		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0		51164	67790	72190	84600	94054	105220	132362	118054	95592	128276	148615	170340	189413	189757	169325	176772	191645		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	0	0	0	2	9	0	0	1	0	15	0	0	0	1	3	2	0		428	450	476	744	475	538	437	885	615	659	902	1023	787	786	959	861	1063		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0		11146	10552	10920	13127	25639	27450	32114	38050	29739	31009	36930	40894	43574	36144	33846	32271	30658		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	1	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0		4392	6229	7272	11236	23168	24598	17767	25314	21237	23913	21162	22270	26618	24868	23232	23573	25936		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		39	71	48	169	210	299	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0		1040	1465	2078	2641	3271	3618	3303	4003	3809	3191	3787	3495	3564	3252	3205	3719	3283		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	8	0	1	0	0	0	0	0	0	0	41	0	0	0	0	0		3	41	139	116	85	33	226	54	0	1	2	50	54	17	1	33	0		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0		6831	6538	5076	6110	6043	7801	8191	7966	6289	9563	17193	12505	23721	25699	23337	39480	46853		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		28880	38605	16534	3922	4299	6523	14999	82599	123504	144734	167397	178480	160704	212153	164569	138769	151929		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
