Product code	Product label	Turkey's imports from Greece-Value in 2001	Turkey's imports from Greece-Value in 2002	Turkey's imports from Greece-Value in 2003	Turkey's imports from Greece-Value in 2004	Turkey's imports from Greece-Value in 2005	Turkey's imports from Greece-Value in 2006	Turkey's imports from Greece-Value in 2007	Turkey's imports from Greece-Value in 2008	Turkey's imports from Greece-Value in 2009	Turkey's imports from Greece-Value in 2010	Turkey's imports from Greece-Value in 2011	Turkey's imports from Greece-Value in 2012	Turkey's imports from Greece-Value in 2013	Turkey's imports from Greece-Value in 2014	Turkey's imports from Greece-Value in 2015	Turkey's imports from Greece-Value in 2016	Turkey's imports from Greece-Value in 2017	Greece's exports to world- 	Greece's exports to world-Value in 2001	Greece's exports to world-Value in 2002	Greece's exports to world-Value in 2003	Greece's exports to world-Value in 2004	Greece's exports to world-Value in 2005	Greece's exports to world-Value in 2006	Greece's exports to world-Value in 2007	Greece's exports to world-Value in 2008	Greece's exports to world-Value in 2009	Greece's exports to world-Value in 2010	Greece's exports to world-Value in 2011	Greece's exports to world-Value in 2012	Greece's exports to world-Value in 2013	Greece's exports to world-Value in 2014	Greece's exports to world-Value in 2015	Greece's exports to world-Value in 2016	Greece's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	266254	323939	427743	594351	727830	1045328	950157	1150715	1131065	1541600	2568826	3539869	4206530	4043839	1860935	1187058	1830288		10402391	10327361	13655066	15246706	17434447	20942762	23504156	31127437	24236625	27585696	33377039	35151146	36261644	35755371	28289237	27810925	32154816		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9706	"Antiques of > 100 years old"	0	28	0	6	7	10	16	4	9	0	0	2	0	0	0	0	0		13949	52	14	0	46	42635	5	8646	0	1332	0	0	2	0	0	0	0		871	1216	2010	1513	3860	2360	3887	4600	2473	2775	10908	8538	5947	4255	4097	5373	3496	
0105	"Live poultry, "fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		704	4356	1994	3037	3209	1775	3300	3637	4237	4945	3822	3473	4560	5658	4131	3958	2705		8367	8312	6323	7379	7793	8955	8082	14473	13659	16294	24863	28750	18850	18105	16452	10292	10054	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	1072	1364	172	0	0	0	0	0		511	838	1849	1153	2845	4688	4606	8011	6300	7459	5260	1908	2020	1408	1108	1682	1864		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2116	1505	1350	1657	2026	5595	6103	14470	10054	11995	11898	13749	8367	8520	7019	8015	9556		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	0	0	9	0	28	6	13	0	31	0	0	0	0	0	0	0		764	434	1072	1143	1114	1888	3966	6970	10982	22895	36736	46712	30606	19947	17522	22229	36146		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	8	7	11	84	12	51	36	1	7	11	53	30	1	1	0	3	0		4568	5416	6635	15450	14535	18280	17338	17886	14344	16214	15923	9712	14794	16299	18545	19345	15280		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0		298	635	310	754	340	0	193	74	26	2	2	2	18	32	0	56	52		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	0	21	2	42	0	34	31	221	0	164	0	34	49	69	0	0	0		634	411	365	164	661	378	414	1269	801	1376	673	538	936	3595	440	791	164		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0		153	82	197	124	111	49	42	58	1	30	108	144	173	196	140	130	248		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1459	193	300	20	185	198	151	856	1313	1137	1031	1293	1076	898	1231	1156	836		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		25691	27629	28206	26047	25703	41417	35511	71447	57949	69266	41522	48577	64968	53234	49441	50212	51988		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
1108	"Starches; inulin"	25	217	372	120	106	0	0	0	0	27	0	0	0	0	2	0	0		524	1012	1394	117	345	181	297	352	524	604	726	371	413	438	288	380	270		2411	6404	6832	7483	8581	9785	13230	14751	15040	14082	16868	17450	14172	16690	14129	14264	15472	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	60	84	0	47	0	0	84	132	96	0	0	0	0	0	0	0	0		2832	1782	2958	1518	4878	4721	5487	8501	6651	4566	4801	3709	4290	3593	7146	11411	8504		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2808	"Nitric acid; sulphonitric acids"	64	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0		90	39	36	83	59	56	140	116	86	170	57	21	42	18	32	25	52		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
2823	"Titanium oxides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0		259	635	103	73	109	174	123	152	119	151	160	204	32	18	42	27	8		5247	5737	5986	8147	7431	8248	8883	8589	6216	9264	14280	12066	12978	12268	7539	8478	13483	
2846	"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	1	0	0	0	0	220	2	1	1	0	0		655	774	942	892	785	773	1456	1815	1209	3856	6070	3447	2571	1727	1893	2369	1525	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	10	0	0	0	1	0	0	5	0	2	15	25	0	0	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2906	"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0		1	6	0	5	5	16	40	147	7	6	84	9	6	16	26	51	22		1781	2571	3165	3327	3260	4325	5753	6739	3937	6999	9883	11111	12441	11911	10168	11039	12552	
2925	"Carboxyimide-function compounds, incl. saccharin and its salts, and imine-function compounds"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	17	5	3	0	2	7	27	17	27	5	3	0	47	39	85	231		6017	9508	14912	17313	12113	9976	11153	13493	11296	12518	16902	29926	42603	39683	23779	21763	22377	
2927	"Diazo-, azo- or azoxy-compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	1	1		2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
2931	"Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		9	49	23	76	125	220	144	185	256	829	61	89	37	60	90	66	224		25909	20619	26033	19568	19182	19862	24586	43433	31750	39966	48371	44431	51621	69048	50210	44149	64134	
2103	"Sauce and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal, ..."	5	0	2	0	0	1	0	0	0	0	4	0	7	2	0	11	0		2057	2694	2611	3145	2990	3419	3830	5824	6683	7336	7610	8675	12440	9148	10945	11736	13601		3821	6418	9398	11016	10657	10557	11912	15057	13727	16947	19478	22163	22894	29864	29382	32233	38672	
2402	"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes"	0	0	0	0	0	0	0	0	0	1	2	2	2	1	1	0	0		110456	120540	150303	157967	160682	161075	184806	240955	198859	205733	258826	246099	267138	281010	305756	335672	301966		7	84	11	7	13	15	323	446	1581	1454	2926	326	1692	1339	1754	407	1088	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2	0	0	0	0	0	1	173	0	0	11	0	209	0	0	0		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	109	0	0	0	0	0	0	136	122	12	0	0	931		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		17	1511	3481	3651	4135	1927	2	10	0	19	428	992	676	0	5	0	0		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	500	731	4941	3386	1566	2115	624	67	1206	4998	3868	33	36	6	30	875	0		58144	41520	46135	39968	47631	72712	95827	230287	126451	262841	230926	218445	152479	189037	80115	86749	148010		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	14	3	9	5	17	207	102	121	54	61	56	55	91	97	96	85		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	0	0	0	0	0	17	0	0	0	0	0	0	3	1	0	0		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3811	"Anti-knock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive ..."	50	27	40	76	27	11	52	52	0	4	3	188	0	0	0	3	0		1305	796	1325	1263	1248	1851	2164	2665	2303	1985	1381	1902	1658	2552	2935	3963	4337		39344	50916	61167	80303	86603	121968	135085	163383	148316	170550	187941	188169	201946	207334	187461	176928	203741	
3818	"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0		14	3	22	0	46	0	0	0	0	5	843	514	18	139	0	0	0		18	26	37	20	63	130	84	111	225	354	344	571	708	1069	1492	1454	2144	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	18036	14403	3727	200	6	59		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
4104	"Tanned or crust hides and skins of bovine "incl. buffalo" or equine animals, without hair on, ..."	10	0	5	0	0	28	1	0	0	1	0	0	4	0	0	0	0		1793	1264	1392	868	1556	3716	509	679	165	565	532	392	102	170	479	645	415		53042	6811	6898	7669	6240	13350	37074	40087	17495	36647	64639	48104	64550	54836	37916	36535	31017	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3	122	211	53	25	711	315	1	44	39	25	41	45	33	36	10	30		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		20	0	0	127	263	662	27	8	0	6	5	0	8	2	23	40	10		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		79	4	90	102	7	23	37	400	85	472	165	506	327	357	363	1119	542		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
3910	"Silicones in primary forms"	16	2	8	1	26	0	0	10	6	0	0	0	0	1	0	5	0		382	440	362	420	343	341	542	820	556	3044	579	331	612	677	531	1037	1195		20461	32463	40576	55248	62268	67328	79499	92848	83403	93625	106685	105342	116845	127153	111129	117045	141464	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6292	685	221	543	615	1339	263	214	195	433	297	262	669	440	19511	445	334		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	4	3	30	1	5	0	0	172	261	231	53		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
