Product code	Product label	Turkey's imports from India-Value in 2001	Turkey's imports from India-Value in 2002	Turkey's imports from India-Value in 2003	Turkey's imports from India-Value in 2004	Turkey's imports from India-Value in 2005	Turkey's imports from India-Value in 2006	Turkey's imports from India-Value in 2007	Turkey's imports from India-Value in 2008	Turkey's imports from India-Value in 2009	Turkey's imports from India-Value in 2010	Turkey's imports from India-Value in 2011	Turkey's imports from India-Value in 2012	Turkey's imports from India-Value in 2013	Turkey's imports from India-Value in 2014	Turkey's imports from India-Value in 2015	Turkey's imports from India-Value in 2016	Turkey's imports from India-Value in 2017	India's exports to world- 	India's exports to world-Value in 2001	India's exports to world-Value in 2002	India's exports to world-Value in 2003	India's exports to world-Value in 2004	India's exports to world-Value in 2005	India's exports to world-Value in 2006	India's exports to world-Value in 2007	India's exports to world-Value in 2008	India's exports to world-Value in 2009	India's exports to world-Value in 2010	India's exports to world-Value in 2011	India's exports to world-Value in 2012	India's exports to world-Value in 2013	India's exports to world-Value in 2014	India's exports to world-Value in 2015	India's exports to world-Value in 2016	India's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	354875	564130	722855	1046398	1280473	1579405	2299732	2457908	1902607	3409938	6498651	5843638	6367791	6898577	5613570	5757246	6216758		43878489	50097958	59360659	75904200	100352637	121200606	145898053	181860898	176765036	220408496	301483250	289564769	336611389	317544642	264381004	260326912	295846887		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9706	"Antiques of > 100 years old"	4	0	5	1	15	37	19	70	36	50	85	53	42	8	36	11	0		50	15	109	40	14	2	96781	30396	1	2	56	5	11774	25	3	0	3232		871	1216	2010	1513	3860	2360	3887	4600	2473	2775	10908	8538	5947	4255	4097	5373	3496	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8	7	1791	7	43	49	3	1240	343	0	5896	10692	9668	6978	1006	11443	151		11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
0105	"Live poultry, "fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1186	924	1466	646	830	693	558	66	334	575	356	148	1326	816	409	106	335		8367	8312	6323	7379	7793	8955	8082	14473	13659	16294	24863	28750	18850	18105	16452	10292	10054	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		16334	20910	11372	3725	5838	21340	9797	9267	11425	20023	26211	33297	75598	81092	68964	55133	55427		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		157	154	13	249	311	587	607	2886	167	698	267	269	87	158	3	31	1299		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0		19034	15879	14107	17033	24156	37393	54501	54624	76580	116726	161330	201425	145894	133815	155848	159262	225720		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		658	868	590	894	983	1647	1622	1499	1444	1123	1029	811	1491	1302	941	1025	1228		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		148	110	139	247	451	518	356	781	826	961	2476	917	781	922	707	538	688		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		140	464	239	32	104	51	44	25	25	14	57	96	151	109	161	40	25		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
