Product code	Product label	Turkey's imports from Iran, Islamic Republic of-Value in 2001	Turkey's imports from Iran, Islamic Republic of-Value in 2002	Turkey's imports from Iran, Islamic Republic of-Value in 2003	Turkey's imports from Iran, Islamic Republic of-Value in 2004	Turkey's imports from Iran, Islamic Republic of-Value in 2005	Turkey's imports from Iran, Islamic Republic of-Value in 2006	Turkey's imports from Iran, Islamic Republic of-Value in 2007	Turkey's imports from Iran, Islamic Republic of-Value in 2008	Turkey's imports from Iran, Islamic Republic of-Value in 2009	Turkey's imports from Iran, Islamic Republic of-Value in 2010	Turkey's imports from Iran, Islamic Republic of-Value in 2011	Turkey's imports from Iran, Islamic Republic of-Value in 2012	Turkey's imports from Iran, Islamic Republic of-Value in 2013	Turkey's imports from Iran, Islamic Republic of-Value in 2014	Turkey's imports from Iran, Islamic Republic of-Value in 2015	Turkey's imports from Iran, Islamic Republic of-Value in 2016	Turkey's imports from Iran, Islamic Republic of-Value in 2017	Iran, Islamic Republic of's exports to world- 	Iran, Islamic Republic of's exports to world-Value in 2001	Iran, Islamic Republic of's exports to world-Value in 2002	Iran, Islamic Republic of's exports to world-Value in 2003	Iran, Islamic Republic of's exports to world-Value in 2004	Iran, Islamic Republic of's exports to world-Value in 2005	Iran, Islamic Republic of's exports to world-Value in 2006	Iran, Islamic Republic of's exports to world-Value in 2007	Iran, Islamic Republic of's exports to world-Value in 2008	Iran, Islamic Republic of's exports to world-Value in 2009	Iran, Islamic Republic of's exports to world-Value in 2010	Iran, Islamic Republic of's exports to world-Value in 2011	Iran, Islamic Republic of's exports to world-Value in 2012	Iran, Islamic Republic of's exports to world-Value in 2013	Iran, Islamic Republic of's exports to world-Value in 2014	Iran, Islamic Republic of's exports to world-Value in 2015	Iran, Islamic Republic of's exports to world-Value in 2016	Iran, Islamic Republic of's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	839800	920462	1860683	1962059	3469706	5626610	6615394	8199689	3405986	7645008	12461532	11964779	10383217	9833290	6096242	4699777	7492170		23904000	28186000	33788000	44628000	60012000	63247000	83537407	107236085	77575221	108607361	137421481	132713014	92122800	90328135		83148194	66361757		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	496	0	2071	0	0	0	0	0	0	0	0	0	0		0			11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
9402	"Medical, surgical, dental or veterinary furniture, e.g. operating tables, examination tables, ..."	0	0	0	2	0	0	7	0	0	0	98	0	4	0	13	0	0		111	96	93	53	204	547	254	200	408	1096	621	795	2066	860		3971	1668		7410	4471	12013	13311	24051	26190	31110	42455	19491	27218	32296	26977	26470	37285	29815	32656	24519	
8530	"Electrical signalling, safety or traffic control equipment for railways, tramways, roads, inland ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	34	0	24	15	678	308	111	969	18	83	168		4			23938	27251	6780	8283	20240	19970	26318	41944	59008	46851	85920	39150	91158	62751	50480	38317	58466	
8539	"Electric filament or discharge lamps, incl. sealed beam lamp units and ultraviolet or infra-red ..."	0	0	0	0	0	4	0	0	0	0	0	0	3	0	2	0	0		164	295	302	661	1561	1490	1454	1280	567	351	762	854	971	993		1741	194		47601	65273	87181	116470	130145	153674	193815	229858	188506	234065	262975	227644	246969	203900	168973	146206	175916	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	1	0	1	0	33	0	0	1	0	6	0	0		0			154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0			26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
9207	"Musical instruments, the sound of which is produced, or must be amplified, electrically, e.g. ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	4	6	0	5	0	1	0	0	2		0	3		2180	3563	4445	6599	8702	8216	10629	12482	10679	15590	16759	17443	14822	13515	13461	13391	14207	
8457	"Machining centres, unit construction machines "single station" and multi-station transfer machines ..."	0	0	0	0	0	0	0	0	0	0	52	0	251	11	0	0	0		0	0	38	0	0	0	0	0	36	0	0	32	215	286		134	3		38335	80144	86611	130933	181625	176648	213231	212256	66239	138248	231656	263682	254217	272875	268031	265425	258399	
8464	"Machine tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials ..."	0	0	0	0	5	0	0	0	1	0	0	28	51	54	23	0	0		212	398	1115	1179	1480	2466	3708	3076	2509	3759	4886	8707	5636	2612		2410	134		33876	19132	26953	51101	49467	65819	87305	72895	33531	39135	104178	68208	105411	89469	61618	67007	58359	
