Product code	Product label	Turkey's imports from Israel-Value in 2001	Turkey's imports from Israel-Value in 2002	Turkey's imports from Israel-Value in 2003	Turkey's imports from Israel-Value in 2004	Turkey's imports from Israel-Value in 2005	Turkey's imports from Israel-Value in 2006	Turkey's imports from Israel-Value in 2007	Turkey's imports from Israel-Value in 2008	Turkey's imports from Israel-Value in 2009	Turkey's imports from Israel-Value in 2010	Turkey's imports from Israel-Value in 2011	Turkey's imports from Israel-Value in 2012	Turkey's imports from Israel-Value in 2013	Turkey's imports from Israel-Value in 2014	Turkey's imports from Israel-Value in 2015	Turkey's imports from Israel-Value in 2016	Turkey's imports from Israel-Value in 2017	Israel's exports to world- 	Israel's exports to world-Value in 2001	Israel's exports to world-Value in 2002	Israel's exports to world-Value in 2003	Israel's exports to world-Value in 2004	Israel's exports to world-Value in 2005	Israel's exports to world-Value in 2006	Israel's exports to world-Value in 2007	Israel's exports to world-Value in 2008	Israel's exports to world-Value in 2009	Israel's exports to world-Value in 2010	Israel's exports to world-Value in 2011	Israel's exports to world-Value in 2012	Israel's exports to world-Value in 2013	Israel's exports to world-Value in 2014	Israel's exports to world-Value in 2015	Israel's exports to world-Value in 2016	Israel's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	529489	541322	459488	714143	804691	782149	1081743	1447919	1074727	1359639	2057314	1710401	2417955	2881262	1672501	1385605	1505074		29061770	29511398	31782744	38620084	42770660	46791913	54091395	61337485	47934614	58413028	67796328	63140635	66781207	68965008	64062217	60570596	53791337		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9606	"Buttons, press-fasteners, snap-fasteners and press studs, button moulds and other parts of ..."	7	3	5	2	0	5	9	1	0	0	0	3	0	0	0	0	0		129	44	12	5	63	345	81	28	57	18	154	220	181	31	5	12	31		17448	25176	32260	35032	39506	43248	54294	52161	36968	42165	46919	43163	40240	38876	31517	28058	27216	
9706	"Antiques of > 100 years old"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0		421	1056	1002	775	1397	1558	994	12042	1696	856	1195	1041	1241	1085	1355	5933	1014		871	1216	2010	1513	3860	2360	3887	4600	2473	2775	10908	8538	5947	4255	4097	5373	3496	
9105	"Clocks (excluding wrist-watches, pocket-watches and other watches of heading 9101 or 9102, ..."	1	44	19	5	0	1	0	1	0	0	0	0	2	0	0	0	0		5654	2756	3447	4235	8151	6306	5328	3667	764	863	159	300	380	103	40	70	75		2611	2645	4979	8033	8252	9197	11547	11716	6254	9533	14393	10432	13263	11992	8193	9016	6773	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0	0	0		135	171	100	687	2723	4865	3339	3465	0	96	30	275	7	0	13	25	0		154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
9207	"Musical instruments, the sound of which is produced, or must be amplified, electrically, e.g. ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		136	101	38	44	59	49	19	28	61	29	160	84	66	111	199	25	525		2180	3563	4445	6599	8702	8216	10629	12482	10679	15590	16759	17443	14822	13515	13461	13391	14207	
9209	"Parts and accessories for musical instruments, e.g. mechanisms for musical boxes, cards, discs ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	3	105	106	101	56	56	7	19	14	49	65	191	186	671	177		787	1232	1453	1718	2220	2736	3084	3244	2965	3823	4491	4086	4253	4166	3679	2979	3413	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	14961	35932	33106	91716	0	0	0	0	0	0		11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
8548	"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary ..."	0	0	2	0	0	0	18	3	0	0	3	0	1	0	0	0	0		27676	0	0	0	0	0	0	6747	8988	3858	6199	5574	5502	5469	5812	6234	6995		2079	526	986	2177	2752	3000	4414	3570	3169	4275	2627	1768	1816	1329	3654	9475	7728	
8715	"Baby carriages and parts thereof, n.e.s."	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0		0	9	0	0	8	0	16	4	60	5	153	15	53	205	19	43	131		2847	4345	6944	9234	8284	14024	13433	19781	13394	26349	39916	39568	36656	48350	44241	34457	33760	
