Product code	Product label	Turkey's imports from Netherlands-Value in 2001	Turkey's imports from Netherlands-Value in 2002	Turkey's imports from Netherlands-Value in 2003	Turkey's imports from Netherlands-Value in 2004	Turkey's imports from Netherlands-Value in 2005	Turkey's imports from Netherlands-Value in 2006	Turkey's imports from Netherlands-Value in 2007	Turkey's imports from Netherlands-Value in 2008	Turkey's imports from Netherlands-Value in 2009	Turkey's imports from Netherlands-Value in 2010	Turkey's imports from Netherlands-Value in 2011	Turkey's imports from Netherlands-Value in 2012	Turkey's imports from Netherlands-Value in 2013	Turkey's imports from Netherlands-Value in 2014	Turkey's imports from Netherlands-Value in 2015	Turkey's imports from Netherlands-Value in 2016	Turkey's imports from Netherlands-Value in 2017	Netherlands's exports to world- 	Netherlands's exports to world-Value in 2001	Netherlands's exports to world-Value in 2002	Netherlands's exports to world-Value in 2003	Netherlands's exports to world-Value in 2004	Netherlands's exports to world-Value in 2005	Netherlands's exports to world-Value in 2006	Netherlands's exports to world-Value in 2007	Netherlands's exports to world-Value in 2008	Netherlands's exports to world-Value in 2009	Netherlands's exports to world-Value in 2010	Netherlands's exports to world-Value in 2011	Netherlands's exports to world-Value in 2012	Netherlands's exports to world-Value in 2013	Netherlands's exports to world-Value in 2014	Netherlands's exports to world-Value in 2015	Netherlands's exports to world-Value in 2016	Netherlands's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	1041587	1308322	1656670	1908145	2151585	2160110	2655039	3056340	2543073	3156000	4004955	3660634	3363585	3517164	2914731	3000336	3747588		216157869	219820522	264796482	318040303	349813023	400685883	477640554	545853405	431502452	492645872	530575759	552461794	671574098	672844926	570690256	571279596	651761591		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	981	6361	1659	1857	7065	1912	4686	875		11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	0	0	2	0	0	0	1	0	0	13	9	2	2	1	0	0		42	180	464	309	3283	741	395	240	573	569	2236	1744	1491	2351	2314	2706	1817		154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		45	88	113	107	252	235	0	0	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
9207	"Musical instruments, the sound of which is produced, or must be amplified, electrically, e.g. ..."	10	0	16	44	63	4	16	40	0	0	36	19	5	0	0	0	0		28737	36375	52734	66725	62009	66254	84066	16684	47377	68655	112085	121715	227726	201534	194955	176559	166280		2180	3563	4445	6599	8702	8216	10629	12482	10679	15590	16759	17443	14822	13515	13461	13391	14207	
8449	"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ..."	4	0	1	0	5	62	0	0	1	3	3	0	0	3	0	0	0		499	744	109	164	500	4437	115	143	10	211	383	208	1792	877	2964	55	7389		5178	1311	33674	21481	35078	6349	4548	26432	15499	60670	75942	39129	45121	26335	125876	32259	27704	
8548	"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary ..."	0	6	4	1	77	2	3	0	2	1	5	1	3	9	12	14	0		38364	88236	279607	666756	385838	302857	205788	218113	192638	521529	175752	137600	127341	121497	153042	152188	244573		2079	526	986	2177	2752	3000	4414	3570	3169	4275	2627	1768	1816	1329	3654	9475	7728	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	0	0	0	0	20	0	0	0	0	5	0	0	1	0	0		13724	16248	19563	15310	19966	21142	26442	27028	24747	23394	26117	25815	16498	16214	11784	7748	10045		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
7016	"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ..."	0	0	0	0	0	0	0	6	0	12	0	0	0	0	0	0	0		778	921	1482	4285	2645	1580	3598	2946	2643	6523	9637	8490	6057	5818	8845	3419	3165		1559	1979	2419	4548	7658	5973	10425	9248	5384	8198	11060	9957	10017	10893	9962	10092	5593	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		4	1	6	25	20	31	96	29	3	34	1732	69	57	60	281	204	62		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	29	9	19	37	582	126	35	29	45	96	587	51	125	1901	80	96		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		31362	26976	35437	43104	24106	24520	23923	52986	109919	34910	26700	23064	17821	15482	13854	14640	16285		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	3	1	0	0	0	2	10	0	1	0	0	307	0	0	0	0	0		4585	3666	1866	3099	3904	1627	1096	1730	2673	4696	5329	10836	7983	7812	3829	3030	2431		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1657	0		5267	10553	2925	4578	11924	5508	286	187	144	28	5926	1832	2421	2120	4587	184	15535		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7224	"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products ..."	0	8	0	0	57	0	0	0	0	0	0	0	0	10	0	5	0		3270	431	1064	10951	43114	80376	118990	185490	40167	60843	144165	178623	131692	80581	46906	35490	7841		2927	2906	4522	7116	12501	13191	32146	14046	12726	16821	32018	30101	27814	38465	34512	31353	86203	
7319	"Sewing needles, knitting needles, bodkins, crochet hoods, embroidery stilettos and similar ..."	1	0	4	0	2	7	4	3	3	1	4	1	0	3	0	0	0		723	683	1033	488	851	833	748	631	918	487	673	1000	860	1171	1860	2004	2092		1051	1137	1350	1417	1897	2010	2330	3039	1944	2631	2341	2575	2640	2302	2202	1954	2438	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		182	514	69	37	106	50	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	6	0	216	0	0	0	0	117958	19557	634	1348	2667	3945	9126		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5624	2952	3815	8461	8038	18067	40633	18448	20419	51052	49720	29960	35066	44356	43641	42080	61779		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8213	"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ..."	1	3	5	2	4	2	1	6	7	5	2	4	2	1	0	1	0		2530	2375	4310	5228	5698	5594	6239	9594	8451	7435	10314	10696	6794	10073	8025	7005	17865		2419	3072	4520	5584	5360	5504	5739	7211	5447	6976	8521	7776	9842	9197	8356	6397	7137	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	8725	11257	786	0	0	0	0	0		683973	977829	1304231	1563791	1736062	1913476	2276267	2481238	2377783	2172798	2827935	2788050	2674539	2722364	2429062	2507706	2797070		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1128883	973321	1129409	1458889	1466737	1578182	1833347	2170977	1847830	1825829	2229324	2209977	2100361	2149486	1797195	1888936	2173530		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	6	15	0	0	0	0	0	0	0	0	0	2106	3139	414	352	0	0		1571	4998	3859	5305	9187	8916	7312	9037	13331	12294	11432	12478	17261	26772	23775	25885	30227		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		75692	81329	142414	122944	131783	164909	189064	238001	228373	216379	290280	255907	235179	224741	234518	213534	268774		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	2	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0		57127	66630	91281	112807	116721	132073	155175	176617	180703	186334	238854	213810	220067	290309	243212	234421	298478		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0		2389	989	0	66	11	0	767	4	6	78	83	8	51	48	21	51	53		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0		56	100	42	45	75	69	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6	3	7	27	37	3	12	3	82	17	5	3	140	219	454	426	908		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	11	25	131	122	196	87	0	0	0	0	0	0	0	0	0		10018	8399	9782	4118	3276	2805	5778	3924	3572	19836	31183	26254	23815	22241	18866	19110	22499		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2402	"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes"	0	4	0	0	0	0	0	235	280	639	616	2	98	108	137	37	0		2358360	3032420	3143970	3342287	3421415	3536705	3885338	3639719	3377103	3342926	4348488	3378291	3249719	2166744	1132140	1903105	1872859		7	84	11	7	13	15	323	446	1581	1454	2926	326	1692	1339	1754	407	1088	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	14	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0		0	16	18	117	632	77	685	987	243	118	2541	3421	1705	369	436	468	428		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		91	165	1448	20	25	212	257	395	1992	296	3584	321	7017	15109	11811	3424	6827		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		50	0	0	0	0	0	0	10	11	13	7397	59	191	254	105	37	6		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	36	904	12686	45	66	154	73	172	2	289	570	693	101	311	198	83	0		283439	276941	419628	369514	493078	720801	885280	1285550	687341	1315705	1790045	1619881	1499198	1904922	1220319	742910	930282		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		259	639	589	98	543	1741	1314	339	233	264	806	450	841	1257	63	0	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2927	"Diazo-, azo- or azoxy-compounds"	22	44	75	112	107	94	76	65	72	0	0	0	0	0	1	0	0		1720	2689	2275	2878	5032	2988	7605	8060	6992	6171	6972	4076	7270	4674	3181	4221	5311		2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		507	689	912	926	953	976	840	330	575	379	437	474	2058	1091	387	343	746		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
3813	"Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ..."	5	26	34	10	76	44	54	21	105	9	12	0	9	13	4	33	0		1976	1788	2006	2166	2016	2636	3639	3859	3167	5080	7596	6602	7427	9579	6602	7515	12187		1546	1731	1590	3276	3756	4834	4455	5138	4325	3378	5390	6980	6744	6989	6256	6008	4735	
4102	"Raw skins of sheep or lambs, fresh, or salted, dried, limed, pickled or otherwise preserved, ..."	1224	1028	1008	1244	642	1623	1055	464	148	1417	2359	2859	2075	206	60	0	0		4489	6018	6465	5740	2574	3995	4584	6942	2990	8787	18538	12089	13823	8755	6609	3848	7430		248462	402786	371161	338861	234875	274104	242480	179840	89215	167722	311596	334036	317107	184291	61800	32532	56845	
