Product code	Product label	Turkey's imports from Spain-Value in 2001	Turkey's imports from Spain-Value in 2002	Turkey's imports from Spain-Value in 2003	Turkey's imports from Spain-Value in 2004	Turkey's imports from Spain-Value in 2005	Turkey's imports from Spain-Value in 2006	Turkey's imports from Spain-Value in 2007	Turkey's imports from Spain-Value in 2008	Turkey's imports from Spain-Value in 2009	Turkey's imports from Spain-Value in 2010	Turkey's imports from Spain-Value in 2011	Turkey's imports from Spain-Value in 2012	Turkey's imports from Spain-Value in 2013	Turkey's imports from Spain-Value in 2014	Turkey's imports from Spain-Value in 2015	Turkey's imports from Spain-Value in 2016	Turkey's imports from Spain-Value in 2017	Spain's exports to world- 	Spain's exports to world-Value in 2001	Spain's exports to world-Value in 2002	Spain's exports to world-Value in 2003	Spain's exports to world-Value in 2004	Spain's exports to world-Value in 2005	Spain's exports to world-Value in 2006	Spain's exports to world-Value in 2007	Spain's exports to world-Value in 2008	Spain's exports to world-Value in 2009	Spain's exports to world-Value in 2010	Spain's exports to world-Value in 2011	Spain's exports to world-Value in 2012	Spain's exports to world-Value in 2013	Spain's exports to world-Value in 2014	Spain's exports to world-Value in 2015	Spain's exports to world-Value in 2016	Spain's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	1066141	1388799	2003792	3253677	3555111	3832593	4342998	4548192	3776924	4840127	6196466	6023718	6417719	6075843	5588525	5679305	6373036		116148838	125872283	156004713	182727354	192798427	214061202	253753922	279231468	223132208	246265330	298170964	285936446	310963648	318649312	278122010	281776674	319621896		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	262	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	14	0	0	0	0	0	0	1004	511	9358	516	31623		11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	2250	3288	0	0	0	0	0	0		151895	192076	270565	297575	380891	378682	389908	544213	394904	373746	429592	475241	517036	494599	518187	546171	566493		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		709803	652799	866606	1184582	1386356	1539119	1713759	2447500	2325803	2322514	2903042	2999062	3170556	3382357	2998204	3550205	4068663		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	8	151	291	260	136	114	143	0	33	0	0	113	13	0	46	7	0		182132	181466	202029	228253	272268	288029	303130	280729	236346	267537	343931	316907	318312	316506	341228	391652	426578		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0306	"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine, ..."	0	0	154	22	68	0	140	23	0	0	0	0	7	0	0	0	0		188059	207426	242350	246500	184317	239387	299607	264907	287391	293727	342311	296462	348690	409787	376108	403774	455020		35	37	257	787	2717	1723	2174	2084	2407	3565	9636	6948	5634	9082	6856	3671	5220	
0508	"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		121	129	263	394	252	149	123	190	141	111	249	160	343	848	1080	605	1041		144	197	435	941	527	420	778	1079	354	934	376	482	443	741	482	552	370	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0		1935	3180	2127	1570	2540	2757	4313	4559	4704	6508	5690	3222	3208	4588	3740	3521	5151		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		55644	53279	55279	63900	70810	76248	71394	83463	85874	58156	79742	71584	92204	79501	88351	116029	84034		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0		301431	351291	473455	444444	443938	508607	504403	593960	513137	613775	565699	604923	742411	646422	632925	710157	694817		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	32	9	15	50	22	31	45	51	66	52	58	111	150	143	375	210		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	22	14	887	0	169	0	1109	4	686	888	7	46	58	91	53		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3171	3412	5023	6535	7183	8061	10140	9644	8083	7412	8361	7691	9727	11497	8881	11071	10524		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2402	"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes"	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	0		65981	69108	79147	134966	148536	132041	151461	216882	161849	204944	242130	260183	239080	282932	186376	161795	161531		7	84	11	7	13	15	323	446	1581	1454	2926	326	1692	1339	1754	407	1088	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0		902	29	348	484	406	612	59	123	80	104	192	212	416	158	112	92	73		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		127	557	1499	403	1796	478	775	5053	187	2119	2566	6732	8671	4716	2532	614	1358		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	16	17	13	0	0	0	0	0	1	0	0	0	0	38	5		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	6074	0	0	0	0	0	0	0	0	0	4	0	29	0	0	20	0		48838	402075	412174	469676	285533	179998	209344	251585	149317	249187	505570	1095368	2010010	3150256	788632	342845	563722		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10	5	0	0	0	18	31	8	0	0	11	56	13	62	31	37	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2927	"Diazo-, azo- or azoxy-compounds"	100	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0		5139	3580	4971	5548	7110	3470	3083	4180	4259	5320	5201	3828	4216	3394	3530	2749	3554		2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	0		555	776	1183	1301	1358	1663	1071	924	961	750	1118	3204	5837	5832	4027	2520	2417		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3818	"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		1549	9	22	81	541	200	31501	94858	62757	53226	74541	2958	3510	3915	3266	702	330		18	26	37	20	63	130	84	111	225	354	344	571	708	1069	1492	1454	2144	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	655700	822591	691458	619366	1082523	1319234		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1029	933	1266	1071	1013	1188	718	973	489	626	795	419	803	1272	1130	933	1841		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		554	812	280	1262	1863	2003	4472	2814	382	305	100	644	665	857	2418	4363	10521		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	124	516	0	4	3	11305	6019	6163	3155	4209	2134	11355		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10	9	26	7	8	166	53	20	94	28	98	149	550	95	1	16	4		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
