Product code	Product label	Turkey's imports from United Arab Emirates-Value in 2001	Turkey's imports from United Arab Emirates-Value in 2002	Turkey's imports from United Arab Emirates-Value in 2003	Turkey's imports from United Arab Emirates-Value in 2004	Turkey's imports from United Arab Emirates-Value in 2005	Turkey's imports from United Arab Emirates-Value in 2006	Turkey's imports from United Arab Emirates-Value in 2007	Turkey's imports from United Arab Emirates-Value in 2008	Turkey's imports from United Arab Emirates-Value in 2009	Turkey's imports from United Arab Emirates-Value in 2010	Turkey's imports from United Arab Emirates-Value in 2011	Turkey's imports from United Arab Emirates-Value in 2012	Turkey's imports from United Arab Emirates-Value in 2013	Turkey's imports from United Arab Emirates-Value in 2014	Turkey's imports from United Arab Emirates-Value in 2015	Turkey's imports from United Arab Emirates-Value in 2016	Turkey's imports from United Arab Emirates-Value in 2017	United Arab Emirates's exports to world- 	United Arab Emirates's exports to world-Value in 2001	United Arab Emirates's exports to world-Value in 2002	United Arab Emirates's exports to world-Value in 2003	United Arab Emirates's exports to world-Value in 2004	United Arab Emirates's exports to world-Value in 2005	United Arab Emirates's exports to world-Value in 2006	United Arab Emirates's exports to world-Value in 2007	United Arab Emirates's exports to world-Value in 2008	United Arab Emirates's exports to world-Value in 2009	United Arab Emirates's exports to world-Value in 2010	United Arab Emirates's exports to world-Value in 2011	United Arab Emirates's exports to world-Value in 2012	United Arab Emirates's exports to world-Value in 2013	United Arab Emirates's exports to world-Value in 2014	United Arab Emirates's exports to world-Value in 2015	United Arab Emirates's exports to world-Value in 2016	United Arab Emirates's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
TOTAL	"All products"	65140	100493	113597	183485	205442	352284	470092	691202	667857	698421	1649456	3596545	5384468	3253024	2008690	3701153	5546932						115452993		156634000	210000000				350123000	379488768	380339616	333362350	298650942	169650017		41399079	51270196	69339692	97539766	116774151	139576174	170062715	201963574	140928421	185544332	240841676	236545141	251661250	242177117	207206509	198618235	233791662	
9606	"Buttons, press-fasteners, snap-fasteners and press studs, button moulds and other parts of ..."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0						1875		2407	1764				1551	1562	1507	1341	1375	543		17448	25176	32260	35032	39506	43248	54294	52161	36968	42165	46919	43163	40240	38876	31517	28058	27216	
9706	"Antiques of > 100 years old"	0	0	0	0	0	3	0	4	0	0	3	0	0	0	0	0	0						565		93	824				2268	1004	92517	1273	11951	12147		871	1216	2010	1513	3860	2360	3887	4600	2473	2775	10908	8538	5947	4255	4097	5373	3496	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0						72		365	150				539	1002	3402	1632	3025	114		154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						118		12	0				0	0	0	0	0			26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
9207	"Musical instruments, the sound of which is produced, or must be amplified, electrically, e.g. ..."	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0						2217		8377	8363				36676	39968	37313	9105	5562	722		2180	3563	4445	6599	8702	8216	10629	12482	10679	15590	16759	17443	14822	13515	13461	13391	14207	
9209	"Parts and accessories for musical instruments, e.g. mechanisms for musical boxes, cards, discs ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						754		1087	2524				3574	3552	7239	3372	3735	229		787	1232	1453	1718	2220	2736	3084	3244	2965	3823	4491	4086	4253	4166	3679	2979	3413	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						66		2	1				85	22	0	3961	0			11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
8423	"Weighing machinery, incl. weight-operated counting or checking machines (excluding balances ..."	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0						3558		3902	2606				8879	9911	14641	8195	6864	3572		9624	14545	14712	24806	27754	39886	42365	40901	24746	33865	43157	39068	42304	42565	37764	33145	29060	
8425	"Pulley tackle and hoists (other than skip hoists); winches and capstans; jacks"	2	0	1	0	0	0	4	0	0	3	0	0	32	0	0	0	0						5466		10242	13047				20748	21907	27855	14411	10964	12440		6551	7879	11880	17766	31839	38098	44136	63958	36044	41767	54972	61361	72428	82565	72268	75476	73670	
