"","GEO","Characteristics","Hours.and.wages","YEAR","VALUE"
"1","Canada","15 to 24 years","Employees, #K","2001",2228.275
"2","Canada","15 years and over","Employees, #K","2001",12654.4166666667
"3","Canada","25 years and over","Employees, #K","2001",10426.1333333333
"4","Canada","Business, finance and administration occupations [1]","Employees, #K","2001",2292.28333333333
"5","Canada","Females","Employees, #K","2001",6134.25833333333
"6","Canada","Health occupations [3]","Employees, #K","2001",718.283333333333
"7","Canada","Males","Employees, #K","2001",6520.175
"8","Canada","Management occupations [0]","Employees, #K","2001",876.383333333333
"9","Canada","Natural and applied sciences and related occupations [2]","Employees, #K","2001",891.925
"10","Canada","Natural resources, agriculture and related production occupations [8]","Employees, #K","2001",248.966666666667
"11","Canada","No union coverage","Employees, #K","2001",8560.96666666667
"12","Canada","Occupations in art, culture, recreation and sport [5]","Employees, #K","2001",262.15
"13","Canada","Occupations in education, law and social, community and government services [4]","Employees, #K","2001",1286.68333333333
"14","Canada","Occupations in manufacturing and utilities [9]","Employees, #K","2001",1072.11666666667
"15","Canada","Permanent employees","Employees, #K","2001",11037.2416666667
"16","Canada","Sales and service occupations [6]","Employees, #K","2001",3245.09166666667
"17","Canada","Temporary employees","Employees, #K","2001",1617.15833333333
"18","Canada","Trades, transport and equipment operators and related occupations [7]","Employees, #K","2001",1760.55
"19","Canada","Union coverage","Employees, #K","2001",4093.46666666667
"20","Canada","15 to 24 years","Employees, average hourly wages","2001",9.9375
"21","Canada","15 years and over","Employees, average hourly wages","2001",17.22
"22","Canada","25 years and over","Employees, average hourly wages","2001",18.7716666666667
"23","Canada","Business, finance and administration occupations [1]","Employees, average hourly wages","2001",16.8516666666667
"24","Canada","Females","Employees, average hourly wages","2001",15.3475
"25","Canada","Health occupations [3]","Employees, average hourly wages","2001",19.6583333333333
"26","Canada","Males","Employees, average hourly wages","2001",18.9791666666667
"27","Canada","Management occupations [0]","Employees, average hourly wages","2001",26.18
"28","Canada","Natural and applied sciences and related occupations [2]","Employees, average hourly wages","2001",24.6575
"29","Canada","Natural resources, agriculture and related production occupations [8]","Employees, average hourly wages","2001",14.455
"30","Canada","No union coverage","Employees, average hourly wages","2001",15.9416666666667
"31","Canada","Occupations in art, culture, recreation and sport [5]","Employees, average hourly wages","2001",16.39
"32","Canada","Occupations in education, law and social, community and government services [4]","Employees, average hourly wages","2001",21.3391666666667
"33","Canada","Occupations in manufacturing and utilities [9]","Employees, average hourly wages","2001",15.43
"34","Canada","Permanent employees","Employees, average hourly wages","2001",17.8058333333333
"35","Canada","Sales and service occupations [6]","Employees, average hourly wages","2001",11.5675
"36","Canada","Temporary employees","Employees, average hourly wages","2001",13.2675
"37","Canada","Trades, transport and equipment operators and related occupations [7]","Employees, average hourly wages","2001",17.5058333333333
"38","Canada","Union coverage","Employees, average hourly wages","2001",19.8875
"39","Canada","15 to 24 years","Employees, Wages","2001",304.894166666667
"40","Canada","15 years and over","Employees, Wages","2001",635.604166666667
"41","Canada","25 years and over","Employees, Wages","2001",706.025833333333
"42","Canada","Business, finance and administration occupations [1]","Employees, Wages","2001",607.725
"43","Canada","Females","Employees, Wages","2001",519.59
"44","Canada","Health occupations [3]","Employees, Wages","2001",658.134166666667
"45","Canada","Males","Employees, Wages","2001",744.830833333333
"46","Canada","Management occupations [0]","Employees, Wages","2001",1058.9225
"47","Canada","Natural and applied sciences and related occupations [2]","Employees, Wages","2001",954.900833333333
"48","Canada","Natural resources, agriculture and related production occupations [8]","Employees, Wages","2001",619.979166666667
"49","Canada","No union coverage","Employees, Wages","2001",592.2625
"50","Canada","Occupations in art, culture, recreation and sport [5]","Employees, Wages","2001",548.965
"51","Canada","Occupations in education, law and social, community and government services [4]","Employees, Wages","2001",737.889166666667
"52","Canada","Occupations in manufacturing and utilities [9]","Employees, Wages","2001",612.8
