"","REF_DATE","GEO","Sex","Work.absence.statistics","VALUE"
"12",1987,"Canada","Males","Incidence rate",1.1
"15",1987,"Canada","Males","Inactivity rate",0.3
"18",1987,"Canada","Males","Days",0.8
"21",1987,"Canada","Females","Incidence rate",2.7
"24",1987,"Canada","Females","Inactivity rate",1.7
"27",1987,"Canada","Females","Days",4.3
"39",1987,"Atlantic region","Males","Incidence rate",0.9
"42",1987,"Atlantic region","Males","Inactivity rate",0.3
"45",1987,"Atlantic region","Males","Days",0.7
"48",1987,"Atlantic region","Females","Incidence rate",2.1
"51",1987,"Atlantic region","Females","Inactivity rate",1.4
"54",1987,"Atlantic region","Females","Days",3.4
"66",1987,"Newfoundland and Labrador","Males","Incidence rate",0.6
"69",1987,"Newfoundland and Labrador","Males","Inactivity rate",0.3
"72",1987,"Newfoundland and Labrador","Males","Days",0.8
"75",1987,"Newfoundland and Labrador","Females","Incidence rate",2.1
"78",1987,"Newfoundland and Labrador","Females","Inactivity rate",1.5
"81",1987,"Newfoundland and Labrador","Females","Days",3.8
"93",1987,"Prince Edward Island","Males","Incidence rate",NA
"96",1987,"Prince Edward Island","Males","Inactivity rate",NA
"99",1987,"Prince Edward Island","Males","Days",NA
"102",1987,"Prince Edward Island","Females","Incidence rate",1.6
"105",1987,"Prince Edward Island","Females","Inactivity rate",1.3
"108",1987,"Prince Edward Island","Females","Days",3.2
"120",1987,"Nova Scotia","Males","Incidence rate",1
"123",1987,"Nova Scotia","Males","Inactivity rate",0.3
"126",1987,"Nova Scotia","Males","Days",0.8
"129",1987,"Nova Scotia","Females","Incidence rate",2
"132",1987,"Nova Scotia","Females","Inactivity rate",1.2
"135",1987,"Nova Scotia","Females","Days",3.1
"147",1987,"New Brunswick","Males","Incidence rate",1
"150",1987,"New Brunswick","Males","Inactivity rate",0.3
"153",1987,"New Brunswick","Males","Days",0.7
"156",1987,"New Brunswick","Females","Incidence rate",2.3
"159",1987,"New Brunswick","Females","Inactivity rate",1.5
"162",1987,"New Brunswick","Females","Days",3.6
"174",1987,"Quebec","Males","Incidence rate",0.9
"177",1987,"Quebec","Males","Inactivity rate",0.3
"180",1987,"Quebec","Males","Days",0.7
"183",1987,"Quebec","Females","Incidence rate",3
"186",1987,"Quebec","Females","Inactivity rate",2.1
"189",1987,"Quebec","Females","Days",5.4
"201",1987,"Ontario","Males","Incidence rate",1.2
"204",1987,"Ontario","Males","Inactivity rate",0.3
"207",1987,"Ontario","Males","Days",0.8
"210",1987,"Ontario","Females","Incidence rate",2.7
"213",1987,"Ontario","Females","Inactivity rate",1.6
"216",1987,"Ontario","Females","Days",4.1
"228",1987,"Prairie region","Males","Incidence rate",1.2
"231",1987,"Prairie region","Males","Inactivity rate",0.4
"234",1987,"Prairie region","Males","Days",0.9
"237",1987,"Prairie region","Females","Incidence rate",2.8
"240",1987,"Prairie region","Females","Inactivity rate",1.7
"243",1987,"Prairie region","Females","Days",4.1
"255",1987,"Manitoba","Males","Incidence rate",1.5
"258",1987,"Manitoba","Males","Inactivity rate",0.4
"261",1987,"Manitoba","Males","Days",1.1
"264",1987,"Manitoba","Females","Incidence rate",3.1
"267",1987,"Manitoba","Females","Inactivity rate",1.8
"270",1987,"Manitoba","Females","Days",4.4
"282",1987,"Saskatchewan","Males","Incidence rate",0.9
"285",1987,"Saskatchewan","Males","Inactivity rate",0.3
"288",1987,"Saskatchewan","Males","Days",0.8
"291",1987,"Saskatchewan","Females","Incidence rate",2.8
"294",1987,"Saskatchewan","Females","Inactivity rate",1.9
"297",1987,"Saskatchewan","Females","Days",4.8
"309",1987,"Alberta","Males","Incidence rate",1.2
"312",1987,"Alberta","Males","Inactivity rate",0.4
"315",1987,"Alberta","Males","Days",0.9
"318",1987,"Alberta","Females","Incidence rate",2.6
"321",1987,"Alberta","Females","Inactivity rate",1.5
"324",1987,"Alberta","Females","Days",3.8
"336",1987,"British Columbia","Males","Incidence rate",0.8
"339",1987,"British Columbia","Males","Inactivity rate",0.3
"342",1987,"British Columbia","Males","Days",0.7
"345",1987,"British Columbia","Females","Incidence rate",1.9
"348",1987,"British Columbia","Females","Inactivity rate",1.3
"351",1987,"British Columbia","Females","Days",3.3
"363",1987,"Total census metropolitan areas","Males","Incidence rate",1.1
"366",1987,"Total census metropolitan areas","Males","Inactivity rate",0.3
"369",1987,"Total census metropolitan areas","Males","Days",0.8
"372",1987,"Total census metropolitan areas","Females","Incidence rate",2.6
"375",1987,"Total census metropolitan areas","Females","Inactivity rate",1.7
"378",1987,"Total census metropolitan areas","Females","Days",4.2
"390",1987,"St. John's, Newfoundland and Labrador","Males","Incidence rate",NA
"393",1987,"St. John's, Newfoundland and Labrador","Males","Inactivity rate",NA
"396",1987,"St. John's, Newfoundland and Labrador","Males","Days",NA
"399",1987,"St. John's, Newfoundland and Labrador","Females","Incidence rate",2.3
"402",1987,"St. John's, Newfoundland and Labrador","Females","Inactivity rate",1.9
"405",1987,"St. John's, Newfoundland and Labrador","Females","Days",4.7
"417",1987,"Halifax, Nova Scotia","Males","Incidence rate",1
"420",1987,"Halifax, Nova Scotia","Males","Inactivity rate",0.2
"423",1987,"Halifax, Nova Scotia","Males","Days",0.5
"426",1987,"Halifax, Nova Scotia","Females","Incidence rate",2.5
"429",1987,"Halifax, Nova Scotia","Females","Inactivity rate",1.5
"432",1987,"Halifax, Nova Scotia","Females","Days",3.8
"444",1987,"Saint John, New Brunswick","Males","Incidence rate",NA
"447",1987,"Saint John, New Brunswick","Males","Inactivity rate",NA
"450",1987,"Saint John, New Brunswick","Males","Days",NA
"453",1987,"Saint John, New Brunswick","Females","Incidence rate",NA
"456",1987,"Saint John, New Brunswick","Females","Inactivity rate",NA
"459",1987,"Saint John, New Brunswick","Females","Days",NA
"471",1987,"Saguenay, Quebec","Males","Incidence rate",NA
"474",1987,"Saguenay, Quebec","Males","Inactivity rate",NA
"477",1987,"Saguenay, Quebec","Males","Days",NA
"480",1987,"Saguenay, Quebec","Females","Incidence rate",NA
"483",1987,"Saguenay, Quebec","Females","Inactivity rate",NA
"486",1987,"Saguenay, Quebec","Females","Days",NA
"498",1987,"Québec, Quebec","Males","Incidence rate",NA
"501",1987,"Québec, Quebec","Males","Inactivity rate",NA
"504",1987,"Québec, Quebec","Males","Days",NA
"507",1987,"Québec, Quebec","Females","Incidence rate",3.5
"510",1987,"Québec, Quebec","Females","Inactivity rate",1.9
"513",1987,"Québec, Quebec","Females","Days",4.8
"525",1987,"Sherbrooke, Quebec","Males","Incidence rate",NA
"528",1987,"Sherbrooke, Quebec","Males","Inactivity rate",NA
"531",1987,"Sherbrooke, Quebec","Males","Days",NA
"534",1987,"Sherbrooke, Quebec","Females","Incidence rate",NA
"537",1987,"Sherbrooke, Quebec","Females","Inactivity rate",NA
"540",1987,"Sherbrooke, Quebec","Females","Days",NA
"552",1987,"Trois-Rivières, Quebec","Males","Incidence rate",NA
"555",1987,"Trois-Rivières, Quebec","Males","Inactivity rate",NA
"558",1987,"Trois-Rivières, Quebec","Males","Days",NA
"561",1987,"Trois-Rivières, Quebec","Females","Incidence rate",NA
"564",1987,"Trois-Rivières, Quebec","Females","Inactivity rate",NA
"567",1987,"Trois-Rivières, Quebec","Females","Days",NA
"579",1987,"Montréal, Quebec","Males","Incidence rate",0.9
"582",1987,"Montréal, Quebec","Males","Inactivity rate",0.3
"585",1987,"Montréal, Quebec","Males","Days",0.7
"588",1987,"Montréal, Quebec","Females","Incidence rate",2.9
"591",1987,"Montréal, Quebec","Females","Inactivity rate",2.2
"594",1987,"Montréal, Quebec","Females","Days",5.5
"606",1987,"Ottawa-Gatineau, Ontario/Quebec","Males","Incidence rate",1.7
